Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
E150031652_L01_B5GANIdazlRAAAA-8034_1	(1.0, 76.20326748752716)	(2.0, 8.124789463635649)	(3.0, 2.200667830238166)	(4.0, 1.1415041827264587)	(5.0, 0.8445046218978952)	(6.0, 0.5920658450091557)	(7.0, 0.49871157833484453)	(8.0, 0.3873646539615412)	(9.0, 0.3187711512443417)	('>10', 4.154324092022122)	('>50', 1.4981831413869682)	('>100', 2.773574583046544)	('>500', 0.8076607738018755)	('>1k', 0.4204089082404612)	('>5k', 0.03420168692656209)	('>10k+', 0.0)
E150031652_L01_B5GANIdazlRAAAA-8034_2	(1.0, 75.70370705169691)	(2.0, 8.474752601372662)	(3.0, 2.116482970289312)	(4.0, 1.2166777504611055)	(5.0, 0.8720727088489919)	(6.0, 0.6366371986288096)	(7.0, 0.4776526475550347)	(8.0, 0.40217142760142566)	(9.0, 0.3545183521103197)	('>10', 4.075620583552641)	('>50', 1.4928864594668894)	('>100', 2.8794561273235897)	('>500', 0.8242860564711809)	('>1k', 0.42959856056237944)	('>5k', 0.018670837210813862)	('>10k+', 0.024808666847963005)
E150031652_L01_B5GANIdazlRAABA-8035_1	(1.0, 73.05816125630662)	(2.0, 8.261314346434391)	(3.0, 2.416264680125615)	(4.0, 1.4396370919264652)	(5.0, 0.9908946480264769)	(6.0, 0.7581077085149555)	(7.0, 0.5588837530948892)	(8.0, 0.4756901026614319)	(9.0, 0.41130541920012503)	('>10', 5.29429770359666)	('>50', 1.6891286889170056)	('>100', 2.9407848965357983)	('>500', 0.9291476886045638)	('>1k', 0.7339006498654144)	('>5k', 0.032459655756143235)	('>10k+', 0.010021710433638671)
E150031652_L01_B5GANIdazlRAABA-8035_2	(1.0, 73.00950174178638)	(2.0, 8.262089645593452)	(3.0, 2.4135197143591065)	(4.0, 1.4407659350432402)	(5.0, 1.0138054501279827)	(6.0, 0.7700897302671824)	(7.0, 0.6036136478609397)	(8.0, 0.5383077038375155)	(9.0, 0.4451282278418144)	('>10', 5.185860646314948)	('>50', 1.6134711400549377)	('>100', 3.049003091638944)	('>500', 0.879236488903913)	('>1k', 0.7265723214695482)	('>5k', 0.03301896856906922)	('>10k+', 0.016015546331234205)
E150031652_L01_B5GANIdazlRAACA-8036_1	(1.0, 74.48257561024353)	(2.0, 9.13425678444273)	(3.0, 2.348310947868185)	(4.0, 1.1839320983137944)	(5.0, 0.8471840472642203)	(6.0, 0.6415359798779237)	(7.0, 0.4984506275743166)	(8.0, 0.411014912058122)	(9.0, 0.3713124004095263)	('>10', 4.104136578632926)	('>50', 1.451228297140593)	('>100', 2.8604589571293615)	('>500', 0.9937794275913612)	('>1k', 0.6151441256553088)	('>5k', 0.019855194094844455)	('>10k+', 0.03682401170293058)
E150031652_L01_B5GANIdazlRAACA-8036_2	(1.0, 73.47110255508206)	(2.0, 9.551717426056548)	(3.0, 2.404006517920978)	(4.0, 1.2957506521793842)	(5.0, 0.869711986968949)	(6.0, 0.6880136327328038)	(7.0, 0.5131734574647723)	(8.0, 0.45363112957803664)	(9.0, 0.3642022323996639)	('>10', 4.246723304548169)	('>50', 1.4780907271529597)	('>100', 2.9196994104391547)	('>500', 1.0458938614964932)	('>1k', 0.6201513726493774)	('>5k', 0.021776496017712175)	('>10k+', 0.05635523731284525)
E150031652_L01_B5GANIdazlRAADA-8038_1	(1.0, 75.78005671965316)	(2.0, 7.552711852381669)	(3.0, 2.033573634045455)	(4.0, 1.156261502151228)	(5.0, 0.7796765650121943)	(6.0, 0.603822322622551)	(7.0, 0.4955321765153561)	(8.0, 0.36528396964696996)	(9.0, 0.3454745384323891)	('>10', 4.20332935357615)	('>50', 1.4419356458748727)	('>100', 3.601503279436638)	('>500', 1.2353428063459766)	('>1k', 0.3595178183532597)	('>5k', 0.023348199897448886)	('>10k+', 0.022629616054678982)
E150031652_L01_B5GANIdazlRAADA-8038_2	(1.0, 74.95776619990502)	(2.0, 7.8607844494054335)	(3.0, 2.0077218490463187)	(4.0, 1.1904640954278483)	(5.0, 0.8309750824190644)	(6.0, 0.5816474369610416)	(7.0, 0.5121927172314148)	(8.0, 0.3979315441732287)	(9.0, 0.37217069413563275)	('>10', 4.34697495684088)	('>50', 1.5052319316139908)	('>100', 3.7097958938153908)	('>500', 1.2551916534885137)	('>1k', 0.4062442363875489)	('>5k', 0.011694697343150892)	('>10k+', 0.05321256180551455)
