Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
E150031652_L01_B5GANIdazlRAAAA-8034_1	(1, 36.039265135971725)	(2, 35.99368390394135)	(3, 36.14434314933452)	(4, 36.1636391065861)	(5, 36.11387636912404)	(6, 36.115269065838774)	(7, 36.1026012396904)	(8, 36.10810861005335)	(9, 36.11854578612052)	(10, 36.08210824215139)	(12, 36.077885296699904)	(14, 36.07862614445564)	(16, 36.107806745375406)	(18, 36.11265190228062)	(20, 36.12282128385876)	(22, 36.13571893728448)	(24, 36.1400323195485)	(26, 36.1306853535763)	(28, 36.160051548407935)	(30, 36.168400463121614)	(32, 36.17757012893796)	(34, 36.201155399664415)	(36, 36.196232848749816)	(38, 36.20912136718027)	(40, 36.22328111313236)	(42, 36.21712532347806)	(44, 36.25532681310135)	(46, 36.27324366288734)	(48, 36.26967337168368)	(50, 36.27329796595831)	(52, 36.27904300078461)	(54, 36.29213042915309)	(56, 36.333763319225724)	(58, 36.33492325151589)	(60, 36.31493258524493)	(62, 36.33519291902047)	(64, 36.352538747119546)	(66, 36.37261811379899)	(68, 36.388914352153904)	(70, 36.37094836177359)	(72, 36.35600233755218)	(74, 36.38368047801255)	(76, 36.391992935431105)	(78, 36.398630981653135)	(80, 36.37552364985201)	(82, 36.38478734033028)	(84, 36.37579190450609)	(86, 36.38312177293081)	(88, 36.37634980789403)	(90, 36.36747759204717)	(92, 36.373328209587235)	(94, 36.37192528498525)	(96, 36.362223945188816)	(98, 36.34969680371944)	(100, 36.340829872580585)
E150031652_L01_B5GANIdazlRAAAA-8034_2	(1, 37.29400808590522)	(2, 37.09387206686842)	(3, 37.10291975299606)	(4, 37.1081336171478)	(5, 37.075970165256486)	(6, 37.07122010433495)	(7, 37.07177559545142)	(8, 37.05959000070549)	(9, 37.06534552226188)	(10, 37.051949959466654)	(12, 37.03765688428629)	(14, 37.02948358725001)	(16, 37.01791835970256)	(18, 37.00997433630754)	(20, 37.00036373890201)	(22, 36.98934423474883)	(24, 36.97307543373503)	(26, 36.959603986846986)	(28, 36.94435628488968)	(30, 36.92273889202552)	(32, 36.902276236619514)	(34, 36.88461240930542)	(36, 36.86312468591938)	(38, 36.846181282941885)	(40, 36.82181771133864)	(42, 36.79570645084964)	(44, 36.767868557620986)	(46, 36.74366883353595)	(48, 36.71901232733278)	(50, 36.686369829243965)	(52, 36.647993696198974)	(54, 36.61012701260016)	(56, 36.56910919782791)	(58, 36.528012155576164)	(60, 36.4826999008028)	(62, 36.44286706496061)	(64, 36.39689220127516)	(66, 36.35708364992449)	(68, 36.32020844944712)	(70, 36.28455363544339)	(72, 36.22607071994807)	(74, 36.174209748493055)	(76, 36.10073655384062)	(78, 36.04910748400071)	(80, 35.98838427293333)	(82, 35.92268580767292)	(84, 35.84474206282156)	(86, 35.772670847275734)	(88, 35.672802373232216)	(90, 35.56424510584989)	(92, 35.45259239086029)	(94, 35.36232400232694)	(96, 35.25230599132307)	(98, 35.12505833670524)	(100, 34.98376030802068)
E150031652_L01_B5GANIdazlRAABA-8035_1	(1, 36.17811115092)	(2, 36.14616143287479)	(3, 36.29105468574184)	(4, 36.30685504994)	(5, 36.26338759301774)	(6, 36.269604705084895)	(7, 36.258349921008275)	(8, 36.265745171845204)	(9, 36.2780626191896)	(10, 36.24896668471829)	(12, 36.2461836005118)	(14, 36.24556614333362)	(16, 36.275593539703245)	(18, 36.28223582196921)	(20, 36.29603144170313)	(22, 36.30787680544729)	(24, 36.31119148548855)	(26, 36.30222434192825)	(28, 36.33364151380418)	(30, 36.343796271876336)	(32, 36.354206969624)	(34, 36.37512332364836)	(36, 36.3701715326988)	(38, 36.38541531239069)	(40, 36.40092567077272)	(42, 36.39455962038734)	(44, 36.433516876446504)	(46, 36.447780044989386)	(48, 36.4468012398703)	(50, 36.4516683051459)	(52, 36.45765637476468)	(54, 36.471882365905806)	(56, 36.509233497482526)	(58, 36.509450303881096)	(60, 36.4902260658114)	(62, 36.511514260889314)	(64, 36.5259840108623)	(66, 36.54500033466759)	(68, 36.560618364767365)	(70, 36.54618774018472)	(72, 36.530982762532844)	(74, 36.55882571051879)	(76, 36.56543892280111)	(78, 36.57186607851291)	(80, 36.55069059074268)	(82, 36.5589432325918)	(84, 36.55353547429583)	(86, 36.55945980446595)	(88, 36.55362222288102)	(90, 36.5454682068269)	(92, 36.55023198533075)	(94, 36.54872105203182)	(96, 36.54016142847407)	(98, 36.52434767678346)	(100, 36.51298334792314)
E150031652_L01_B5GANIdazlRAABA-8035_2	(1, 37.4014197619121)	(2, 37.216433378470676)	(3, 37.231568752991635)	(4, 37.23442955957705)	(5, 37.20865717362139)	(6, 37.20364167871285)	(7, 37.203314211577606)	(8, 37.19206409636433)	(9, 37.19493909881805)	(10, 37.18282476280262)	(12, 37.170350281551784)	(14, 37.162388485441)	(16, 37.15028795885078)	(18, 37.141850620868524)	(20, 37.131761893300435)	(22, 37.11984213926309)	(24, 37.10442252402586)	(26, 37.08996830669877)	(28, 37.07472358455895)	(30, 37.052498134879784)	(32, 37.03244666413144)	(34, 37.01423284853418)	(36, 36.99397330578957)	(38, 36.976840233475656)	(40, 36.952578698009695)	(42, 36.92639882359786)	(44, 36.899379456797774)	(46, 36.87464603095313)	(48, 36.85091885951624)	(50, 36.81808348096445)	(52, 36.780160847389865)	(54, 36.74239408839249)	(56, 36.703510027807575)	(58, 36.662831223026814)	(60, 36.61790555073987)	(62, 36.578519520308674)	(64, 36.531836671614)	(66, 36.491423380833254)	(68, 36.45421028041596)	(70, 36.4202413893837)	(72, 36.36025088421135)	(74, 36.30925789781415)	(76, 36.23716244167262)	(78, 36.18559606838172)	(80, 36.12486990965442)	(82, 36.05813764072571)	(84, 35.98482484155814)	(86, 35.91187852056055)	(88, 35.81326617615052)	(90, 35.70806448429009)	(92, 35.59582814425056)	(94, 35.50792433084837)	(96, 35.39741765877844)	(98, 35.26127433297026)	(100, 35.10998622787837)
E150031652_L01_B5GANIdazlRAACA-8036_1	(1, 36.02660525765616)	(2, 35.949656304310956)	(3, 36.11295065094037)	(4, 36.13915599862294)	(5, 36.102687613466344)	(6, 36.09485145797807)	(7, 36.08873019761188)	(8, 36.09207351032424)	(9, 36.0939952215247)	(10, 36.060268595235996)	(12, 36.06702557879391)	(14, 36.07474483739246)	(16, 36.10450248885959)	(18, 36.10422516742619)	(20, 36.11115183661255)	(22, 36.13044776505969)	(24, 36.13703021022518)	(26, 36.12871195888599)	(28, 36.154250508465225)	(30, 36.162568201472666)	(32, 36.1782172764042)	(34, 36.203794703650615)	(36, 36.19827521935049)	(38, 36.21169018952568)	(40, 36.22229779268628)	(42, 36.21853885337838)	(44, 36.25970763072051)	(46, 36.27659806878772)	(48, 36.270344158798835)	(50, 36.27169197718726)	(52, 36.28054855199523)	(54, 36.29322680482153)	(56, 36.33555854274459)	(58, 36.33520930484909)	(60, 36.31266382453401)	(62, 36.335170207738074)	(64, 36.35292158502305)	(66, 36.370547145999225)	(68, 36.38571881951091)	(70, 36.36753661567363)	(72, 36.36073984056223)	(74, 36.38118269908033)	(76, 36.38670394726433)	(78, 36.38956952522446)	(80, 36.363759151418414)	(82, 36.37301637786453)	(84, 36.36690934245787)	(86, 36.37330763259162)	(88, 36.36163402690766)	(90, 36.349658766526176)	(92, 36.35561074404055)	(94, 36.35603682060638)	(96, 36.34673019430078)	(98, 36.32705547248666)	(100, 36.312804999132446)
E150031652_L01_B5GANIdazlRAACA-8036_2	(1, 37.239594646264116)	(2, 37.00875001399996)	(3, 37.015285217633156)	(4, 37.02178773247045)	(5, 36.99027644988032)	(6, 36.987642201817735)	(7, 36.98536559162676)	(8, 36.97594100732336)	(9, 36.97636538389402)	(10, 36.96401961345532)	(12, 36.95199030044981)	(14, 36.943331563967995)	(16, 36.929992032467105)	(18, 36.92051486775771)	(20, 36.908161311230046)	(22, 36.89837745017081)	(24, 36.88148179822955)	(26, 36.865762887385564)	(28, 36.84740772292915)	(30, 36.824258072110375)	(32, 36.80407953784042)	(34, 36.78668169010541)	(36, 36.76216035152167)	(38, 36.74183143712391)	(40, 36.71654942848163)	(42, 36.68967602714375)	(44, 36.66155332380388)	(46, 36.63449902020279)	(48, 36.606130656450574)	(50, 36.57065749068536)	(52, 36.53203348943808)	(54, 36.49426336076199)	(56, 36.450033258794285)	(58, 36.405205797414624)	(60, 36.35904325927695)	(62, 36.317744421193645)	(64, 36.271451391760486)	(66, 36.22997042641745)	(68, 36.188866740556826)	(70, 36.15181127651459)	(72, 36.09363089478323)	(74, 36.041540226285576)	(76, 35.96584876380796)	(78, 35.910512215654144)	(80, 35.84636017590883)	(82, 35.78127482770716)	(84, 35.71086732797738)	(86, 35.629741947622904)	(88, 35.52501531217867)	(90, 35.413247591206854)	(92, 35.29889066093323)	(94, 35.20965122032542)	(96, 35.100045232093564)	(98, 34.96377051694164)	(100, 34.8144186278759)
E150031652_L01_B5GANIdazlRAADA-8038_1	(1, 35.46136597308597)	(2, 35.41659959360206)	(3, 35.54856478096993)	(4, 35.52404092884051)	(5, 35.491370688740474)	(6, 35.48910833284919)	(7, 35.490355357413456)	(8, 35.492238892890676)	(9, 35.50006454061742)	(10, 35.45867276616544)	(12, 35.462136967911164)	(14, 35.47176569952948)	(16, 35.50771563411183)	(18, 35.50798741710326)	(20, 35.51492707848621)	(22, 35.52462129743982)	(24, 35.53528907830551)	(26, 35.52707891319963)	(28, 35.55841214056349)	(30, 35.5644663625335)	(32, 35.57308529321194)	(34, 35.60367915334615)	(36, 35.601637435470415)	(38, 35.618563604541094)	(40, 35.6279610204988)	(42, 35.62168276509984)	(44, 35.66739842776313)	(46, 35.68981845343712)	(48, 35.686444353691556)	(50, 35.688616599253784)	(52, 35.695640179819534)	(54, 35.71308534185269)	(56, 35.76189528943778)	(58, 35.76480940922744)	(60, 35.74151948030841)	(62, 35.76238326836673)	(64, 35.78565374653662)	(66, 35.81535319703657)	(68, 35.83266467473153)	(70, 35.80921663837405)	(72, 35.797646932433345)	(74, 35.82832292381396)	(76, 35.839515605605904)	(78, 35.84643432259095)	(80, 35.81865677601717)	(82, 35.83121680993821)	(84, 35.82577139974837)	(86, 35.83130614567992)	(88, 35.82520267772239)	(90, 35.81420677443441)	(92, 35.8251052129779)	(94, 35.82522781988402)	(96, 35.81116967293829)	(98, 35.80400375431108)	(100, 35.802401921540785)
E150031652_L01_B5GANIdazlRAADA-8038_2	(1, 36.66891361780153)	(2, 36.33806543648461)	(3, 36.37969091143784)	(4, 36.353126252058686)	(5, 36.29610546750342)	(6, 36.31155297152227)	(7, 36.29688763970745)	(8, 36.29250771190554)	(9, 36.295657184094225)	(10, 36.288210695489994)	(12, 36.27688369081113)	(14, 36.26405526375946)	(16, 36.25068360388078)	(18, 36.241703982019224)	(20, 36.23245907925795)	(22, 36.222765659878384)	(24, 36.20421725501777)	(26, 36.18868167847316)	(28, 36.1728642520778)	(30, 36.14953191519511)	(32, 36.126890013276316)	(34, 36.10958432416429)	(36, 36.08482302908288)	(38, 36.06562891820781)	(40, 36.04001879476529)	(42, 36.01239468034282)	(44, 35.98185375312089)	(46, 35.95497931710169)	(48, 35.92980178265144)	(50, 35.88982324421827)	(52, 35.84874995010297)	(54, 35.81117158025555)	(56, 35.762696690287065)	(58, 35.716549229876655)	(60, 35.6691645924337)	(62, 35.623688504919855)	(64, 35.5776201495902)	(66, 35.54089751275891)	(68, 35.49868590283384)	(70, 35.46470048003483)	(72, 35.40225608756393)	(74, 35.347379682860165)	(76, 35.27169213427529)	(78, 35.21926312022299)	(80, 35.15438449120418)	(82, 35.08553977225388)	(84, 35.006858751707995)	(86, 34.924701036071944)	(88, 34.81785227126586)	(90, 34.70151772646496)	(92, 34.57503982420121)	(94, 34.482723542537684)	(96, 34.37012961334026)	(98, 34.252575559872156)	(100, 34.12615545459613)
