Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
E150031652_L01_B5GANIdazlRAAAA-8034_1	(0.0, 8.196686598731618e-05)	(1.0, 6.0396638095917185e-05)	(2.0, 4.601648616831785e-05)	(3.0, 5.7161103912207334e-05)	(4.0, 6.974373684885675e-05)	(5.0, 0.00010245858248414521)	(6.0, 0.00013589243571581367)	(7.0, 0.0001671692661583422)	(8.0, 0.00022289235487778957)	(9.0, 0.00030701624365424567)	(10.0, 0.00042780951984608005)	(11.0, 0.0006136729835103013)	(12.0, 0.0009454949892396558)	(13.0, 0.0015002093498468)	(14.0, 0.0024129894934511674)	(15.0, 0.003959574833264475)	(16.0, 0.006455969207895719)	(17.0, 0.01073442391015471)	(18.0, 0.01816932196052175)	(19.0, 0.03129157009825433)	(20.0, 0.05250624873324342)	(21.0, 0.08437338441239993)	(22.0, 0.1321219598803971)	(23.0, 0.2016848663187643)	(24.0, 0.2970871082520365)	(25.0, 0.4192281641832852)	(26.0, 0.5715136135927638)	(27.0, 0.7568881520914468)	(28.0, 0.9827597149448367)	(29.0, 1.25416207433519)	(30.0, 1.5702331401544467)	(31.0, 1.9208104590353727)	(32.0, 2.2978181376554283)	(33.0, 2.696941770932535)	(34.0, 3.103907620063358)	(35.0, 3.4922572840125086)	(36.0, 3.843601424494974)	(37.0, 4.1565728485662365)	(38.0, 4.421770531903628)	(39.0, 4.6193469888166785)	(40.0, 4.736699094652238)	(41.0, 4.780562153069398)	(42.0, 4.768162507566027)	(43.0, 4.7071417708764525)	(44.0, 4.607841069755607)	(45.0, 4.463038332401656)	(46.0, 4.276472398315771)	(47.0, 4.063335538505664)	(48.0, 3.800896327811784)	(49.0, 3.490232558621103)	(50.0, 3.165715670070969)	(51.0, 2.799701258095765)	(52.0, 2.424476718314732)	(53.0, 2.1067824928466474)	(54.0, 1.801030983554434)	(55.0, 1.4948157143625556)	(56.0, 1.208396881321807)	(57.0, 0.9732763642523832)	(58.0, 0.7959780785800383)	(59.0, 0.6501913793304398)	(60.0, 0.5224801715500357)	(61.0, 0.3984297909466)	(62.0, 0.28567933372787196)	(63.0, 0.20344859195268436)	(64.0, 0.14840748193840334)	(65.0, 0.10924781171296305)	(66.0, 0.08026533451048298)	(67.0, 0.056930661977567555)	(68.0, 0.03947279803366378)	(69.0, 0.027109821917708447)	(70.0, 0.018889767572094478)	(71.0, 0.013350533049583216)	(72.0, 0.009423673061954031)	(73.0, 0.006556270767590723)	(74.0, 0.004623578348521374)	(75.0, 0.0032937737990166266)	(76.0, 0.0019434775330150493)	(77.0, 0.0009271602955319667)	(78.0, 0.0005435697428632547)	(79.0, 0.0003339790285184944)	(80.0, 0.0002013221269863906)	(81.0, 0.00012223129138459428)	(82.0, 7.190075963799664e-05)	(83.0, 5.680160011401735e-05)	(84.0, 4.098343299365809e-05)	(85.0, 2.552476967148881e-05)	(86.0, 1.4020648129409347e-05)	(87.0, 6.471068367419698e-06)	(88.0, 5.033053174659765e-06)	(89.0, 2.1570227891398996e-06)	(90.0, 3.595037981899832e-07)	(91.0, 7.190075963799664e-07)	(92.0, 3.595037981899832e-07)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAAAA-8034_2	(0.0, 5.176855475597425e-05)	(1.0, 4.529748541147747e-05)	(2.0, 4.134294303428499e-05)	(3.0, 5.392557787080651e-05)	(4.0, 7.36982897567689e-05)	(5.0, 9.347100164273128e-05)	(6.0, 0.00011719825590588615)	(7.0, 0.00014200402172645713)	(8.0, 0.00019772711885962386)	(9.0, 0.000273222927878753)	(10.0, 0.0003702889680462047)	(11.0, 0.0005263136400190715)	(12.0, 0.0008232638221609795)	(13.0, 0.0013700691817709575)	(14.0, 0.00225193213188488)	(15.0, 0.003697497122674966)	(16.0, 0.006128462173090923)	(17.0, 0.010140525166678929)	(18.0, 0.017539833458258526)	(19.0, 0.030669633158242494)	(20.0, 0.05177969937540088)	(21.0, 0.08404445112706184)	(22.0, 0.1317340751728883)	(23.0, 0.2013221573843443)	(24.0, 0.2974714627279923)	(25.0, 0.42081471798418313)	(26.0, 0.5743663629558947)	(27.0, 0.7612846389870942)	(28.0, 0.9883753135089296)	(29.0, 1.2619174808086777)	(30.0, 1.5799604729828252)	(31.0, 1.931159426958912)	(32.0, 2.309105467558919)	(33.0, 2.707139504923506)	(34.0, 3.1126602100158234)	(35.0, 3.4999544292916607)	(36.0, 3.847932947757303)	(37.0, 4.156941608118828)	(38.0, 4.415645253907793)	(39.0, 4.60342705819263)	(40.0, 4.715768057547766)	(41.0, 4.753945928664887)	(42.0, 4.733100816787001)	(43.0, 4.6676470288789735)	(44.0, 4.564952596397219)	(45.0, 4.419963254679835)	(46.0, 4.2340293001967035)	(47.0, 4.0212839079000595)	(48.0, 3.765670197723092)	(49.0, 3.464755766599975)	(50.0, 3.1508068042977797)	(51.0, 2.7984200495931253)	(52.0, 2.4281925567056932)	(53.0, 2.112078302700058)	(54.0, 1.8152596989681549)	(55.0, 1.5172813358081771)	(56.0, 1.2359915009838038)	(57.0, 0.9995530072899904)	(58.0, 0.8185122597428565)	(59.0, 0.670049032299034)	(60.0, 0.5412650457395313)	(61.0, 0.4188040129373069)	(62.0, 0.3070224015766171)	(63.0, 0.22275937210725225)	(64.0, 0.1645391612148147)	(65.0, 0.123250503262253)	(66.0, 0.09201393252866209)	(67.0, 0.0667490802884843)	(68.0, 0.047691062061236335)	(69.0, 0.03382787450220939)	(70.0, 0.0239325309629164)	(71.0, 0.01727308159972427)	(72.0, 0.012553515024471282)	(73.0, 0.009015278108441433)	(74.0, 0.006556990765237599)	(75.0, 0.004769897114599072)	(76.0, 0.0031877206598696093)	(77.0, 0.0019384447725292581)	(78.0, 0.0012147635175030348)	(79.0, 0.0007977390486354643)	(80.0, 0.0005399747864130092)	(81.0, 0.0003713674796036208)	(82.0, 0.00025632624681256694)	(83.0, 0.00018909902640029485)	(84.0, 0.00014955360262837005)	(85.0, 0.0001143222250861098)	(86.0, 7.729332828148933e-05)	(87.0, 5.4285081723278555e-05)	(88.0, 3.882641606698069e-05)	(89.0, 2.98388197551796e-05)	(90.0, 2.8041300492819383e-05)	(91.0, 2.4805765820570994e-05)	(92.0, 1.9772711885962386e-05)	(93.0, 1.4020650246409692e-05)	(94.0, 8.987596311801086e-06)	(95.0, 4.314046229664521e-06)	(96.0, 4.314046229664521e-06)	(97.0, 3.5950385247204336e-06)	(98.0, 1.7975192623602168e-06)	(99.0, 1.0785115574161302e-06)	(100.0, 3.595038524720434e-07)
E150031652_L01_B5GANIdazlRAABA-8035_1	(0.0, 1.5773185752993e-05)	(1.0, 1.4590196821518525e-05)	(2.0, 1.5773185752993e-05)	(3.0, 2.129380076654055e-05)	(4.0, 2.9574723286861873e-05)	(5.0, 5.5206150135475496e-05)	(6.0, 8.556953270998702e-05)	(7.0, 0.00011908755243509716)	(8.0, 0.00016956174684467474)	(9.0, 0.0002476390163219901)	(10.0, 0.00040576520349574493)	(11.0, 0.0006411800008591655)	(12.0, 0.0010402416004098884)	(13.0, 0.0017508236185822229)	(14.0, 0.002792642537567411)	(15.0, 0.0045190177182324945)	(16.0, 0.007554567316395997)	(17.0, 0.012618942932038224)	(18.0, 0.020942453053892633)	(19.0, 0.03429721510130798)	(20.0, 0.05534455984045801)	(21.0, 0.08747887684538683)	(22.0, 0.13403974386964687)	(23.0, 0.2030056325967458)	(24.0, 0.2995383180643506)	(25.0, 0.423032898598834)	(26.0, 0.5798802747376649)	(27.0, 0.7742662556500438)	(28.0, 1.0096672514759306)	(29.0, 1.302462138301233)	(30.0, 1.6608971376376154)	(31.0, 2.06096309479116)	(32.0, 2.4699677163109257)	(33.0, 2.896556285308128)	(34.0, 3.3094825151357323)	(35.0, 3.669164384805889)	(36.0, 3.9883907933271256)	(37.0, 4.272443391948831)	(38.0, 4.51837496091306)	(39.0, 4.714941979085434)	(40.0, 4.8263862400342745)	(41.0, 4.835243278164223)	(42.0, 4.785327060200658)	(43.0, 4.688524653256677)	(44.0, 4.566141293658492)	(45.0, 4.413605912174886)	(46.0, 4.203757871598492)	(47.0, 3.9579335602973837)	(48.0, 3.67700089781762)	(49.0, 3.383418140363956)	(50.0, 3.1244689611977816)	(51.0, 2.8166284268123434)	(52.0, 2.415956779325884)	(53.0, 2.0018783182790236)	(54.0, 1.623109710858814)	(55.0, 1.3108463751882362)	(56.0, 1.0578452643695162)	(57.0, 0.848875001580276)	(58.0, 0.680169344392345)	(59.0, 0.5458882707806774)	(60.0, 0.43027712848553984)	(61.0, 0.3297770924714135)	(62.0, 0.24894030414661203)	(63.0, 0.18620285214372617)	(64.0, 0.13931863481152978)	(65.0, 0.10467362096436832)	(66.0, 0.07890654471827896)	(67.0, 0.05958084320406811)	(68.0, 0.042185385296379774)	(69.0, 0.028618473900586673)	(70.0, 0.02038250495966138)	(71.0, 0.014532230363876276)	(72.0, 0.010327887701415992)	(73.0, 0.007462294179740988)	(74.0, 0.00552061501354755)	(75.0, 0.004041878849204456)	(76.0, 0.0027772636814582426)	(77.0, 0.0018592642706340497)	(78.0, 0.0013052311210601708)	(79.0, 0.0009586153641381495)	(80.0, 0.0007318758189388752)	(81.0, 0.0005165718334105208)	(82.0, 0.00033084257116902817)	(83.0, 0.00022279624876102611)	(84.0, 0.00014393031999606113)	(85.0, 8.083757698408913e-05)	(86.0, 4.4164920108380396e-05)	(87.0, 1.9322152547416423e-05)	(88.0, 8.675252164146149e-06)	(89.0, 4.7319557258979e-06)	(90.0, 2.7603075067737747e-06)	(91.0, 2.36597786294895e-06)	(92.0, 1.182988931474475e-06)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 3.9432964382482495e-07)	(98.0, 3.9432964382482495e-07)	(99.0, 0.0)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAABA-8035_2	(0.0, 1.498452652443178e-05)	(1.0, 1.3012878297532862e-05)	(2.0, 1.735050439671048e-05)	(3.0, 2.799740482196464e-05)	(4.0, 3.903863489259858e-05)	(5.0, 6.112109503386648e-05)	(6.0, 9.385045560038852e-05)	(7.0, 0.00011593291574165641)	(8.0, 0.0001541828913434954)	(9.0, 0.00023344315006483193)	(10.0, 0.00036554358126705946)	(11.0, 0.0005847908640982192)	(12.0, 0.0009775431908964837)	(13.0, 0.0016222721610924299)	(14.0, 0.0026767096328379715)	(15.0, 0.004488260023712698)	(16.0, 0.007539582819661463)	(17.0, 0.012594888873430292)	(18.0, 0.021082440160584755)	(19.0, 0.034691939211577226)	(20.0, 0.055997569951446946)	(21.0, 0.0887308738144228)	(22.0, 0.13639744134793103)	(23.0, 0.20680657684907294)	(24.0, 0.3060881346552772)	(25.0, 0.4325192885458796)	(26.0, 0.5916281458194592)	(27.0, 0.7892401383272117)	(28.0, 1.0289846761252126)	(29.0, 1.3266278470950363)	(30.0, 1.690077143615484)	(31.0, 2.0948395684230805)	(32.0, 2.504548858631966)	(33.0, 2.926337254538126)	(34.0, 3.333913221365507)	(35.0, 3.687288184105792)	(36.0, 4.000175744836352)	(37.0, 4.2816935936176606)	(38.0, 4.521888455870686)	(39.0, 4.708169780348095)	(40.0, 4.808717136315969)	(41.0, 4.8096576125201995)	(42.0, 4.753862333676833)	(43.0, 4.651954934762045)	(44.0, 4.524858152430041)	(45.0, 4.367769445929741)	(46.0, 4.154642553524521)	(47.0, 3.90610288731597)	(48.0, 3.6255878188228627)	(49.0, 3.3328520802897903)	(50.0, 3.070921767983432)	(51.0, 2.7774123546861245)	(52.0, 2.4093888342792713)	(53.0, 2.0178754912267904)	(54.0, 1.642379818369636)	(55.0, 1.327155065830909)	(56.0, 1.0713550021916252)	(57.0, 0.8600223096728828)	(58.0, 0.6922141460925799)	(59.0, 0.5573005672002129)	(60.0, 0.4424674368395208)	(61.0, 0.3420024957675318)	(62.0, 0.2608999289429809)	(63.0, 0.19812619836532774)	(64.0, 0.14954478605453841)	(65.0, 0.11392538351702793)	(66.0, 0.08742248805105267)	(67.0, 0.0669118258762686)	(68.0, 0.04896588371503464)	(69.0, 0.03469036189299571)	(70.0, 0.025075422149700443)	(71.0, 0.018232225483779677)	(72.0, 0.013353184781495615)	(73.0, 0.009757687074922748)	(74.0, 0.007304562351015113)	(75.0, 0.00555925934056419)	(76.0, 0.004003234559895564)	(77.0, 0.002814330679075516)	(78.0, 0.0020879754722859544)	(79.0, 0.0015627283846400826)	(80.0, 0.0011727363653594768)	(81.0, 0.000851357704374953)	(82.0, 0.0005820305565805607)	(83.0, 0.0004026105679327591)	(84.0, 0.00026893281814901245)	(85.0, 0.00018809524084615681)	(86.0, 0.00013643805730140517)	(87.0, 8.714685162893219e-05)	(88.0, 6.545872113304409e-05)	(89.0, 4.9685535317852745e-05)	(90.0, 3.312369021190183e-05)	(91.0, 2.3265449077407237e-05)	(92.0, 1.5378856169811562e-05)	(93.0, 1.2618548652153076e-05)	(94.0, 1.0252570779874375e-05)	(95.0, 5.520615035316971e-06)	(96.0, 3.5489668084180532e-06)	(97.0, 2.3659778722787023e-06)	(98.0, 2.3659778722787023e-06)	(99.0, 1.5773185815191345e-06)	(100.0, 3.9432964537978363e-07)
E150031652_L01_B5GANIdazlRAACA-8036_1	(0.0, 2.6111033430786654e-05)	(1.0, 2.555547952800396e-05)	(2.0, 2.9999910750265516e-05)	(3.0, 4.444431222261558e-05)	(4.0, 5.138873600739926e-05)	(5.0, 7.194423041035898e-05)	(6.0, 0.0001177774273899313)	(7.0, 0.0001705550481542873)	(8.0, 0.00028972136030117534)	(9.0, 0.0004977762968932946)	(10.0, 0.0007266645048397648)	(11.0, 0.0010999967275097356)	(12.0, 0.001868605552009594)	(13.0, 0.002949713446824718)	(14.0, 0.004385264731615201)	(15.0, 0.006668869049003468)	(16.0, 0.010128858755534091)	(17.0, 0.015506620534470576)	(18.0, 0.02460242680778025)	(19.0, 0.039388216153390276)	(20.0, 0.06212175963220954)	(21.0, 0.09525138329380137)	(22.0, 0.14259902021235932)	(23.0, 0.2095990986649037)	(24.0, 0.29942216477461536)	(25.0, 0.4129012716187169)	(26.0, 0.5530702990603048)	(27.0, 0.7251039539268481)	(28.0, 0.9359544377577699)	(29.0, 1.1861956377346443)	(30.0, 1.475950609046938)	(31.0, 1.7999496451498058)	(32.0, 2.1514447105630974)	(33.0, 2.5284619222702256)	(34.0, 2.9193460371677618)	(35.0, 3.2946785316647014)	(36.0, 3.636000571787188)	(37.0, 3.9451468742991604)	(38.0, 4.213284409923325)	(39.0, 4.422059344373451)	(40.0, 4.56494391929184)	(41.0, 4.642451744261616)	(42.0, 4.664259179384497)	(43.0, 4.646322010525352)	(44.0, 4.588773292843898)	(45.0, 4.483538605917092)	(46.0, 4.337924039120429)	(47.0, 4.16055901122583)	(48.0, 3.9322944125352337)	(49.0, 3.6476944258868604)	(50.0, 3.347025598154401)	(51.0, 2.9944127582887106)	(52.0, 2.6151711087548404)	(53.0, 2.2894840221183674)	(54.0, 1.9769613407622333)	(55.0, 1.6575170133313297)	(56.0, 1.3486929320829715)	(57.0, 1.0918573072800664)	(58.0, 0.8983889939594097)	(59.0, 0.7399172431906459)	(60.0, 0.5986704411776597)	(61.0, 0.461331405316847)	(62.0, 0.3350220588649304)	(63.0, 0.23907345542313677)	(64.0, 0.17406420438121417)	(65.0, 0.12911183811450383)	(66.0, 0.09569193753870804)	(67.0, 0.0686720179229689)	(68.0, 0.04783985767642342)	(69.0, 0.03276295808575525)	(70.0, 0.02270493245282595)	(71.0, 0.015989119099037347)	(72.0, 0.011307466360287578)	(73.0, 0.007819143404715038)	(74.0, 0.00538498397967266)	(75.0, 0.003858044077874424)	(76.0, 0.002357492986458365)	(77.0, 0.0011774964969479215)	(78.0, 0.0006933312706728031)	(79.0, 0.0004111098880591941)	(80.0, 0.0002413881707590809)	(81.0, 0.00014277735301515256)	(82.0, 9.97219255494937e-05)	(83.0, 7.694421553540323e-05)	(84.0, 5.027762820183388e-05)	(85.0, 2.7777695139134736e-05)	(86.0, 1.3888847569567368e-05)	(87.0, 8.611085493131769e-06)	(88.0, 6.111092930609643e-06)	(89.0, 3.333323416696169e-06)	(90.0, 1.944438659739432e-06)	(91.0, 1.388884756956737e-06)	(92.0, 8.333308541740422e-07)	(93.0, 5.555539027826947e-07)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAACA-8036_2	(0.0, 2.1111048833517052e-05)	(1.0, 1.7499948375152295e-05)	(2.0, 1.91666101251668e-05)	(3.0, 3.499989675030459e-05)	(4.0, 5.222206816712113e-05)	(5.0, 6.777757783392318e-05)	(6.0, 9.527749670916249e-05)	(7.0, 0.00014999955750130537)	(8.0, 0.00026611032608564916)	(9.0, 0.0004363876015454643)	(10.0, 0.0006649980382557871)	(11.0, 0.0010241636453839128)	(12.0, 0.0017022172006814801)	(13.0, 0.002713880882940284)	(14.0, 0.004114432306869139)	(15.0, 0.006369425654638762)	(16.0, 0.009815804376710422)	(17.0, 0.015200510714048949)	(18.0, 0.024155762073835216)	(19.0, 0.03904238482496476)	(20.0, 0.062238427507749966)	(21.0, 0.09549499606753938)	(22.0, 0.14258152382894915)	(23.0, 0.210247157548663)	(24.0, 0.30125438907733)	(25.0, 0.4159801617474117)	(26.0, 0.5582100199471078)	(27.0, 0.7320164516625787)	(28.0, 0.9436658272969205)	(29.0, 1.1950900855953586)	(30.0, 1.4867039475566879)	(31.0, 1.811898821565143)	(32.0, 2.164863058098423)	(33.0, 2.541725557465161)	(34.0, 2.9303877442450434)	(35.0, 3.3060183028015624)	(36.0, 3.6447739701390107)	(37.0, 3.9488614064144065)	(38.0, 4.214767566435679)	(39.0, 4.418948352991247)	(40.0, 4.554261009374467)	(41.0, 4.622274419846017)	(42.0, 4.6361416011600545)	(43.0, 4.611005841977211)	(44.0, 4.548345749046707)	(45.0, 4.443662446751338)	(46.0, 4.297958987687653)	(47.0, 4.116524245142366)	(48.0, 3.890568245045899)	(49.0, 3.6147090588304986)	(50.0, 3.3208863144964837)	(51.0, 2.9822006469525357)	(52.0, 2.609765356747753)	(53.0, 2.28322826447662)	(54.0, 1.9786891628669696)	(55.0, 1.67021257287291)	(56.0, 1.3692770717437495)	(57.0, 1.1128033838966842)	(58.0, 0.9168272953594786)	(59.0, 0.7561791581603724)	(60.0, 0.6154612399448977)	(61.0, 0.4810699697324782)	(62.0, 0.355872283510097)	(63.0, 0.25912506891438003)	(64.0, 0.19152443500291674)	(65.0, 0.14405707503162865)	(66.0, 0.10853662426140287)	(67.0, 0.07930559938181515)	(68.0, 0.05696594306157908)	(69.0, 0.04061543574002012)	(70.0, 0.028966581215252085)	(71.0, 0.020754105442055613)	(72.0, 0.015058288911381045)	(73.0, 0.010883023450636376)	(74.0, 0.007826365801109776)	(75.0, 0.005755538576716754)	(76.0, 0.0038605441669502627)	(77.0, 0.002361659699770552)	(78.0, 0.001521939954721578)	(79.0, 0.0009786082242168497)	(80.0, 0.0006541647368806929)	(81.0, 0.0004594430890873316)	(82.0, 0.0003111101933360408)	(83.0, 0.00021749935837689282)	(84.0, 0.0001616661897514069)	(85.0, 0.00011499966075100079)	(86.0, 8.499974925073972e-05)	(87.0, 6.13887077922009e-05)	(88.0, 4.9444298583763626e-05)	(89.0, 3.99998820003481e-05)	(90.0, 3.555545066697609e-05)	(91.0, 2.972213454192532e-05)	(92.0, 2.0833271875181302e-05)	(93.0, 1.4999955750130536e-05)	(94.0, 1.2499963125108782e-05)	(95.0, 8.33330875007252e-06)	(96.0, 4.16665437503626e-06)	(97.0, 3.333323500029008e-06)	(98.0, 2.2222156666860056e-06)	(99.0, 5.555539166715014e-07)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAADA-8038_1	(0.0, 2.2210387663937578e-05)	(1.0, 1.776831013115006e-05)	(2.0, 1.4436751981559424e-05)	(3.0, 1.4992011673157866e-05)	(4.0, 1.749068028535084e-05)	(5.0, 2.7762984579921973e-05)	(6.0, 3.859054856609154e-05)	(7.0, 4.886285286066267e-05)	(8.0, 6.302197499642288e-05)	(9.0, 8.634288204355734e-05)	(10.0, 0.0001227123918432551)	(11.0, 0.00017185287454971702)	(12.0, 0.0002631930938176603)	(13.0, 0.0004156118791614319)	(14.0, 0.0006904654265026595)	(15.0, 0.0011760400268054948)	(16.0, 0.002044466184465454)	(17.0, 0.003726625420162926)	(18.0, 0.006796656255010698)	(19.0, 0.012267352366484324)	(20.0, 0.021451902925214112)	(21.0, 0.03617600179717573)	(22.0, 0.059002727718787576)	(23.0, 0.09315508556993278)	(24.0, 0.14258596909510068)	(25.0, 0.21222941591383496)	(26.0, 0.30570211002736203)	(27.0, 0.42641084727348416)	(28.0, 0.5825376568377503)	(29.0, 0.7793166942030127)	(30.0, 1.020475695308818)	(31.0, 1.3068486602119467)	(32.0, 1.637745678745588)	(33.0, 2.0094240229585223)	(34.0, 2.4080069202681678)	(35.0, 2.8064701591142733)	(36.0, 3.1892972850449666)	(37.0, 3.5494212303354296)	(38.0, 3.876997518283466)	(39.0, 4.154294208267727)	(40.0, 4.369829640385339)	(41.0, 4.520082912931877)	(42.0, 4.618912752549945)	(43.0, 4.680495772055591)	(44.0, 4.698652486341015)	(45.0, 4.6701851548423)	(46.0, 4.598849831743265)	(47.0, 4.491465106056739)	(48.0, 4.317816521664392)	(49.0, 4.074542814023134)	(50.0, 3.812820047868827)	(51.0, 3.482837264417402)	(52.0, 3.1066010710259824)	(53.0, 2.7743456096568453)	(54.0, 2.442437463224804)	(55.0, 2.0961433710729835)	(56.0, 1.7458333632016776)	(57.0, 1.4390554375218436)	(58.0, 1.2028379700414187)	(59.0, 1.006184698996303)	(60.0, 0.8279846509119244)	(61.0, 0.6469275140844258)	(62.0, 0.4752262254305152)	(63.0, 0.34191586948356645)	(64.0, 0.25164285934287534)	(65.0, 0.18919002553034087)	(66.0, 0.14112896766434635)	(67.0, 0.10091428450032938)	(68.0, 0.07050743089886144)	(69.0, 0.04907135287485788)	(70.0, 0.034245641479333754)	(71.0, 0.024068008962180157)	(72.0, 0.017115324733830296)	(73.0, 0.011965846353946371)	(74.0, 0.008321676997985812)	(75.0, 0.005959324640080251)	(76.0, 0.0036419483171941645)	(77.0, 0.0018814974649813121)	(78.0, 0.0010483302977378536)	(79.0, 0.0006146724785994725)	(80.0, 0.0003872936348899115)	(81.0, 0.000259028646130672)	(82.0, 0.00017490680285350843)	(83.0, 0.00013020839767983406)	(84.0, 8.217843435656903e-05)	(85.0, 4.08115873324853e-05)	(86.0, 2.054460858914226e-05)	(87.0, 1.2493343060964888e-05)	(88.0, 6.940746144980493e-06)	(89.0, 4.164447686988296e-06)	(90.0, 1.6657790747953183e-06)	(91.0, 1.3881492289960986e-06)	(92.0, 1.1105193831968787e-06)	(93.0, 2.776298457992197e-07)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAADA-8038_2	(0.0, 1.3881492868048496e-05)	(1.0, 1.2770973438604615e-05)	(2.0, 9.994674864994916e-06)	(3.0, 1.0272304722355887e-05)	(4.0, 1.3048603295965586e-05)	(5.0, 1.5547272012214316e-05)	(6.0, 2.387616773304341e-05)	(7.0, 3.303795302595542e-05)	(8.0, 4.691944589400391e-05)	(9.0, 6.91298344828815e-05)	(10.0, 9.41165216453688e-05)	(11.0, 0.00012521106566979742)	(12.0, 0.00018295807600087917)	(13.0, 0.00029234423980110133)	(14.0, 0.0005200007228370967)	(15.0, 0.0009672624230456191)	(16.0, 0.0017729442691071537)	(17.0, 0.0033082373803133176)	(18.0, 0.006200585234299902)	(19.0, 0.011503593139751788)	(20.0, 0.020311677994385918)	(21.0, 0.0342473086846198)	(22.0, 0.05612509670437896)	(23.0, 0.08946622153457255)	(24.0, 0.1380775437793342)	(25.0, 0.20616709918668416)	(26.0, 0.29854926711311897)	(27.0, 0.4182421617380098)	(28.0, 0.5733556288247278)	(29.0, 0.7698562116378177)	(30.0, 1.0106470855957033)	(31.0, 1.2986458628693904)	(32.0, 1.6311417655316074)	(33.0, 2.0021346571050684)	(34.0, 2.3992244776406033)	(35.0, 2.799329080797221)	(36.0, 3.181957162062823)	(37.0, 3.540401461713425)	(38.0, 3.869769308772756)	(39.0, 4.1474177673341694)	(40.0, 4.358814857773819)	(41.0, 4.506817113694093)	(42.0, 4.602512793968132)	(43.0, 4.656977386495634)	(44.0, 4.669434638195422)	(45.0, 4.639144110237909)	(46.0, 4.56835821365587)	(47.0, 4.460801352985799)	(48.0, 4.291278618672189)	(49.0, 4.051918371369285)	(50.0, 3.7927942097805687)	(51.0, 3.4699995272241155)	(52.0, 3.1005335998661403)	(53.0, 2.7716543813557646)	(54.0, 2.4494535490642075)	(55.0, 2.1152918672578247)	(56.0, 1.7737174682599042)	(57.0, 1.4724249405262013)	(58.0, 1.2340516673662154)	(59.0, 1.0337672672271527)	(60.0, 0.8563803895739361)	(61.0, 0.6790951244485136)	(62.0, 0.50956017442118)	(63.0, 0.3731314743647126)	(64.0, 0.2772070270882091)	(65.0, 0.2102257700714442)	(66.0, 0.15878762061903312)	(67.0, 0.11625972380876504)	(68.0, 0.0835341043723407)	(69.0, 0.05933005577775399)	(70.0, 0.042367982012428175)	(71.0, 0.030406021978173426)	(72.0, 0.022053250089611284)	(73.0, 0.01600091919914214)	(74.0, 0.011446123759278067)	(75.0, 0.008418292534899329)	(76.0, 0.005693910744616132)	(77.0, 0.0034062407199617396)	(78.0, 0.0021544076931211266)	(79.0, 0.001384817728516518)	(80.0, 0.0009084048932850935)	(81.0, 0.0006196698416296848)	(82.0, 0.00042060923390186935)	(83.0, 0.00030844677152803756)	(84.0, 0.0002279341128933563)	(85.0, 0.0001687989532754697)	(86.0, 0.00011827031923577317)	(87.0, 7.995739891995933e-05)	(88.0, 6.579827619454987e-05)	(89.0, 5.3582562470667186e-05)	(90.0, 3.942343974525772e-05)	(91.0, 2.85958753081799e-05)	(92.0, 2.6374836449292142e-05)	(93.0, 2.415379759040438e-05)	(94.0, 1.7213051156380136e-05)	(95.0, 8.884155435551037e-06)	(96.0, 5.830227004580368e-06)	(97.0, 4.164447860414549e-06)	(98.0, 1.3881492868048494e-06)	(99.0, 2.776298573609699e-07)	(100.0, 2.776298573609699e-07)
