Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
E150031652_L01_B5GANIdazlRAAAA-8034_1	(0.0, 114.0)	(1.0, 84.0)	(2.0, 64.0)	(3.0, 79.5)	(4.0, 97.0)	(5.0, 142.5)	(6.0, 189.0)	(7.0, 232.5)	(8.0, 310.0)	(9.0, 427.0)	(10.0, 595.0)	(11.0, 853.5)	(12.0, 1315.0)	(13.0, 2086.5)	(14.0, 3356.0)	(15.0, 5507.0)	(16.0, 8979.0)	(17.0, 14929.5)	(18.0, 25270.0)	(19.0, 43520.5)	(20.0, 73026.0)	(21.0, 117347.0)	(22.0, 183756.0)	(23.0, 280504.5)	(24.0, 413190.5)	(25.0, 583065.0)	(26.0, 794864.5)	(27.0, 1052684.5)	(28.0, 1366828.0)	(29.0, 1744296.0)	(30.0, 2183889.5)	(31.0, 2671474.5)	(32.0, 3195819.0)	(33.0, 3750922.5)	(34.0, 4316933.0)	(35.0, 4857052.0)	(36.0, 5345703.5)	(37.0, 5780986.0)	(38.0, 6149824.5)	(39.0, 6424615.0)	(40.0, 6587829.0)	(41.0, 6648834.0)	(42.0, 6631588.5)	(43.0, 6546720.5)	(44.0, 6408612.5)	(45.0, 6207220.0)	(46.0, 5947743.0)	(47.0, 5651311.0)	(48.0, 5286309.0)	(49.0, 4854236.0)	(50.0, 4402896.0)	(51.0, 3893841.0)	(52.0, 3371976.5)	(53.0, 2930125.5)	(54.0, 2504884.5)	(55.0, 2078998.5)	(56.0, 1680645.5)	(57.0, 1353638.5)	(58.0, 1107051.0)	(59.0, 904290.0)	(60.0, 726668.5)	(61.0, 554138.5)	(62.0, 397324.5)	(63.0, 282957.5)	(64.0, 206406.0)	(65.0, 151942.5)	(66.0, 111633.5)	(67.0, 79179.5)	(68.0, 54899.0)	(69.0, 37704.5)	(70.0, 26272.0)	(71.0, 18568.0)	(72.0, 13106.5)	(73.0, 9118.5)	(74.0, 6430.5)	(75.0, 4581.0)	(76.0, 2703.0)	(77.0, 1289.5)	(78.0, 756.0)	(79.0, 464.5)	(80.0, 280.0)	(81.0, 170.0)	(82.0, 100.0)	(83.0, 79.0)	(84.0, 57.0)	(85.0, 35.5)	(86.0, 19.5)	(87.0, 9.0)	(88.0, 7.0)	(89.0, 3.0)	(90.0, 0.5)	(91.0, 1.0)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAAAA-8034_2	(0.0, 72.0)	(1.0, 63.0)	(2.0, 57.5)	(3.0, 75.0)	(4.0, 102.5)	(5.0, 130.0)	(6.0, 163.0)	(7.0, 197.5)	(8.0, 275.0)	(9.0, 380.0)	(10.0, 515.0)	(11.0, 732.0)	(12.0, 1145.0)	(13.0, 1905.5)	(14.0, 3132.0)	(15.0, 5142.5)	(16.0, 8523.5)	(17.0, 14103.5)	(18.0, 24394.5)	(19.0, 42655.5)	(20.0, 72015.5)	(21.0, 116889.5)	(22.0, 183216.5)	(23.0, 280000.0)	(24.0, 413725.0)	(25.0, 585271.5)	(26.0, 798832.0)	(27.0, 1058799.0)	(28.0, 1374638.0)	(29.0, 1755082.0)	(30.0, 2197418.0)	(31.0, 2685867.5)	(32.0, 3211517.0)	(33.0, 3765105.0)	(34.0, 4329105.5)	(35.0, 4867756.5)	(36.0, 5351727.0)	(37.0, 5781498.0)	(38.0, 6141304.5)	(39.0, 6402472.5)	(40.0, 6558717.0)	(41.0, 6611815.0)	(42.0, 6582823.5)	(43.0, 6491790.0)	(44.0, 6348962.0)	(45.0, 6147310.0)	(46.0, 5888712.0)	(47.0, 5592824.5)	(48.0, 5237315.5)	(49.0, 4818802.0)	(50.0, 4382160.0)	(51.0, 3892058.5)	(52.0, 3377144.0)	(53.0, 2937490.5)	(54.0, 2524673.5)	(55.0, 2110243.5)	(56.0, 1719024.0)	(57.0, 1390184.0)	(58.0, 1138391.5)	(59.0, 931908.0)	(60.0, 752794.5)	(61.0, 582475.0)	(62.0, 427008.5)	(63.0, 309815.0)	(64.0, 228842.0)	(65.0, 171417.5)	(66.0, 127973.5)	(67.0, 92835.0)	(68.0, 66329.0)	(69.0, 47048.0)	(70.0, 33285.5)	(71.0, 24023.5)	(72.0, 17459.5)	(73.0, 12538.5)	(74.0, 9119.5)	(75.0, 6634.0)	(76.0, 4433.5)	(77.0, 2696.0)	(78.0, 1689.5)	(79.0, 1109.5)	(80.0, 751.0)	(81.0, 516.5)	(82.0, 356.5)	(83.0, 263.0)	(84.0, 208.0)	(85.0, 159.0)	(86.0, 107.5)	(87.0, 75.5)	(88.0, 54.0)	(89.0, 41.5)	(90.0, 39.0)	(91.0, 34.5)	(92.0, 27.5)	(93.0, 19.5)	(94.0, 12.5)	(95.0, 6.0)	(96.0, 6.0)	(97.0, 5.0)	(98.0, 2.5)	(99.0, 1.5)	(100.0, 0.5)
E150031652_L01_B5GANIdazlRAABA-8035_1	(0.0, 20.0)	(1.0, 18.5)	(2.0, 20.0)	(3.0, 27.0)	(4.0, 37.5)	(5.0, 70.0)	(6.0, 108.5)	(7.0, 151.0)	(8.0, 215.0)	(9.0, 314.0)	(10.0, 514.5)	(11.0, 813.0)	(12.0, 1319.0)	(13.0, 2220.0)	(14.0, 3541.0)	(15.0, 5730.0)	(16.0, 9579.0)	(17.0, 16000.5)	(18.0, 26554.5)	(19.0, 43488.0)	(20.0, 70175.5)	(21.0, 110921.0)	(22.0, 169959.0)	(23.0, 257406.0)	(24.0, 379807.0)	(25.0, 536395.0)	(26.0, 735273.5)	(27.0, 981750.0)	(28.0, 1280232.5)	(29.0, 1651489.0)	(30.0, 2105975.5)	(31.0, 2613249.0)	(32.0, 3131856.5)	(33.0, 3672760.0)	(34.0, 4196340.0)	(35.0, 4652407.5)	(36.0, 5057178.5)	(37.0, 5417350.0)	(38.0, 5729185.0)	(39.0, 5978427.0)	(40.0, 6119735.5)	(41.0, 6130966.0)	(42.0, 6067673.5)	(43.0, 5944930.5)	(44.0, 5789751.5)	(45.0, 5596340.5)	(46.0, 5330258.5)	(47.0, 5018559.5)	(48.0, 4662344.0)	(49.0, 4290088.5)	(50.0, 3961747.5)	(51.0, 3571413.5)	(52.0, 3063372.0)	(53.0, 2538331.0)	(54.0, 2058062.0)	(55.0, 1662120.0)	(56.0, 1341321.0)	(57.0, 1076352.0)	(58.0, 862437.5)	(59.0, 692172.5)	(60.0, 545580.5)	(61.0, 418149.0)	(62.0, 315650.0)	(63.0, 236100.5)	(64.0, 176652.5)	(65.0, 132723.5)	(66.0, 100051.5)	(67.0, 75547.0)	(68.0, 53490.0)	(69.0, 36287.5)	(70.0, 25844.5)	(71.0, 18426.5)	(72.0, 13095.5)	(73.0, 9462.0)	(74.0, 7000.0)	(75.0, 5125.0)	(76.0, 3521.5)	(77.0, 2357.5)	(78.0, 1655.0)	(79.0, 1215.5)	(80.0, 928.0)	(81.0, 655.0)	(82.0, 419.5)	(83.0, 282.5)	(84.0, 182.5)	(85.0, 102.5)	(86.0, 56.0)	(87.0, 24.5)	(88.0, 11.0)	(89.0, 6.0)	(90.0, 3.5)	(91.0, 3.0)	(92.0, 1.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAABA-8035_2	(0.0, 19.0)	(1.0, 16.5)	(2.0, 22.0)	(3.0, 35.5)	(4.0, 49.5)	(5.0, 77.5)	(6.0, 119.0)	(7.0, 147.0)	(8.0, 195.5)	(9.0, 296.0)	(10.0, 463.5)	(11.0, 741.5)	(12.0, 1239.5)	(13.0, 2057.0)	(14.0, 3394.0)	(15.0, 5691.0)	(16.0, 9560.0)	(17.0, 15970.0)	(18.0, 26732.0)	(19.0, 43988.5)	(20.0, 71003.5)	(21.0, 112508.5)	(22.0, 172948.5)	(23.0, 262225.5)	(24.0, 388112.0)	(25.0, 548423.5)	(26.0, 750169.5)	(27.0, 1000736.5)	(28.0, 1304726.5)	(29.0, 1682130.5)	(30.0, 2142975.0)	(31.0, 2656203.5)	(32.0, 3175704.5)	(33.0, 3710521.5)	(34.0, 4227317.5)	(35.0, 4675388.0)	(36.0, 5072121.5)	(37.0, 5429079.0)	(38.0, 5733640.0)	(39.0, 5969840.0)	(40.0, 6097331.5)	(41.0, 6098524.0)	(42.0, 6027777.0)	(43.0, 5898561.0)	(44.0, 5737405.5)	(45.0, 5538221.0)	(46.0, 5267981.5)	(47.0, 4952839.5)	(48.0, 4597153.5)	(49.0, 4225972.0)	(50.0, 3893851.0)	(51.0, 3521688.5)	(52.0, 3055044.0)	(53.0, 2558615.0)	(54.0, 2082496.0)	(55.0, 1682799.0)	(56.0, 1358451.0)	(57.0, 1090486.5)	(58.0, 877710.0)	(59.0, 706643.0)	(60.0, 561037.5)	(61.0, 433650.5)	(62.0, 330814.5)	(63.0, 251219.0)	(64.0, 189619.0)	(65.0, 144454.5)	(66.0, 110849.5)	(67.0, 84842.5)	(68.0, 62087.5)	(69.0, 43986.5)	(70.0, 31795.0)	(71.0, 23118.0)	(72.0, 16931.5)	(73.0, 12372.5)	(74.0, 9262.0)	(75.0, 7049.0)	(76.0, 5076.0)	(77.0, 3568.5)	(78.0, 2647.5)	(79.0, 1981.5)	(80.0, 1487.0)	(81.0, 1079.5)	(82.0, 738.0)	(83.0, 510.5)	(84.0, 341.0)	(85.0, 238.5)	(86.0, 173.0)	(87.0, 110.5)	(88.0, 83.0)	(89.0, 63.0)	(90.0, 42.0)	(91.0, 29.5)	(92.0, 19.5)	(93.0, 16.0)	(94.0, 13.0)	(95.0, 7.0)	(96.0, 4.5)	(97.0, 3.0)	(98.0, 3.0)	(99.0, 2.0)	(100.0, 0.5)
E150031652_L01_B5GANIdazlRAACA-8036_1	(0.0, 47.0)	(1.0, 46.0)	(2.0, 54.0)	(3.0, 80.0)	(4.0, 92.5)	(5.0, 129.5)	(6.0, 212.0)	(7.0, 307.0)	(8.0, 521.5)	(9.0, 896.0)	(10.0, 1308.0)	(11.0, 1980.0)	(12.0, 3363.5)	(13.0, 5309.5)	(14.0, 7893.5)	(15.0, 12004.0)	(16.0, 18232.0)	(17.0, 27912.0)	(18.0, 44284.5)	(19.0, 70899.0)	(20.0, 111819.5)	(21.0, 171453.0)	(22.0, 256679.0)	(23.0, 377279.5)	(24.0, 538961.5)	(25.0, 743224.5)	(26.0, 995529.5)	(27.0, 1305191.0)	(28.0, 1684723.0)	(29.0, 2135158.5)	(30.0, 2656719.0)	(31.0, 3239919.0)	(32.0, 3872612.0)	(33.0, 4551245.0)	(34.0, 5254838.5)	(35.0, 5930439.0)	(36.0, 6544820.5)	(37.0, 7101285.5)	(38.0, 7583934.5)	(39.0, 7959730.5)	(40.0, 8216923.5)	(41.0, 8356438.0)	(42.0, 8395691.5)	(43.0, 8363404.5)	(44.0, 8259816.5)	(45.0, 8070393.5)	(46.0, 7808286.5)	(47.0, 7489028.5)	(48.0, 7078151.0)	(49.0, 6565869.5)	(50.0, 6024664.0)	(51.0, 5389959.0)	(52.0, 4707322.0)	(53.0, 4121083.5)	(54.0, 3558541.0)	(55.0, 2983539.5)	(56.0, 2427654.5)	(57.0, 1965349.0)	(58.0, 1617105.0)	(59.0, 1331855.0)	(60.0, 1077610.0)	(61.0, 830399.0)	(62.0, 603041.5)	(63.0, 430333.5)	(64.0, 313316.5)	(65.0, 232402.0)	(66.0, 172246.0)	(67.0, 123610.0)	(68.0, 86112.0)	(69.0, 58973.5)	(70.0, 40869.0)	(71.0, 28780.5)	(72.0, 20353.5)	(73.0, 14074.5)	(74.0, 9693.0)	(75.0, 6944.5)	(76.0, 4243.5)	(77.0, 2119.5)	(78.0, 1248.0)	(79.0, 740.0)	(80.0, 434.5)	(81.0, 257.0)	(82.0, 179.5)	(83.0, 138.5)	(84.0, 90.5)	(85.0, 50.0)	(86.0, 25.0)	(87.0, 15.5)	(88.0, 11.0)	(89.0, 6.0)	(90.0, 3.5)	(91.0, 2.5)	(92.0, 1.5)	(93.0, 1.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAACA-8036_2	(0.0, 38.0)	(1.0, 31.5)	(2.0, 34.5)	(3.0, 63.0)	(4.0, 94.0)	(5.0, 122.0)	(6.0, 171.5)	(7.0, 270.0)	(8.0, 479.0)	(9.0, 785.5)	(10.0, 1197.0)	(11.0, 1843.5)	(12.0, 3064.0)	(13.0, 4885.0)	(14.0, 7406.0)	(15.0, 11465.0)	(16.0, 17668.5)	(17.0, 27361.0)	(18.0, 43480.5)	(19.0, 70276.5)	(20.0, 112029.5)	(21.0, 171891.5)	(22.0, 256647.5)	(23.0, 378446.0)	(24.0, 542259.5)	(25.0, 748766.5)	(26.0, 1004781.0)	(27.0, 1317633.5)	(28.0, 1698603.5)	(29.0, 2151168.5)	(30.0, 2676075.0)	(31.0, 3261427.5)	(32.0, 3896765.0)	(33.0, 4575119.5)	(34.0, 5274713.5)	(35.0, 5950850.5)	(36.0, 6560612.5)	(37.0, 7107971.5)	(38.0, 7586604.0)	(39.0, 7954130.5)	(40.0, 8197694.0)	(41.0, 8320118.5)	(42.0, 8345079.5)	(43.0, 8299835.0)	(44.0, 8187046.5)	(45.0, 7998616.0)	(46.0, 7736349.0)	(47.0, 7409765.5)	(48.0, 7003043.5)	(49.0, 6506495.5)	(50.0, 5977613.0)	(51.0, 5367977.0)	(52.0, 4697591.5)	(53.0, 4109823.0)	(54.0, 3561651.0)	(55.0, 3006391.5)	(56.0, 2464706.0)	(57.0, 2003052.0)	(58.0, 1650294.0)	(59.0, 1361126.5)	(60.0, 1107833.5)	(61.0, 865928.5)	(62.0, 640572.0)	(63.0, 466426.5)	(64.0, 344745.0)	(65.0, 259303.5)	(66.0, 195366.5)	(67.0, 142750.5)	(68.0, 102539.0)	(69.0, 73108.0)	(70.0, 52140.0)	(71.0, 37357.5)	(72.0, 27105.0)	(73.0, 19589.5)	(74.0, 14087.5)	(75.0, 10360.0)	(76.0, 6949.0)	(77.0, 4251.0)	(78.0, 2739.5)	(79.0, 1761.5)	(80.0, 1177.5)	(81.0, 827.0)	(82.0, 560.0)	(83.0, 391.5)	(84.0, 291.0)	(85.0, 207.0)	(86.0, 153.0)	(87.0, 110.5)	(88.0, 89.0)	(89.0, 72.0)	(90.0, 64.0)	(91.0, 53.5)	(92.0, 37.5)	(93.0, 27.0)	(94.0, 22.5)	(95.0, 15.0)	(96.0, 7.5)	(97.0, 6.0)	(98.0, 4.0)	(99.0, 1.0)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAADA-8038_1	(0.0, 40.0)	(1.0, 32.0)	(2.0, 26.0)	(3.0, 27.0)	(4.0, 31.5)	(5.0, 50.0)	(6.0, 69.5)	(7.0, 88.0)	(8.0, 113.5)	(9.0, 155.5)	(10.0, 221.0)	(11.0, 309.5)	(12.0, 474.0)	(13.0, 748.5)	(14.0, 1243.5)	(15.0, 2118.0)	(16.0, 3682.0)	(17.0, 6711.5)	(18.0, 12240.5)	(19.0, 22093.0)	(20.0, 38634.0)	(21.0, 65151.5)	(22.0, 106261.5)	(23.0, 167768.5)	(24.0, 256791.5)	(25.0, 382216.5)	(26.0, 550557.0)	(27.0, 767948.5)	(28.0, 1049126.5)	(29.0, 1403517.5)	(30.0, 1837835.0)	(31.0, 2353581.0)	(32.0, 2949513.0)	(33.0, 3618890.5)	(34.0, 4336722.0)	(35.0, 5054338.0)	(36.0, 5743794.0)	(37.0, 6392362.5)	(38.0, 6982314.0)	(39.0, 7481714.0)	(40.0, 7869884.5)	(41.0, 8140484.5)	(42.0, 8318473.0)	(43.0, 8429381.5)	(44.0, 8462081.0)	(45.0, 8410812.5)	(46.0, 8282340.5)	(47.0, 8088945.0)	(48.0, 7776211.0)	(49.0, 7338085.0)	(50.0, 6866733.0)	(51.0, 6272447.5)	(52.0, 5594861.5)	(53.0, 4996483.0)	(54.0, 4398730.0)	(55.0, 3775068.5)	(56.0, 3144174.5)	(57.0, 2591680.0)	(58.0, 2166262.0)	(59.0, 1812097.5)	(60.0, 1491166.5)	(61.0, 1165090.0)	(62.0, 855863.0)	(63.0, 615776.5)	(64.0, 453198.5)	(65.0, 340723.5)	(66.0, 254167.5)	(67.0, 181742.5)	(68.0, 126981.0)	(69.0, 88375.5)	(70.0, 61675.0)	(71.0, 43345.5)	(72.0, 30824.0)	(73.0, 21550.0)	(74.0, 14987.0)	(75.0, 10732.5)	(76.0, 6559.0)	(77.0, 3388.5)	(78.0, 1888.0)	(79.0, 1107.0)	(80.0, 697.5)	(81.0, 466.5)	(82.0, 315.0)	(83.0, 234.5)	(84.0, 148.0)	(85.0, 73.5)	(86.0, 37.0)	(87.0, 22.5)	(88.0, 12.5)	(89.0, 7.5)	(90.0, 3.0)	(91.0, 2.5)	(92.0, 2.0)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E150031652_L01_B5GANIdazlRAADA-8038_2	(0.0, 25.0)	(1.0, 23.0)	(2.0, 18.0)	(3.0, 18.5)	(4.0, 23.5)	(5.0, 28.0)	(6.0, 43.0)	(7.0, 59.5)	(8.0, 84.5)	(9.0, 124.5)	(10.0, 169.5)	(11.0, 225.5)	(12.0, 329.5)	(13.0, 526.5)	(14.0, 936.5)	(15.0, 1742.0)	(16.0, 3193.0)	(17.0, 5958.0)	(18.0, 11167.0)	(19.0, 20717.5)	(20.0, 36580.5)	(21.0, 61678.0)	(22.0, 101079.0)	(23.0, 161125.0)	(24.0, 248672.0)	(25.0, 371298.5)	(26.0, 537675.0)	(27.0, 753237.0)	(28.0, 1032590.0)	(29.0, 1386479.5)	(30.0, 1820134.0)	(31.0, 2338808.0)	(32.0, 2937619.5)	(33.0, 3605762.5)	(34.0, 4320905.0)	(35.0, 5041477.0)	(36.0, 5730574.5)	(37.0, 6376118.0)	(38.0, 6969296.0)	(39.0, 7469329.5)	(40.0, 7850047.0)	(41.0, 8116593.0)	(42.0, 8288937.0)	(43.0, 8387025.5)	(44.0, 8409460.5)	(45.0, 8354908.5)	(46.0, 8227426.0)	(47.0, 8033720.5)	(48.0, 7728417.0)	(49.0, 7297339.0)	(50.0, 6830667.0)	(51.0, 6249327.0)	(52.0, 5583934.0)	(53.0, 4991636.0)	(54.0, 4411365.5)	(55.0, 3809554.0)	(56.0, 3194392.5)	(57.0, 2651777.0)	(58.0, 2222476.5)	(59.0, 1861772.5)	(60.0, 1542306.0)	(61.0, 1223022.5)	(62.0, 917697.0)	(63.0, 671994.5)	(64.0, 499238.5)	(65.0, 378608.0)	(66.0, 285970.0)	(67.0, 209379.0)	(68.0, 150441.5)	(69.0, 106851.0)	(70.0, 76303.0)	(71.0, 54760.0)	(72.0, 39717.0)	(73.0, 28817.0)	(74.0, 20614.0)	(75.0, 15161.0)	(76.0, 10254.5)	(77.0, 6134.5)	(78.0, 3880.0)	(79.0, 2494.0)	(80.0, 1636.0)	(81.0, 1116.0)	(82.0, 757.5)	(83.0, 555.5)	(84.0, 410.5)	(85.0, 304.0)	(86.0, 213.0)	(87.0, 144.0)	(88.0, 118.5)	(89.0, 96.5)	(90.0, 71.0)	(91.0, 51.5)	(92.0, 47.5)	(93.0, 43.5)	(94.0, 31.0)	(95.0, 16.0)	(96.0, 10.5)	(97.0, 7.5)	(98.0, 2.5)	(99.0, 0.5)	(100.0, 0.5)
