Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
E250168591_L01_B5GANIdazlRAAAA-8034_1	(0.0, 239.0)	(1.0, 175.5)	(2.0, 121.0)	(3.0, 145.0)	(4.0, 203.0)	(5.0, 263.5)	(6.0, 327.5)	(7.0, 441.5)	(8.0, 587.5)	(9.0, 754.0)	(10.0, 997.0)	(11.0, 1340.5)	(12.0, 1948.5)	(13.0, 3013.5)	(14.0, 4587.0)	(15.0, 7188.5)	(16.0, 11357.0)	(17.0, 18012.0)	(18.0, 29503.5)	(19.0, 49130.0)	(20.0, 79547.5)	(21.0, 123873.0)	(22.0, 187601.0)	(23.0, 279136.0)	(24.0, 403207.0)	(25.0, 560392.5)	(26.0, 755320.5)	(27.0, 991226.0)	(28.0, 1276742.5)	(29.0, 1613263.5)	(30.0, 2001293.0)	(31.0, 2431934.0)	(32.0, 2894804.0)	(33.0, 3382010.0)	(34.0, 3873050.5)	(35.0, 4336639.5)	(36.0, 4746366.0)	(37.0, 5096706.5)	(38.0, 5386124.0)	(39.0, 5588642.0)	(40.0, 5698416.5)	(41.0, 5725197.5)	(42.0, 5672083.5)	(43.0, 5564404.5)	(44.0, 5417557.5)	(45.0, 5221058.0)	(46.0, 4977959.5)	(47.0, 4707556.5)	(48.0, 4385848.0)	(49.0, 4006086.5)	(50.0, 3600911.0)	(51.0, 3185657.0)	(52.0, 2783642.0)	(53.0, 2429455.0)	(54.0, 2091593.0)	(55.0, 1743763.5)	(56.0, 1416377.5)	(57.0, 1150774.0)	(58.0, 947842.5)	(59.0, 781346.5)	(60.0, 633424.5)	(61.0, 486712.0)	(62.0, 353248.5)	(63.0, 253033.5)	(64.0, 185639.5)	(65.0, 138493.0)	(66.0, 102211.0)	(67.0, 72770.0)	(68.0, 51419.0)	(69.0, 36059.5)	(70.0, 25075.5)	(71.0, 18042.5)	(72.0, 12928.5)	(73.0, 8996.5)	(74.0, 6415.0)	(75.0, 4794.5)	(76.0, 2914.5)	(77.0, 1321.0)	(78.0, 794.5)	(79.0, 471.5)	(80.0, 287.0)	(81.0, 199.0)	(82.0, 141.0)	(83.0, 101.5)	(84.0, 62.5)	(85.0, 27.5)	(86.0, 12.0)	(87.0, 5.5)	(88.0, 4.0)	(89.0, 2.5)	(90.0, 2.0)	(91.0, 2.5)	(92.0, 1.0)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAAAA-8034_2	(0.0, 190.0)	(1.0, 139.5)	(2.0, 97.5)	(3.0, 124.0)	(4.0, 153.0)	(5.0, 188.5)	(6.0, 228.5)	(7.0, 296.5)	(8.0, 395.5)	(9.0, 516.0)	(10.0, 701.0)	(11.0, 946.5)	(12.0, 1425.0)	(13.0, 2278.5)	(14.0, 3669.0)	(15.0, 5951.0)	(16.0, 9721.0)	(17.0, 16067.5)	(18.0, 27137.5)	(19.0, 46098.0)	(20.0, 75970.0)	(21.0, 119585.5)	(22.0, 182659.0)	(23.0, 274814.0)	(24.0, 399742.5)	(25.0, 558296.5)	(26.0, 755411.5)	(27.0, 994862.0)	(28.0, 1284886.5)	(29.0, 1626139.5)	(30.0, 2018813.0)	(31.0, 2455177.5)	(32.0, 2923173.5)	(33.0, 3415739.5)	(34.0, 3910302.0)	(35.0, 4375165.0)	(36.0, 4786789.5)	(37.0, 5134221.0)	(38.0, 5415847.0)	(39.0, 5613857.0)	(40.0, 5713517.5)	(41.0, 5722018.0)	(42.0, 5655293.0)	(43.0, 5538866.0)	(44.0, 5378032.5)	(45.0, 5172382.0)	(46.0, 4934015.0)	(47.0, 4658330.0)	(48.0, 4336296.0)	(49.0, 3966315.5)	(50.0, 3567750.5)	(51.0, 3163683.0)	(52.0, 2772646.5)	(53.0, 2424753.5)	(54.0, 2090581.5)	(55.0, 1751998.5)	(56.0, 1429604.5)	(57.0, 1159109.5)	(58.0, 954797.0)	(59.0, 787279.5)	(60.0, 638733.0)	(61.0, 491595.0)	(62.0, 354800.5)	(63.0, 254405.0)	(64.0, 188107.5)	(65.0, 141958.0)	(66.0, 105954.5)	(67.0, 75148.5)	(68.0, 52796.0)	(69.0, 36836.5)	(70.0, 25770.5)	(71.0, 18474.5)	(72.0, 13269.0)	(73.0, 9494.5)	(74.0, 6824.5)	(75.0, 5076.5)	(76.0, 3137.0)	(77.0, 1543.5)	(78.0, 914.0)	(79.0, 516.0)	(80.0, 307.0)	(81.0, 204.0)	(82.0, 155.5)	(83.0, 108.5)	(84.0, 69.0)	(85.0, 45.0)	(86.0, 22.5)	(87.0, 11.5)	(88.0, 5.5)	(89.0, 2.0)	(90.0, 1.5)	(91.0, 1.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAABA-8035_1	(0.0, 26.0)	(1.0, 33.5)	(2.0, 39.5)	(3.0, 44.5)	(4.0, 78.5)	(5.0, 119.0)	(6.0, 155.0)	(7.0, 223.5)	(8.0, 312.0)	(9.0, 431.0)	(10.0, 593.5)	(11.0, 870.0)	(12.0, 1318.5)	(13.0, 2064.5)	(14.0, 3286.0)	(15.0, 5268.0)	(16.0, 8587.0)	(17.0, 13917.5)	(18.0, 22647.0)	(19.0, 36540.0)	(20.0, 57888.0)	(21.0, 90176.0)	(22.0, 136646.0)	(23.0, 205471.0)	(24.0, 301145.0)	(25.0, 421451.0)	(26.0, 572712.0)	(27.0, 759258.0)	(28.0, 982396.0)	(29.0, 1256460.0)	(30.0, 1591522.0)	(31.0, 1961232.5)	(32.0, 2337456.5)	(33.0, 2729877.5)	(34.0, 3101462.0)	(35.0, 3416221.0)	(36.0, 3692698.5)	(37.0, 3932960.5)	(38.0, 4134223.5)	(39.0, 4292790.5)	(40.0, 4374136.5)	(41.0, 4356416.0)	(42.0, 4277914.5)	(43.0, 4151344.0)	(44.0, 4004797.0)	(45.0, 3841405.5)	(46.0, 3631059.5)	(47.0, 3391704.0)	(48.0, 3115017.0)	(49.0, 2807175.5)	(50.0, 2507666.5)	(51.0, 2207306.5)	(52.0, 1899902.0)	(53.0, 1612294.0)	(54.0, 1342682.0)	(55.0, 1096495.5)	(56.0, 887783.5)	(57.0, 713404.0)	(58.0, 573914.5)	(59.0, 463104.0)	(60.0, 367410.0)	(61.0, 284064.0)	(62.0, 216044.5)	(63.0, 163728.0)	(64.0, 123968.5)	(65.0, 94035.0)	(66.0, 71355.0)	(67.0, 53781.5)	(68.0, 38619.0)	(69.0, 27091.0)	(70.0, 19421.5)	(71.0, 14129.0)	(72.0, 10325.5)	(73.0, 7434.0)	(74.0, 5557.5)	(75.0, 4160.5)	(76.0, 2805.0)	(77.0, 1892.0)	(78.0, 1371.5)	(79.0, 1018.0)	(80.0, 818.0)	(81.0, 576.0)	(82.0, 372.0)	(83.0, 248.0)	(84.0, 169.5)	(85.0, 109.0)	(86.0, 55.0)	(87.0, 26.5)	(88.0, 7.5)	(89.0, 3.5)	(90.0, 2.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAABA-8035_2	(0.0, 26.0)	(1.0, 25.0)	(2.0, 30.5)	(3.0, 38.5)	(4.0, 50.5)	(5.0, 76.5)	(6.0, 117.5)	(7.0, 189.5)	(8.0, 248.5)	(9.0, 324.5)	(10.0, 477.0)	(11.0, 713.5)	(12.0, 1124.5)	(13.0, 1797.0)	(14.0, 2885.5)	(15.0, 4762.5)	(16.0, 7958.0)	(17.0, 13213.0)	(18.0, 21951.5)	(19.0, 35968.0)	(20.0, 58220.0)	(21.0, 91624.0)	(22.0, 139577.5)	(23.0, 210517.5)	(24.0, 309628.0)	(25.0, 434832.0)	(26.0, 591711.0)	(27.0, 784383.5)	(28.0, 1014739.0)	(29.0, 1296964.0)	(30.0, 1640522.5)	(31.0, 2020678.5)	(32.0, 2400867.5)	(33.0, 2791804.5)	(34.0, 3163086.0)	(35.0, 3475601.5)	(36.0, 3747333.5)	(37.0, 3981474.5)	(38.0, 4176301.5)	(39.0, 4324897.5)	(40.0, 4392416.5)	(41.0, 4359694.5)	(42.0, 4268399.0)	(43.0, 4131207.5)	(44.0, 3973557.0)	(45.0, 3796609.0)	(46.0, 3574566.5)	(47.0, 3328909.5)	(48.0, 3049125.0)	(49.0, 2743264.0)	(50.0, 2449185.0)	(51.0, 2154481.5)	(52.0, 1854395.5)	(53.0, 1573638.5)	(54.0, 1310955.5)	(55.0, 1072662.5)	(56.0, 868427.0)	(57.0, 697813.0)	(58.0, 560980.5)	(59.0, 452296.0)	(60.0, 358462.0)	(61.0, 276276.0)	(62.0, 209721.5)	(63.0, 158775.0)	(64.0, 120799.5)	(65.0, 91872.0)	(66.0, 69973.0)	(67.0, 53109.0)	(68.0, 38522.5)	(69.0, 27384.5)	(70.0, 19736.0)	(71.0, 14164.5)	(72.0, 10403.0)	(73.0, 7687.5)	(74.0, 5761.0)	(75.0, 4398.5)	(76.0, 3146.5)	(77.0, 2091.5)	(78.0, 1504.0)	(79.0, 1143.5)	(80.0, 828.5)	(81.0, 590.5)	(82.0, 398.5)	(83.0, 254.0)	(84.0, 169.0)	(85.0, 104.5)	(86.0, 62.0)	(87.0, 33.0)	(88.0, 13.0)	(89.0, 6.5)	(90.0, 3.0)	(91.0, 2.0)	(92.0, 1.0)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAACA-8036_1	(0.0, 133.0)	(1.0, 113.5)	(2.0, 99.5)	(3.0, 137.5)	(4.0, 195.0)	(5.0, 278.0)	(6.0, 361.0)	(7.0, 460.5)	(8.0, 639.0)	(9.0, 955.0)	(10.0, 1384.0)	(11.0, 1923.0)	(12.0, 2923.0)	(13.0, 4417.0)	(14.0, 6571.0)	(15.0, 10010.0)	(16.0, 14870.0)	(17.0, 22465.5)	(18.0, 35358.0)	(19.0, 56204.0)	(20.0, 88034.5)	(21.0, 133745.0)	(22.0, 198210.0)	(23.0, 288636.0)	(24.0, 408974.0)	(25.0, 559647.5)	(26.0, 745748.0)	(27.0, 972988.5)	(28.0, 1247605.0)	(29.0, 1569042.0)	(30.0, 1938334.5)	(31.0, 2348005.0)	(32.0, 2788929.5)	(33.0, 3255768.5)	(34.0, 3732045.0)	(35.0, 4182682.5)	(36.0, 4581249.5)	(37.0, 4929870.5)	(38.0, 5223149.5)	(39.0, 5436185.0)	(40.0, 5566279.5)	(41.0, 5613937.5)	(42.0, 5590401.0)	(43.0, 5517764.0)	(44.0, 5399992.0)	(45.0, 5237038.0)	(46.0, 5030033.0)	(47.0, 4783140.0)	(48.0, 4484381.5)	(49.0, 4125699.5)	(50.0, 3730653.5)	(51.0, 3320941.0)	(52.0, 2917396.0)	(53.0, 2558446.0)	(54.0, 2216010.5)	(55.0, 1863362.0)	(56.0, 1522091.5)	(57.0, 1238016.0)	(58.0, 1024508.5)	(59.0, 849059.5)	(60.0, 692759.0)	(61.0, 538684.0)	(62.0, 394390.0)	(63.0, 283605.0)	(64.0, 207620.5)	(65.0, 155381.5)	(66.0, 116035.0)	(67.0, 82970.5)	(68.0, 58202.0)	(69.0, 40628.0)	(70.0, 28537.0)	(71.0, 20282.5)	(72.0, 14503.0)	(73.0, 10238.0)	(74.0, 7270.0)	(75.0, 5475.5)	(76.0, 3374.0)	(77.0, 1557.5)	(78.0, 907.5)	(79.0, 531.5)	(80.0, 353.5)	(81.0, 236.5)	(82.0, 151.0)	(83.0, 113.0)	(84.0, 71.0)	(85.0, 37.0)	(86.0, 19.5)	(87.0, 12.0)	(88.0, 8.0)	(89.0, 5.5)	(90.0, 2.0)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAACA-8036_2	(0.0, 107.0)	(1.0, 88.5)	(2.0, 73.5)	(3.0, 91.0)	(4.0, 123.5)	(5.0, 178.0)	(6.0, 244.0)	(7.0, 328.0)	(8.0, 506.5)	(9.0, 780.0)	(10.0, 1101.0)	(11.0, 1557.0)	(12.0, 2427.5)	(13.0, 3740.5)	(14.0, 5680.5)	(15.0, 8834.5)	(16.0, 13690.5)	(17.0, 21313.5)	(18.0, 34124.5)	(19.0, 55498.0)	(20.0, 87959.0)	(21.0, 134128.5)	(22.0, 199422.0)	(23.0, 291859.0)	(24.0, 415777.0)	(25.0, 571335.5)	(26.0, 762298.5)	(27.0, 994805.0)	(28.0, 1276606.5)	(29.0, 1605419.5)	(30.0, 1980542.0)	(31.0, 2397307.5)	(32.0, 2844843.0)	(33.0, 3317756.0)	(34.0, 3799289.0)	(35.0, 4250575.0)	(36.0, 4646642.5)	(37.0, 4990816.5)	(38.0, 5277479.0)	(39.0, 5481810.0)	(40.0, 5597262.0)	(41.0, 5624426.5)	(42.0, 5582427.0)	(43.0, 5495746.5)	(44.0, 5362917.0)	(45.0, 5184294.0)	(46.0, 4968056.5)	(47.0, 4715918.5)	(48.0, 4414896.0)	(49.0, 4057301.0)	(50.0, 3669266.5)	(51.0, 3270586.5)	(52.0, 2876649.0)	(53.0, 2521658.0)	(54.0, 2183434.0)	(55.0, 1839449.5)	(56.0, 1504239.0)	(57.0, 1222943.5)	(58.0, 1011712.0)	(59.0, 838115.0)	(60.0, 680950.5)	(61.0, 527851.5)	(62.0, 385766.5)	(63.0, 276740.5)	(64.0, 203757.5)	(65.0, 153660.5)	(66.0, 115089.0)	(67.0, 82780.0)	(68.0, 58631.0)	(69.0, 41236.5)	(70.0, 28934.5)	(71.0, 20583.0)	(72.0, 14892.0)	(73.0, 10635.0)	(74.0, 7641.0)	(75.0, 5742.5)	(76.0, 3578.5)	(77.0, 1756.5)	(78.0, 1046.5)	(79.0, 616.5)	(80.0, 378.0)	(81.0, 244.0)	(82.0, 173.0)	(83.0, 131.5)	(84.0, 86.5)	(85.0, 40.5)	(86.0, 19.0)	(87.0, 10.5)	(88.0, 6.5)	(89.0, 5.0)	(90.0, 2.5)	(91.0, 1.0)	(92.0, 1.0)	(93.0, 1.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAADA-8038_1	(0.0, 60.0)	(1.0, 49.5)	(2.0, 38.0)	(3.0, 49.5)	(4.0, 68.5)	(5.0, 69.0)	(6.0, 79.0)	(7.0, 116.5)	(8.0, 160.0)	(9.0, 209.5)	(10.0, 263.5)	(11.0, 376.5)	(12.0, 559.5)	(13.0, 844.5)	(14.0, 1357.5)	(15.0, 2256.0)	(16.0, 3765.5)	(17.0, 6588.0)	(18.0, 11761.5)	(19.0, 20973.0)	(20.0, 36314.0)	(21.0, 59941.5)	(22.0, 95439.0)	(23.0, 147810.5)	(24.0, 221949.5)	(25.0, 323254.5)	(26.0, 456568.0)	(27.0, 624274.5)	(28.0, 834418.0)	(29.0, 1094327.0)	(30.0, 1405028.0)	(31.0, 1766857.5)	(32.0, 2181514.0)	(33.0, 2635675.5)	(34.0, 3117694.0)	(35.0, 3598746.0)	(36.0, 4041424.0)	(37.0, 4447983.5)	(38.0, 4816201.5)	(39.0, 5117931.5)	(40.0, 5340105.5)	(41.0, 5484525.0)	(42.0, 5563428.5)	(43.0, 5590964.0)	(44.0, 5565346.5)	(45.0, 5490396.0)	(46.0, 5370155.0)	(47.0, 5209837.5)	(48.0, 4984438.5)	(49.0, 4674550.5)	(50.0, 4309893.5)	(51.0, 3913073.5)	(52.0, 3507283.0)	(53.0, 3126669.5)	(54.0, 2752155.0)	(55.0, 2359689.0)	(56.0, 1961726.5)	(57.0, 1620341.5)	(58.0, 1358821.5)	(59.0, 1139127.5)	(60.0, 941551.5)	(61.0, 741635.0)	(62.0, 547583.0)	(63.0, 396191.0)	(64.0, 293385.5)	(65.0, 221362.5)	(66.0, 166600.5)	(67.0, 120247.5)	(68.0, 85128.5)	(69.0, 60055.5)	(70.0, 42214.5)	(71.0, 30032.0)	(72.0, 21858.5)	(73.0, 15525.5)	(74.0, 11060.0)	(75.0, 8224.0)	(76.0, 5053.5)	(77.0, 2545.5)	(78.0, 1459.5)	(79.0, 881.0)	(80.0, 548.5)	(81.0, 355.0)	(82.0, 238.5)	(83.0, 175.5)	(84.0, 114.5)	(85.0, 64.5)	(86.0, 26.5)	(87.0, 15.0)	(88.0, 13.0)	(89.0, 6.5)	(90.0, 2.5)	(91.0, 1.0)	(92.0, 0.5)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAADA-8038_2	(0.0, 42.0)	(1.0, 29.5)	(2.0, 19.0)	(3.0, 29.0)	(4.0, 39.5)	(5.0, 52.0)	(6.0, 61.0)	(7.0, 73.5)	(8.0, 87.0)	(9.0, 118.5)	(10.0, 163.0)	(11.0, 204.5)	(12.0, 305.5)	(13.0, 499.5)	(14.0, 861.0)	(15.0, 1606.5)	(16.0, 2927.0)	(17.0, 5484.5)	(18.0, 10234.5)	(19.0, 18818.0)	(20.0, 33247.0)	(21.0, 55399.0)	(22.0, 89037.0)	(23.0, 139944.0)	(24.0, 212560.5)	(25.0, 312788.0)	(26.0, 444811.0)	(27.0, 610314.5)	(28.0, 819152.0)	(29.0, 1079674.0)	(30.0, 1393830.0)	(31.0, 1758596.0)	(32.0, 2174234.0)	(33.0, 2632710.5)	(34.0, 3121768.5)	(35.0, 3607239.5)	(36.0, 4055622.5)	(37.0, 4465610.5)	(38.0, 4835373.5)	(39.0, 5142917.0)	(40.0, 5365958.5)	(41.0, 5500931.0)	(42.0, 5569796.5)	(43.0, 5595716.5)	(44.0, 5570376.0)	(45.0, 5492821.5)	(46.0, 5371638.5)	(47.0, 5211012.5)	(48.0, 4980235.0)	(49.0, 4659767.0)	(50.0, 4291046.5)	(51.0, 3894013.0)	(52.0, 3491673.5)	(53.0, 3121074.0)	(54.0, 2751502.5)	(55.0, 2363291.5)	(56.0, 1966343.5)	(57.0, 1623581.0)	(58.0, 1362222.0)	(59.0, 1143362.5)	(60.0, 945227.0)	(61.0, 744269.5)	(62.0, 550632.5)	(63.0, 398490.5)	(64.0, 296732.0)	(65.0, 225806.0)	(66.0, 170745.5)	(67.0, 123659.0)	(68.0, 88223.5)	(69.0, 62635.0)	(70.0, 44292.5)	(71.0, 31770.5)	(72.0, 23201.0)	(73.0, 16884.0)	(74.0, 12110.0)	(75.0, 8848.5)	(76.0, 5658.5)	(77.0, 3023.5)	(78.0, 1756.5)	(79.0, 1029.5)	(80.0, 626.5)	(81.0, 426.5)	(82.0, 291.5)	(83.0, 198.0)	(84.0, 122.5)	(85.0, 75.5)	(86.0, 41.0)	(87.0, 21.0)	(88.0, 12.0)	(89.0, 7.0)	(90.0, 4.5)	(91.0, 1.5)	(92.0, 1.5)	(93.0, 1.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
