Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
E250168591_L01_B5GANIdazlRAAAA-8034_1	(1, 1.9160082304382764e-05)	(2, 4.3318446949039297e-05)	(3, 5.831329396986059e-06)	(4, 3.748711755205324e-05)	(5, 3.498797638191635e-05)	(6, 0.11625504895242748)	(7, 6.6643764536983525e-06)	(8, 1.6660941134245881e-06)	(9, 1.7493988190958177e-05)	(10, 1.3328752907396705e-05)	(15, 2.3158708176601776e-05)	(20, 1.9160082304382764e-05)	(25, 1.13294399712872e-05)	(30, 1.6161112900218508e-05)	(35, 1.4161799964109e-05)	(40, 2.6157677580766035e-05)	(45, 2.2825489353916857e-05)	(50, 2.9823084630300132e-05)	(55, 8.013912685572269e-05)	(60, 3.4821366970573894e-05)	(65, 0.011984048348451721)	(70, 5.0149432814080105e-05)	(75, 2.8990037573587835e-05)	(80, 2.865681875090292e-05)	(85, 7.73067668629009e-05)	(90, 3.76537269633957e-05)	(95, 0.00011029543030870775)	(100, 0.00011196152442213234)	(105, 7.197526569994222e-05)	(110, 0.00010579697620246136)	(115, 0.0006211198854846865)	(120, 0.009182511096728276)	(125, 0.00016910855251259571)	(130, 0.0003043953945226723)	(135, 0.00016177773841352753)	(140, 0.024300982300765675)	(145, 0.000447013050631817)	(150, 0.00029489865807615215)
E250168591_L01_B5GANIdazlRAAAA-8034_2	(1, 0.12086846355250018)	(2, 1.9160082304382764e-05)	(3, 1.582789407753359e-05)	(4, 0.00021159395240492271)	(5, 0.00016411027017232193)	(6, 2.4991411701368826e-06)	(7, 2.4991411701368826e-06)	(8, 1.6660941134245881e-06)	(9, 5.831329396986059e-06)	(10, 3.065613168701242e-05)	(15, 3.132256933238226e-05)	(20, 4.698385399857339e-05)	(25, 7.36413598133668e-05)	(30, 0.012042028423598897)	(35, 7.16420468772573e-05)	(40, 7.597389157216123e-05)	(45, 0.0001084627267839407)	(50, 0.00012045860440059773)	(55, 0.00013345413848530954)	(60, 7.16420468772573e-05)	(65, 9.563380211057137e-05)	(70, 9.496736446520154e-05)	(75, 0.00021392648416371715)	(80, 0.012463217015472634)	(85, 0.0005034936410769106)	(90, 0.011800278167740989)	(95, 0.00043635004830589965)	(100, 0.0004976623116799246)	(105, 0.0005529766362456208)	(110, 0.000534149772763923)	(115, 0.0005516437609548812)	(120, 0.0005231535516153207)	(125, 0.012043694517712322)	(130, 0.0004973290928572396)	(135, 0.0008828632707036893)	(140, 0.000762571275714434)	(145, 0.011984048348451721)	(150, 0.00020492957595122436)
E250168591_L01_B5GANIdazlRAABA-8035_1	(1, 2.7015858950830786e-05)	(2, 3.151850210930259e-05)	(3, 7.879625527325647e-06)	(4, 3.3769823688538486e-05)	(5, 3.7146806057392335e-05)	(6, 0.11361632047850849)	(7, 6.753964737707696e-06)	(8, 6.078568263936927e-05)	(9, 1.8010572633887193e-05)	(10, 1.1256607896179495e-05)	(15, 3.196876642514977e-05)	(20, 1.8010572633887193e-05)	(25, 1.1031475738255905e-05)	(30, 2.9492312687990275e-05)	(35, 2.071215852897027e-05)	(40, 5.358145358581439e-05)	(45, 2.9042048372143097e-05)	(50, 3.7146806057392335e-05)	(55, 9.252931690659544e-05)	(60, 4.390077079510003e-05)	(65, 0.011787694656721243)	(70, 5.9209757533904144e-05)	(75, 4.705262100603029e-05)	(80, 4.3675638637176445e-05)	(85, 9.005286316943596e-05)	(90, 4.23248456896349e-05)	(95, 0.00011909491154157906)	(100, 0.0001337285018066124)	(105, 0.00010806343580332314)	(110, 0.00010873883227709392)	(115, 0.0006515324650308691)	(120, 0.009052564070107549)	(125, 0.00018033085849679552)	(130, 0.0003325201972531423)	(135, 0.00017470255454870578)	(140, 0.024010569774708786)	(145, 0.00046287171669090086)	(150, 0.0002983001092487566)
E250168591_L01_B5GANIdazlRAABA-8035_2	(1, 0.11805930361513055)	(2, 1.8010572633887193e-05)	(3, 1.6884911844269243e-05)	(4, 0.0001958649773935232)	(5, 0.00016209515370498473)	(6, 3.7146806057392335e-05)	(7, 2.251321579235899e-06)	(8, 4.502643158471798e-06)	(9, 1.0130947106561546e-05)	(10, 3.647140958362156e-05)	(15, 4.119918490001695e-05)	(20, 9.905814948637956e-05)	(25, 8.172297332626314e-05)	(30, 0.011848480339360612)	(35, 8.397429490549903e-05)	(40, 8.217323764211031e-05)	(45, 0.00011571792917272522)	(50, 0.00013913167359677855)	(55, 0.0001605192285995196)	(60, 0.00010671264285578162)	(65, 0.00010153460322353904)	(70, 0.00010693777501370521)	(75, 0.000214100682185334)	(80, 0.012344446483266281)	(85, 0.0005175788310663331)	(90, 0.011553557212480709)	(95, 0.0004441857475832429)	(100, 0.0005713854168100712)	(105, 0.0005828671568641743)	(110, 0.0006161867162368655)	(115, 0.0005560764300712671)	(120, 0.0005700346238625296)	(125, 0.011926826330318021)	(130, 0.0005443695578592404)	(135, 0.000912910900380157)	(140, 0.0007974181033653555)	(145, 0.011854333775466625)	(150, 0.00022850914029244376)
E250168591_L01_B5GANIdazlRAACA-8036_1	(1, 1.9160057564476948e-05)	(2, 3.748706914788968e-05)	(3, 1.332873569702744e-05)	(4, 3.33218392425686e-05)	(5, 2.832356335618331e-05)	(6, 0.1334739592700328)	(7, 1.0829597753834797e-05)	(8, 8.33045981064215e-06)	(9, 2.082614952660538e-05)	(10, 1.2495689715963224e-05)	(15, 2.7823735767544782e-05)	(20, 1.4828218462943027e-05)	(25, 8.33045981064215e-06)	(30, 1.7993793190987045e-05)	(35, 1.3661954089453127e-05)	(40, 2.2992069077372335e-05)	(45, 2.315867827358518e-05)	(50, 3.598758638197409e-05)	(55, 7.614040266926925e-05)	(60, 3.548775879333556e-05)	(65, 0.0136421275951038)	(70, 4.165229905321076e-05)	(75, 3.5154540400909875e-05)	(80, 3.282201165393008e-05)	(85, 9.313454068297924e-05)	(90, 4.2485345034274966e-05)	(95, 0.0001332873569702744)	(100, 0.00014478339150896059)	(105, 9.196827630948934e-05)	(110, 0.00013345396616648724)	(115, 0.0006810983941181023)	(120, 0.010753290741969315)	(125, 0.00020059747224026298)	(130, 0.00036237500176293356)	(135, 0.00021142706999409776)	(140, 0.027851892721704755)	(145, 0.0005154888530825363)	(150, 0.00033904971429313556)
E250168591_L01_B5GANIdazlRAACA-8036_2	(1, 0.13770333371589583)	(2, 1.2495689715963224e-05)	(3, 1.332873569702744e-05)	(4, 0.0)	(5, 5.831321867449506e-05)	(6, 8.33045981064215e-06)	(7, 5.831321867449505e-06)	(8, 8.33045981064215e-07)	(9, 4.998275886385291e-06)	(10, 2.665747139405488e-05)	(15, 4.131908066078507e-05)	(20, 3.582097718576125e-05)	(25, 4.9649540471427214e-05)	(30, 0.01369894133101238)	(35, 4.065264387593369e-05)	(40, 5.981270144041064e-05)	(45, 7.180856356773534e-05)	(50, 9.413419586025631e-05)	(55, 0.00010329770165196267)	(60, 6.697689687756289e-05)	(65, 9.346775907540493e-05)	(70, 9.046879354357375e-05)	(75, 0.0001762725295931879)	(80, 0.014091805815682262)	(85, 0.0004596747723512339)	(90, 0.013441196904471108)	(95, 0.0004255198871276011)	(100, 0.000507325002468107)	(105, 0.0005484774739326792)	(110, 0.0005359817842167159)	(115, 0.0005186544278105803)	(120, 0.0005039928185438501)	(125, 0.013922697481526226)	(130, 0.0005411466692993142)	(135, 0.0008643685099522295)	(140, 0.000804555808511819)	(145, 0.013669951330871344)	(150, 0.00026324253001629193)
E250168591_L01_B5GANIdazlRAADA-8038_1	(1, 1.9149168953958577e-05)	(2, 5.994522455152251e-05)	(3, 1.4153733574665036e-05)	(4, 9.990870758587084e-06)	(5, 2.081431408038976e-05)	(6, 0.28524185787535095)	(7, 2.164688664360535e-05)	(8, 2.247945920682094e-05)	(9, 1.4153733574665036e-05)	(10, 9.657841733300849e-06)	(15, 2.5643234947040184e-05)	(20, 1.4486762599951274e-05)	(25, 1.4153733574665036e-05)	(30, 2.4810662383824593e-05)	(35, 1.648493675166869e-05)	(40, 2.5976263972326423e-05)	(45, 2.714186556082825e-05)	(50, 1.0989957834445793e-05)	(55, 3.6300163756199743e-05)	(60, 1.981522700453105e-05)	(65, 0.029445926872271072)	(70, 3.0305641301047492e-05)	(75, 4.495891841364188e-05)	(80, 3.879788144584651e-05)	(85, 1.9981741517174168e-05)	(90, 2.6142778484969537e-05)	(95, 2.747489458611448e-05)	(100, 3.879788144584651e-05)	(105, 4.87887522044336e-05)	(110, 5.328464404579778e-05)	(115, 0.0002864049617461631)	(120, 9.841007697208278e-05)	(125, 0.0001067358026042387)	(130, 0.00015369289516959798)	(135, 0.0001824999058568574)	(140, 0.058276083076787895)	(145, 0.00026375898802669903)	(150, 0.00044709146644677204)
E250168591_L01_B5GANIdazlRAADA-8038_2	(1, 0.29062610464166616)	(2, 2.58097494596833e-05)	(3, 1.2488588448233857e-05)	(4, 2.9972612275761254e-05)	(5, 1.9149168953958577e-05)	(6, 5.578236173544456e-05)	(7, 8.325725632155903e-07)	(8, 1.6651451264311806e-06)	(9, 8.325725632155904e-06)	(10, 1.215555942294762e-05)	(15, 3.5634105705627267e-05)	(20, 3.746576534470156e-05)	(25, 2.7308380073471366e-05)	(30, 0.029443595669094068)	(35, 1.4486762599951274e-05)	(40, 9.824356245943966e-06)	(45, 2.6642322022898894e-06)	(50, 2.181340115624847e-05)	(55, 4.4292860363069405e-05)	(60, 3.7798794369987805e-05)	(65, 5.1952527944652846e-05)	(70, 5.89461374756638e-05)	(75, 5.34511585584409e-05)	(80, 0.030588382943515506)	(85, 7.876136448019485e-05)	(90, 6.344202931702799e-05)	(95, 0.0001400387051328623)	(100, 0.0002459419351738854)	(105, 0.00014986306137880625)	(110, 0.0002744159168358586)	(115, 0.00010940003480652857)	(120, 0.00015052911942937876)	(125, 0.00037981960333895236)	(130, 0.00032103998037593165)	(135, 0.0002724177426841412)	(140, 0.0003223720964770766)	(145, 0.026788521764999552)	(150, 0.00022146430181534704)
