Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
E250168591_L01_B5GANIdazlRAAAA-8034_1	(1, 35.866283909867704)	(2, 35.78812965091213)	(3, 35.863059001440824)	(4, 35.813673672709044)	(5, 35.70813726529545)	(6, 35.67124706761188)	(7, 35.67947855552772)	(8, 35.667235237943814)	(9, 35.641893779869214)	(10, 35.56416637589159)	(15, 35.54033473396867)	(20, 35.538416099973915)	(25, 35.54983979588748)	(30, 35.53926051479076)	(35, 35.54494738882983)	(40, 35.54221456629763)	(45, 35.54338695507289)	(50, 35.54556208425642)	(55, 35.55397421009604)	(60, 35.5716796222978)	(65, 35.589086230516884)	(70, 35.60928615714543)	(75, 35.61568452168079)	(80, 35.621301561385096)	(85, 35.646694981602906)	(90, 35.65680122359284)	(95, 35.683324703798874)	(100, 35.70085707713211)	(105, 35.71924973316253)	(110, 35.75098733320294)	(115, 35.7559156245956)	(120, 35.76078090097671)	(125, 35.75134700460187)	(130, 35.73980162383863)	(135, 35.71453262086484)	(140, 35.69880804961375)	(145, 35.678647711047425)	(150, 35.65345057504322)
E250168591_L01_B5GANIdazlRAAAA-8034_2	(1, 36.55629093895216)	(2, 36.4472553590292)	(3, 36.48145499798994)	(4, 36.504000816785975)	(5, 36.4870850715485)	(6, 36.485547399969334)	(7, 36.49210254729296)	(8, 36.4853049916063)	(9, 36.483502436054515)	(10, 36.467914412878685)	(15, 36.45957033698703)	(20, 36.455805852318846)	(25, 36.45062258021697)	(30, 36.43340184978765)	(35, 36.429830567058964)	(40, 36.41631380042915)	(45, 36.402754245170314)	(50, 36.391862581423894)	(55, 36.37915481011616)	(60, 36.36510019498466)	(65, 36.344824679332284)	(70, 36.333011227358384)	(75, 36.3118506691842)	(80, 36.287773506634444)	(85, 36.268350181460136)	(90, 36.2409510571692)	(95, 36.21822055350679)	(100, 36.186297099001926)	(105, 36.1572853655508)	(110, 36.13355703312557)	(115, 36.107236989675165)	(120, 36.08084153880519)	(125, 36.04324760129515)	(130, 36.01620366161169)	(135, 35.968941478261)	(140, 35.93362688078908)	(145, 35.880267889273185)	(150, 35.839769463223966)
E250168591_L01_B5GANIdazlRAABA-8035_1	(1, 36.06875661051334)	(2, 35.99846364187129)	(3, 36.05352102811463)	(4, 35.986676284912804)	(5, 35.89029313321366)	(6, 35.852081193147306)	(7, 35.86408750238598)	(8, 35.85185985446624)	(9, 35.82956883285715)	(10, 35.75913872721242)	(15, 35.735838643009615)	(20, 35.734054664271724)	(25, 35.740995817393454)	(30, 35.7310227081915)	(35, 35.733089473181636)	(40, 35.728726826204245)	(45, 35.72514889762519)	(50, 35.72602770100365)	(55, 35.72849433222476)	(60, 35.73978511968515)	(65, 35.75229077880407)	(70, 35.767901629494176)	(75, 35.76903691243223)	(80, 35.770379665910404)	(85, 35.79192495300563)	(90, 35.79867396483586)	(95, 35.81898135150414)	(100, 35.83183061182512)	(105, 35.846174020246515)	(110, 35.875867679879946)	(115, 35.87519654515793)	(120, 35.87529848274771)	(125, 35.860480810922425)	(130, 35.8461888857229)	(135, 35.815984516040544)	(140, 35.79707390106042)	(145, 35.770805699252094)	(150, 35.73394917184517)
E250168591_L01_B5GANIdazlRAABA-8035_2	(1, 36.622559025683856)	(2, 36.52545873800886)	(3, 36.55932422035129)	(4, 36.576718043438554)	(5, 36.56542991704026)	(6, 36.56356514737618)	(7, 36.5695604279983)	(8, 36.56219125586924)	(9, 36.55791738075304)	(10, 36.54414584853655)	(15, 36.53484023592094)	(20, 36.528869199780914)	(25, 36.524234917347066)	(30, 36.506104549640625)	(35, 36.50148900495628)	(40, 36.487367326945886)	(45, 36.47295485022976)	(50, 36.46103417000735)	(55, 36.44762389160544)	(60, 36.43220550639713)	(65, 36.411816937072714)	(70, 36.3991451349239)	(75, 36.37786612063714)	(80, 36.35284253044538)	(85, 36.33346670687677)	(90, 36.30645479674399)	(95, 36.282693450519425)	(100, 36.25076970827453)	(105, 36.222356379725866)	(110, 36.19819530234962)	(115, 36.17107244258678)	(120, 36.143555324635)	(125, 36.1046356388551)	(130, 36.07785734385996)	(135, 36.02867179827655)	(140, 35.992287834525705)	(145, 35.93668225147782)	(150, 35.88445489352831)
E250168591_L01_B5GANIdazlRAACA-8036_1	(1, 35.82825750780816)	(2, 35.69254652851288)	(3, 35.782804253196225)	(4, 35.74178304478689)	(5, 35.65627064990824)	(6, 35.61004857716038)	(7, 35.636222915207256)	(8, 35.618316483548305)	(9, 35.5819879897595)	(10, 35.519631290849816)	(15, 35.510738383384144)	(20, 35.506979509976205)	(25, 35.525753818934774)	(30, 35.51434795162699)	(35, 35.52730618345957)	(40, 35.523717051500725)	(45, 35.52838371010906)	(50, 35.530115712669215)	(55, 35.5419557685406)	(60, 35.55907179784227)	(65, 35.57740630517341)	(70, 35.59927266755393)	(75, 35.60459370044131)	(80, 35.608267709789075)	(85, 35.63312667489622)	(90, 35.64165904006129)	(95, 35.66562988151929)	(100, 35.68089829314127)	(105, 35.695357190665064)	(110, 35.724205601312875)	(115, 35.72461964016029)	(120, 35.72096603544079)	(125, 35.70523607802519)	(130, 35.68277109046877)	(135, 35.64774914599666)	(140, 35.62192473391241)	(145, 35.592001345735795)	(150, 35.55927011776679)
E250168591_L01_B5GANIdazlRAACA-8036_2	(1, 36.45943776243916)	(2, 36.32250439646264)	(3, 36.34802276078219)	(4, 36.37555575517189)	(5, 36.35799131387954)	(6, 36.35710722717121)	(7, 36.36395302410394)	(8, 36.3586184892073)	(9, 36.35189168456251)	(10, 36.337170004350085)	(15, 36.32605250590519)	(20, 36.320187185765164)	(25, 36.31358380521293)	(30, 36.29153341131255)	(35, 36.286359324404046)	(40, 36.27009264379329)	(45, 36.25310770260722)	(50, 36.23954052582512)	(55, 36.22335186830096)	(60, 36.20593459124554)	(65, 36.18105400359691)	(70, 36.16738247447695)	(75, 36.14163239508558)	(80, 36.11292873617353)	(85, 36.0895844685841)	(90, 36.057664495779385)	(95, 36.02910966719621)	(100, 35.99139925342253)	(105, 35.95682281527672)	(110, 35.92933386069586)	(115, 35.89802190649354)	(120, 35.866575500335955)	(125, 35.82251898059864)	(130, 35.79085925469059)	(135, 35.73478207804536)	(140, 35.69345224442706)	(145, 35.63071445863678)	(150, 35.57817918690763)
E250168591_L01_B5GANIdazlRAADA-8038_1	(1, 35.03562201675201)	(2, 34.96292542719985)	(3, 34.97401771652804)	(4, 34.859671734455375)	(5, 34.745488620227526)	(6, 34.62752667560411)	(7, 34.70104287456468)	(8, 34.65543024515157)	(9, 34.612566986811075)	(10, 34.51959968812165)	(15, 34.499154486761434)	(20, 34.4941937097128)	(25, 34.53054495845633)	(30, 34.51896274013818)	(35, 34.537138152203944)	(40, 34.53050920779047)	(45, 34.54335449197167)	(50, 34.54095818661566)	(55, 34.55703181420451)	(60, 34.57403542368131)	(65, 34.58894243227799)	(70, 34.62005618682549)	(75, 34.62349261842414)	(80, 34.6332280692415)	(85, 34.66564753401873)	(90, 34.67268442400187)	(95, 34.702350641248636)	(100, 34.717376451289496)	(105, 34.73635703262512)	(110, 34.76303603613002)	(115, 34.759661664490224)	(120, 34.741297083612366)	(125, 34.69012568024196)	(130, 34.63521649563364)	(135, 34.54089929043254)	(140, 34.447292677588415)	(145, 34.38487224810935)	(150, 34.32862290141864)
E250168591_L01_B5GANIdazlRAADA-8038_2	(1, 35.94319693760495)	(2, 35.83450934346649)	(3, 35.90838349867489)	(4, 35.918688765484795)	(5, 35.88410542463403)	(6, 35.89100994890077)	(7, 35.89442277207183)	(8, 35.89728997713931)	(9, 35.892323839988514)	(10, 35.88031218407254)	(15, 35.87558619581702)	(20, 35.879096005365966)	(25, 35.876922444808365)	(30, 35.85384547158496)	(35, 35.86105599124586)	(40, 35.85119999391223)	(45, 35.83972924040883)	(50, 35.83312865674716)	(55, 35.824299659317134)	(60, 35.81002073014099)	(65, 35.79566350750615)	(70, 35.78728838700897)	(75, 35.76827106258098)	(80, 35.73932915349159)	(85, 35.72829099636631)	(90, 35.70472506493254)	(95, 35.674736410648634)	(100, 35.63741850686087)	(105, 35.60798567968531)	(110, 35.58368806516639)	(115, 35.55566787718)	(120, 35.530421842621124)	(125, 35.491156869650716)	(130, 35.45782170660041)	(135, 35.40473688330008)	(140, 35.356649222134536)	(145, 35.298525656360454)	(150, 35.26607264057407)
