Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
E250168591_L01_B5GANIdazlRAAAA-8034_1	E250168591_L01_B5GANIdazlRAAAA-8034_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120041238.0	18 Gbp	0.0	150.0	41.0	93.82789519710406	150.0	150	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
E250168591_L01_B5GANIdazlRAAAA-8034_2	E250168591_L01_B5GANIdazlRAAAA-8034_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120041238.0	18 Gbp	0.0	150.0	41.0	82.43733547496961	150.0	150	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
E250168591_L01_B5GANIdazlRAABA-8035_1	E250168591_L01_B5GANIdazlRAABA-8035_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88836709.0	13.3 Gbp	0.0	150.0	41.0	90.1697034726171	150.0	150	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
E250168591_L01_B5GANIdazlRAABA-8035_2	E250168591_L01_B5GANIdazlRAABA-8035_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88836709.0	13.3 Gbp	0.0	150.0	41.0	81.74267315257521	150.0	150	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
E250168591_L01_B5GANIdazlRAACA-8036_1	E250168591_L01_B5GANIdazlRAACA-8036_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120041393.0	18 Gbp	0.0	150.0	41.0	95.61564058521266	150.0	150	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
E250168591_L01_B5GANIdazlRAACA-8036_2	E250168591_L01_B5GANIdazlRAACA-8036_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120041393.0	18 Gbp	0.0	150.0	41.0	82.89902802884767	150.0	150	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
E250168591_L01_B5GANIdazlRAADA-8038_1	E250168591_L01_B5GANIdazlRAADA-8038_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120109651.0	18 Gbp	0.0	150.0	43.0	98.54673150090036	150.0	150	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
E250168591_L01_B5GANIdazlRAADA-8038_2	E250168591_L01_B5GANIdazlRAADA-8038_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120109651.0	18 Gbp	0.0	150.0	43.0	82.68193112642417	150.0	150	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
