Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
E250168591_L01_B5GANIdazlRAAAA-8034_1	(1.0, 91.67550701657427)	(2.0, 3.2054848618441865)	(3.0, 0.7305943012140019)	(4.0, 0.38242488281855225)	(5.0, 0.26870873962710007)	(6.0, 0.19487056365210192)	(7.0, 0.14696403160867097)	(8.0, 0.10701867442348902)	(9.0, 0.09705760389800867)	('>10', 1.2716635366136049)	('>50', 0.47338417325530224)	('>100', 0.9214422637753138)	('>500', 0.3466760407244931)	('>1k', 0.1782033099707884)	('>5k', 0.0)	('>10k+', 0.0)
E250168591_L01_B5GANIdazlRAAAA-8034_2	(1.0, 77.04000878067443)	(2.0, 7.5117776173065405)	(3.0, 2.0856616766186975)	(4.0, 1.129256317781974)	(5.0, 0.7975746008057631)	(6.0, 0.5979352299911724)	(7.0, 0.5046268189572162)	(8.0, 0.3803718805944614)	(9.0, 0.3177740072011168)	('>10', 4.04080643946043)	('>50', 1.5349197741003493)	('>100', 2.845079308517026)	('>500', 0.8695702516565071)	('>1k', 0.3394624912074531)	('>5k', 0.005174805126926944)	('>10k+', 0.0)
E250168591_L01_B5GANIdazlRAABA-8035_1	(1.0, 87.16084322723037)	(2.0, 4.154010101849747)	(3.0, 1.1677652691639706)	(4.0, 0.6524470470126646)	(5.0, 0.453483768663974)	(6.0, 0.3330758549456837)	(7.0, 0.27339686776423244)	(8.0, 0.20666149080357157)	(9.0, 0.19479150714973298)	('>10', 2.4145030485413)	('>50', 0.7639175650082324)	('>100', 1.4673115226605598)	('>500', 0.432470584375546)	('>1k', 0.3253221448304507)	('>5k', 0.0)	('>10k+', 0.0)
E250168591_L01_B5GANIdazlRAABA-8035_2	(1.0, 76.42476223291912)	(2.0, 7.029645051485374)	(3.0, 2.099479275058221)	(4.0, 1.3322812180598034)	(5.0, 0.8910113713685096)	(6.0, 0.7056616556584479)	(7.0, 0.5091613760021312)	(8.0, 0.47064549294390445)	(9.0, 0.40420904054178236)	('>10', 4.84459260870066)	('>50', 1.494508232537621)	('>100', 2.687771948922924)	('>500', 0.6663345673481709)	('>1k', 0.43993592845308654)	('>5k', 0.0)	('>10k+', 0.0)
E250168591_L01_B5GANIdazlRAACA-8036_1	(1.0, 93.99212778769098)	(2.0, 2.446527678908925)	(3.0, 0.5664338010171203)	(4.0, 0.2748405594906379)	(5.0, 0.17497184896311127)	(6.0, 0.11903072276330873)	(7.0, 0.10807315153247464)	(8.0, 0.09310198384648814)	(9.0, 0.06610005527090429)	('>10', 0.8828505632017206)	('>50', 0.30351153077271315)	('>100', 0.655251346012778)	('>500', 0.20242562918362403)	('>1k', 0.10936520694576432)	('>5k', 0.005388134399382014)	('>10k+', 0.0)
E250168591_L01_B5GANIdazlRAACA-8036_2	(1.0, 77.61704546845117)	(2.0, 7.4079369624131735)	(3.0, 1.9643512538838357)	(4.0, 1.081046324436625)	(5.0, 0.8009274298668028)	(6.0, 0.5872618647587505)	(7.0, 0.46303648915277323)	(8.0, 0.3646076687710735)	(9.0, 0.3019741491582456)	('>10', 4.007159211782034)	('>50', 1.4251782686141687)	('>100', 2.929139927844129)	('>500', 0.7890242053708538)	('>1k', 0.24962031087501987)	('>5k', 0.01169046462153621)	('>10k+', 0.0)
E250168591_L01_B5GANIdazlRAADA-8038_1	(1.0, 97.42242785754307)	(2.0, 1.7827190201323295)	(3.0, 0.4944066783410679)	(4.0, 0.20225110576392968)	(5.0, 0.057094795418127765)	(6.0, 0.022045829839626073)	(7.0, 0.011027537277876809)	(8.0, 0.005014618603087154)	(9.0, 0.0010033441696706662)	('>10', 0.0020092129112198372)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
E250168591_L01_B5GANIdazlRAADA-8038_2	(1.0, 78.02086102944217)	(2.0, 6.303652778246197)	(3.0, 1.8861266221437842)	(4.0, 1.0279632099147211)	(5.0, 0.662389794798055)	(6.0, 0.5054584496072002)	(7.0, 0.44295955994635905)	(8.0, 0.3525247586974397)	(9.0, 0.33075522533940904)	('>10', 4.25750897226143)	('>50', 1.498958230926389)	('>100', 3.783174579953145)	('>500', 0.786754890259344)	('>1k', 0.12835237664115356)	('>5k', 0.012559521823048914)	('>10k+', 0.0)
