Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
E250168591_L01_B5GANIdazlRAAAA-8034_1	6.172104802895944	41.0	150.0	150	0.0	120.04123799999999
E250168591_L01_B5GANIdazlRAAAA-8034_2	17.562664525030385	41.0	150.0	150	0.0	120.04123799999999
E250168591_L01_B5GANIdazlRAABA-8035_1	9.830296527382899	41.0	150.0	150	0.0	88.836709
E250168591_L01_B5GANIdazlRAABA-8035_2	18.257326847424793	41.0	150.0	150	0.0	88.836709
E250168591_L01_B5GANIdazlRAACA-8036_1	4.38435941478734	41.0	150.0	150	0.0	120.041393
E250168591_L01_B5GANIdazlRAACA-8036_2	17.100971971152333	41.0	150.0	150	0.0	120.041393
E250168591_L01_B5GANIdazlRAADA-8038_1	1.4532684990996358	43.0	150.0	150	0.0	120.109651
E250168591_L01_B5GANIdazlRAADA-8038_2	17.318068873575825	43.0	150.0	150	0.0	120.109651
