Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
E250168591_L01_B5GANIdazlRAAAA-8034_1 - polya	(1, 0.0012104173734029634)	(2, 0.0016727584898782867)	(3, 0.0022767176059947)	(4, 0.0030964359097995975)	(5, 0.003906157648923947)	(6, 0.004666729611702272)	(7, 0.00577718133829976)	(8, 0.006920121900109028)	(9, 0.007501588745694209)	(10, 0.008496246931408689)	(12, 0.009774557639933703)	(14, 0.011177825406965564)	(16, 0.012824342914557411)	(18, 0.014510846680871452)	(20, 0.016351464152677263)	(22, 0.018300794265384033)	(24, 0.019739466532326166)	(26, 0.021082338387746383)	(28, 0.022416879772599478)	(30, 0.023967596868669415)	(32, 0.0256128648056762)	(34, 0.026947822714057646)	(36, 0.02859642283929128)	(38, 0.030888135292306797)	(40, 0.03239428437084263)	(42, 0.03408745251361037)	(44, 0.035700231615405364)	(46, 0.037616656369372004)	(48, 0.03969094354058561)	(50, 0.04120209090146171)	(52, 0.04252122091576563)	(54, 0.0440307021825283)	(56, 0.04562182206084879)	(58, 0.048214681024865806)	(60, 0.05060969131291365)	(62, 0.052150828367831394)	(64, 0.05343372083516833)	(66, 0.055487598353492484)	(68, 0.0573719507957757)	(70, 0.05989400075997217)	(72, 0.06295128345810629)	(74, 0.0650018287882036)	(76, 0.06686327243642723)	(78, 0.06924078873628411)	(80, 0.07165204344193785)	(82, 0.07462977014615593)	(84, 0.0769077373227357)	(86, 0.07859215847140796)	(88, 0.08013496162043914)	(90, 0.08164569245778688)	(92, 0.08356170068822516)	(94, 0.08622037036972244)	(96, 0.08893610377460452)	(98, 0.0919892212374551)	(100, 0.09490905117123168)	(102, 0.09758813050561842)	(104, 0.10006019764641214)	(106, 0.10226902191728479)	(108, 0.10438079620605045)	(110, 0.1063767769539331)	(112, 0.10827237553148195)	(114, 0.11017630457959789)	(116, 0.1120339995160663)	(118, 0.11385878909379459)	(120, 0.1157402258713793)	(122, 0.11767914289587716)	(124, 0.11958348846752147)	(126, 0.12143410250400782)	(128, 0.12329013134636282)	(130, 0.125070352906557)	(132, 0.12691221994894789)	(134, 0.12874409042665821)	(136, 0.13052181284568226)	(138, 0.13224788634719015)
E250168591_L01_B5GANIdazlRAAAA-8034_2 - polya	(1, 0.0012112504204596756)	(2, 0.0016627619251977392)	(3, 0.002212572982627853)	(4, 0.003016463392355217)	(5, 0.0037886980139275137)	(6, 0.004503452388586662)	(7, 0.005628065915148259)	(8, 0.006751846394653144)	(9, 0.0073449758990322975)	(10, 0.008279654696663492)	(12, 0.00952839223467522)	(14, 0.010978727160411325)	(16, 0.012710215467787828)	(18, 0.014475442180961178)	(20, 0.016410193970175485)	(22, 0.018474901100236904)	(24, 0.01990649246719698)	(26, 0.021242283422635143)	(28, 0.022630556342646185)	(30, 0.024326640150112412)	(32, 0.026330951368562193)	(34, 0.02778878371780871)	(36, 0.029574003560343155)	(38, 0.03229431872403715)	(40, 0.03390709782583215)	(42, 0.03578020413284975)	(44, 0.037424222499271464)	(46, 0.039561404723266844)	(48, 0.04194433582899237)	(50, 0.043762044506738595)	(52, 0.04527527448525648)	(54, 0.04684848385185764)	(56, 0.04870534574126935)	(58, 0.05202420521521113)	(60, 0.05514979777199565)	(62, 0.05687878693820202)	(64, 0.05832912186393813)	(66, 0.060733295669609805)	(68, 0.06283132468193972)	(70, 0.06571450054522096)	(72, 0.06925994881858849)	(74, 0.07151167501288183)	(76, 0.07351140447251969)	(78, 0.07610926171887697)	(80, 0.07877292968271454)	(82, 0.08202514539211933)	(84, 0.0845301178916532)	(86, 0.08647569929260476)	(88, 0.0881630361059755)	(90, 0.08979039353126297)	(92, 0.09182302834964098)	(94, 0.09472994605403853)	(96, 0.09777265042868019)	(98, 0.1011244152613621)	(100, 0.10428999407686881)	(102, 0.10721940405179761)	(104, 0.11006217713282831)	(106, 0.1124634352738015)	(108, 0.11476514429149756)	(110, 0.11692815097425102)	(112, 0.11908074456879561)	(114, 0.12120251542224181)	(116, 0.12315476119964708)	(118, 0.12509492779473)	(120, 0.12713589308367512)	(122, 0.12935263130158653)	(124, 0.1315502094371936)	(126, 0.13362991141427583)	(128, 0.13578791981468902)	(130, 0.13788469925643387)	(132, 0.14005228769799927)	(134, 0.14220821348077067)	(136, 0.14431790515189455)	(138, 0.14635220606438598)
E250168591_L01_B5GANIdazlRAABA-8035_1 - polya	(1, 0.0007035379935112185)	(2, 0.0011436713622518368)	(3, 0.0019091206991920424)	(4, 0.0029289693745859044)	(5, 0.003940938424452441)	(6, 0.004886493487731519)	(7, 0.005839928176537922)	(8, 0.006571607689789589)	(9, 0.007455251409639679)	(10, 0.008694041108614234)	(12, 0.010353265112511091)	(14, 0.012053575735229003)	(16, 0.013636817635826649)	(18, 0.015251015208138789)	(20, 0.016958642625989215)	(22, 0.01873099553924268)	(24, 0.02049378033578439)	(26, 0.02223292625574412)	(28, 0.024176942439414317)	(30, 0.025974622720434184)	(32, 0.02769969788052369)	(34, 0.02956097799615697)	(36, 0.031341773365332566)	(38, 0.033176037622015014)	(40, 0.035194347417800004)	(42, 0.037193520980161474)	(44, 0.03919044322094372)	(46, 0.041229577741336634)	(48, 0.04314995504842486)	(50, 0.04518908956881777)	(52, 0.04737230867028179)	(54, 0.04952682342161054)	(56, 0.051657699296357315)	(58, 0.05377169025925983)	(60, 0.05585753970242189)	(62, 0.0580908507090239)	(64, 0.060239737156404564)	(66, 0.062375115674309825)	(68, 0.06457634534840771)	(70, 0.06673029726934167)	(72, 0.06885498200974555)	(74, 0.07125939345636947)	(76, 0.07376680286524347)	(78, 0.07614757543528543)	(80, 0.07852609668374816)	(82, 0.08094401605984751)	(84, 0.08327188257277743)	(86, 0.08567347986742732)	(88, 0.08815668756932452)	(90, 0.09064777489674905)	(92, 0.09310340390930061)	(94, 0.0955427108404027)	(96, 0.09797470097637229)	(98, 0.10057103758762607)	(100, 0.10319213873625147)	(102, 0.10578566119553123)	(104, 0.10842027027363205)	(106, 0.11106050765568094)	(108, 0.11376434487234326)	(110, 0.1164512971771613)	(112, 0.11919622101264467)	(114, 0.12202500657695459)	(116, 0.12474291455348713)	(118, 0.1274377464838325)	(120, 0.13022037995576807)	(122, 0.13304072306415582)	(124, 0.13580253181148347)	(126, 0.13861837227671275)	(128, 0.14160362469077958)	(130, 0.1445219002878641)	(132, 0.1474497440016604)	(134, 0.15039334696651135)	(136, 0.15322438385240048)	(138, 0.15591921578274584)
E250168591_L01_B5GANIdazlRAABA-8035_2 - polya	(1, 0.0006618885442953542)	(2, 0.0011751898643611392)	(3, 0.001917000324719368)	(4, 0.002990880718014892)	(5, 0.00400172410709181)	(6, 0.005005813531431021)	(7, 0.00592322707496965)	(8, 0.006671791500065587)	(9, 0.007525042378595992)	(10, 0.008814486813103354)	(12, 0.010493972711213335)	(14, 0.012168955966164843)	(16, 0.01381185788861224)	(18, 0.015446317355137502)	(20, 0.017164638550489303)	(22, 0.018984832047301524)	(24, 0.020842172350171145)	(26, 0.02285935648516651)	(28, 0.024924944034115444)	(30, 0.026865583235416792)	(32, 0.028769075630660744)	(34, 0.030711403323146515)	(36, 0.03274434670919653)	(38, 0.03477503877366731)	(40, 0.036767458371291084)	(42, 0.03878689382786568)	(44, 0.040902573281952626)	(46, 0.04303738896946306)	(48, 0.04509565972327948)	(50, 0.0472794416551383)	(52, 0.0495684728708264)	(54, 0.05180572369019208)	(56, 0.054131901711937574)	(58, 0.05641305330209835)	(60, 0.058582201643692135)	(62, 0.06100800064531882)	(64, 0.06344055361168321)	(66, 0.06575378653434809)	(68, 0.06823418008427125)	(70, 0.0706824923016903)	(72, 0.0732354909725438)	(74, 0.07579862059050387)	(76, 0.07842760136465658)	(78, 0.08094176473826828)	(80, 0.08353810134952208)	(82, 0.08615244853340977)	(84, 0.08877917798598325)	(86, 0.09151509653514968)	(88, 0.09433149983077378)	(90, 0.09717548181574354)	(92, 0.09995248698373102)	(94, 0.10265069589644524)	(96, 0.10532582876297229)	(98, 0.10821258585794752)	(100, 0.11109765446173833)	(102, 0.1139680894752641)	(104, 0.11680644315628577)	(106, 0.119769745184955)	(108, 0.12284561329258606)	(110, 0.1259271097041652)	(112, 0.1289821530871883)	(114, 0.13213400329811859)	(116, 0.13516090516140125)	(118, 0.13816529380889153)	(120, 0.1412158345487562)	(122, 0.1443519255086318)	(124, 0.1473810786934937)	(126, 0.1504788971865223)	(128, 0.1537039153487777)	(130, 0.1569570750307736)	(132, 0.16026595492185558)	(134, 0.16359059406399218)	(136, 0.1668353112900659)	(138, 0.16986671579650706)
E250168591_L01_B5GANIdazlRAACA-8036_1 - polya	(1, 0.0011096172467775344)	(2, 0.0016186083412077698)	(3, 0.002192577022161014)	(4, 0.0032255540386806406)	(5, 0.0038711646740054073)	(6, 0.004583418987815311)	(7, 0.005649717843577507)	(8, 0.006627713825346895)	(9, 0.0072191764719024875)	(10, 0.00815635320059973)	(12, 0.009363436827161778)	(14, 0.010724217437230173)	(16, 0.012139979082048806)	(18, 0.013572818169479256)	(20, 0.015145608981728495)	(22, 0.01700829979538808)	(24, 0.018499452101493022)	(26, 0.019835241332129494)	(28, 0.021114383436053596)	(30, 0.022625528845704082)	(32, 0.02433077396894253)	(34, 0.02571029811358487)	(36, 0.027325990793858917)	(38, 0.029424850143150202)	(40, 0.030820202161432764)	(42, 0.03250545418112567)	(44, 0.03409782157392992)	(46, 0.036010078623462824)	(48, 0.03815433897872211)	(50, 0.03969464099770985)	(52, 0.041031679797317915)	(54, 0.04256240178752341)	(56, 0.044448001365662265)	(58, 0.046721383847986506)	(60, 0.0489097956402422)	(62, 0.05046675857885122)	(64, 0.0517742242461315)	(66, 0.05366398905417567)	(68, 0.05555292081623878)	(70, 0.05793210013815818)	(72, 0.06069073190445232)	(74, 0.06263464470126567)	(76, 0.06448025807231345)	(78, 0.06690942015309669)	(80, 0.06932317088323026)	(82, 0.07204306601140492)	(84, 0.07426063441299785)	(86, 0.07620996200868813)	(88, 0.07780524506242609)	(90, 0.07934179837449903)	(92, 0.08115284033733264)	(94, 0.0834328871875054)	(96, 0.08593827297555602)	(98, 0.08869065689699218)	(100, 0.09120270705289132)	(102, 0.09365852660506864)	(104, 0.09602104500736675)	(106, 0.09811532260376218)	(108, 0.10010213726860034)	(110, 0.10206562664596869)	(112, 0.10391623829290285)	(114, 0.10579225784225946)	(116, 0.10751832911502451)	(118, 0.10932770498589599)	(120, 0.11113708085676746)	(122, 0.11300601951528502)	(124, 0.11483622153568311)	(126, 0.1165706232682588)	(128, 0.11836125560455635)	(130, 0.12010898607282906)	(132, 0.12196709513359279)	(134, 0.12371357603289393)	(136, 0.125452976041356)	(138, 0.12711698538853178)
E250168591_L01_B5GANIdazlRAACA-8036_2 - polya	(1, 0.0012612316153312216)	(2, 0.0017493965602348516)	(3, 0.0022875442640023346)	(4, 0.003310524728749191)	(5, 0.0040077842148999385)	(6, 0.004756692551876668)	(7, 0.005813827901847157)	(8, 0.006845971872385719)	(9, 0.007389950898020652)	(10, 0.008297971017380647)	(12, 0.009426331798732125)	(14, 0.010725883529192301)	(16, 0.012193294024836916)	(18, 0.013687778514866118)	(20, 0.015351787862041888)	(22, 0.017191153388231673)	(24, 0.018675641326488107)	(26, 0.02005641504010204)	(28, 0.02139761906961543)	(30, 0.023010396088955748)	(32, 0.024887248684293425)	(34, 0.026363822685729746)	(36, 0.02819194209117517)	(38, 0.030636932045598638)	(40, 0.032315519697443035)	(42, 0.03422444456305168)	(44, 0.03598758638197409)	(46, 0.038279712398872276)	(48, 0.04075510853160459)	(50, 0.0425765635692015)	(52, 0.044059385415495804)	(54, 0.04580211760788214)	(56, 0.048237527533523374)	(58, 0.05112153271996769)	(60, 0.0539018236817695)	(62, 0.05556541650595474)	(64, 0.05707073059373778)	(66, 0.059544877157498496)	(68, 0.06170038363350215)	(70, 0.06472600663672738)	(72, 0.06830227303343606)	(74, 0.07079058137887487)	(76, 0.07298149230907375)	(78, 0.07598295697884812)	(80, 0.07910479679288626)	(82, 0.08254569321767201)	(84, 0.08520435946623844)	(86, 0.08751647858668218)	(88, 0.08947413664218308)	(90, 0.0911023250121731)	(92, 0.09315453378652479)	(94, 0.09606228078342943)	(96, 0.0992699243335172)	(98, 0.10263834575795033)	(100, 0.10573394462358497)	(102, 0.10884578788585034)	(104, 0.11177727669321531)	(106, 0.11436430098741024)	(108, 0.1166872497056078)	(110, 0.11890606767617234)	(112, 0.12105116107741268)	(114, 0.12321999628911337)	(116, 0.12526637374159763)	(118, 0.12733066168267473)	(120, 0.12947408899195295)	(122, 0.13166208426121812)	(124, 0.13380009677161944)	(126, 0.13589520741399594)	(128, 0.13803030426346352)	(130, 0.1401745646187228)	(132, 0.14234798158331935)	(134, 0.1444451748406485)	(136, 0.1465815212590877)	(138, 0.14861915172877077)
E250168591_L01_B5GANIdazlRAADA-8038_2 - polya	(1, 0.0007484827343308157)	(2, 0.0013587584231678435)	(3, 0.002071440537280389)	(4, 0.0028523936015766127)	(5, 0.0037698885662401935)	(6, 0.004485900970605601)	(7, 0.0052493700110742975)	(8, 0.0058996091829456735)	(9, 0.006465758525932275)	(10, 0.007336213140774175)	(12, 0.008429797202557852)	(14, 0.009737768699369546)	(16, 0.01112275315827868)	(18, 0.012473185855814369)	(20, 0.013764922187643356)	(22, 0.015040007068208032)	(24, 0.016308431368266985)	(26, 0.017546466769768565)	(28, 0.018784085884988543)	(30, 0.020111622837035804)	(32, 0.021527412480783915)	(34, 0.02284745627976223)	(36, 0.024093817406895972)	(38, 0.02560826689938513)	(40, 0.02695578559294956)	(42, 0.028288317980376114)	(44, 0.029602117485130315)	(46, 0.031045798309746152)	(48, 0.03257356896324676)	(50, 0.033999765764035066)	(52, 0.035403899391898155)	(54, 0.03677514640351423)	(56, 0.038437793812255774)	(58, 0.040389760186714724)	(60, 0.04213275084780656)	(62, 0.04367550780744505)	(64, 0.045054664258411675)	(66, 0.04667401789386599)	(68, 0.04826589663473421)	(70, 0.05006466965756149)	(72, 0.052017052318302046)	(74, 0.053637654812601195)	(76, 0.05514086457548695)	(78, 0.05693006301383725)	(80, 0.05875048292330814)	(82, 0.060713689027370496)	(84, 0.06245043539423822)	(86, 0.06406854017084772)	(88, 0.06556175906297487)	(90, 0.06693300607459096)	(92, 0.06843163668837901)	(94, 0.07028785721806818)	(96, 0.07205957163259095)	(98, 0.07386334009079754)	(100, 0.07564213137210765)	(102, 0.07738720346460752)	(104, 0.07903694599861921)	(106, 0.08058095181710254)	(108, 0.08202796293197122)	(110, 0.08351327238474784)	(112, 0.08494571347976025)	(114, 0.08642311349318632)	(116, 0.08784847772141141)	(118, 0.08928591425180313)	(120, 0.0907524908219074)	(122, 0.09225778201620118)	(124, 0.09372685630399508)	(126, 0.09526753183222554)	(128, 0.09676491358716878)	(130, 0.09822982501214661)	(132, 0.09970805759813589)	(134, 0.10121667908268255)	(136, 0.1026886673744477)	(138, 0.10414525307379338)
E250168591_L01_B5GANIdazlRAADA-8038_2 - polyg	(1, 3.163775740219243e-05)	(2, 8.575497401120582e-05)	(3, 0.00013404418267771006)	(4, 0.0001831659639074299)	(5, 0.000243943761022168)	(6, 0.00034218732348160764)	(7, 0.0004354354505617538)	(8, 0.0005528281819751521)	(9, 0.0006935329451585868)	(10, 0.0009320649845198535)	(12, 0.001262596292116443)	(14, 0.0015818878701096216)	(16, 0.001924907766154445)	(18, 0.002278751105521071)	(20, 0.002660485625755419)	(22, 0.0030838487741505468)	(24, 0.0035197005109939084)	(26, 0.003960131396934956)	(28, 0.0044933941236745415)	(30, 0.005110330393017294)	(32, 0.0057830490240954905)	(34, 0.006496563710771252)	(36, 0.0072025852443780725)	(38, 0.007988117457771983)	(40, 0.00886273493542996)	(42, 0.009838093693237024)	(44, 0.010825941039492321)	(46, 0.011954493148931055)	(48, 0.013142574196639702)	(50, 0.014440138536411198)	(52, 0.015838444156331784)	(54, 0.017343319064343964)	(56, 0.01893561409149378)	(58, 0.02067111159951668)	(60, 0.022476961489131295)	(62, 0.0243090374144872)	(64, 0.026081168115291584)	(66, 0.027986094139928856)	(68, 0.02996761684038196)	(70, 0.03205695768777148)	(72, 0.034004761199414354)	(74, 0.03599086304896515)	(76, 0.03807728989238342)	(78, 0.04019535449320388)	(80, 0.042310921376334694)	(82, 0.04437903162336222)	(84, 0.04642924156028061)	(86, 0.048566871616336646)	(88, 0.050794835795501564)	(90, 0.05306734260679852)	(92, 0.05540853665456076)	(94, 0.05765731514780606)	(96, 0.05983574125945966)	(98, 0.0619796156097398)	(100, 0.06398486662824455)	(102, 0.06599136650559412)	(104, 0.06812191969486282)	(106, 0.07025830089207402)	(108, 0.07240508924632542)	(110, 0.0744224125669968)	(112, 0.07654921917973102)	(114, 0.07868018865528134)	(116, 0.0807666154986996)	(118, 0.08291590157064065)	(120, 0.0848732796667605)	(122, 0.08682233203724819)	(124, 0.08888045141351714)	(126, 0.09084948552552201)	(128, 0.09270029433355026)	(130, 0.09462520209970471)	(132, 0.096659593157922)	(134, 0.0986506904428521)	(136, 0.10055686532633418)	(138, 0.10238186438490277)
