Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
E250168591_L01_B5GANIdazlRAAAA-8034_1	(0.0, 0.00019909804835387669)	(1.0, 0.00014619961291257474)	(2.0, 0.00010079859351807147)	(3.0, 0.00012079170297620134)	(4.0, 0.00016910838416668187)	(5.0, 0.0002195076809257176)	(6.0, 0.00027282263948073067)	(7.0, 0.00036778990940684755)	(8.0, 0.000489414658610471)	(9.0, 0.0006281168554762471)	(10.0, 0.0008305470887398121)	(11.0, 0.001116698467859296)	(12.0, 0.0016231905741319194)	(13.0, 0.002510384806336433)	(14.0, 0.003821183045185073)	(15.0, 0.00598835280582361)	(16.0, 0.009460906004832544)	(17.0, 0.015004828648326475)	(18.0, 0.024577779370747288)	(19.0, 0.0409275611532467)	(20.0, 0.06626674477585777)	(21.0, 0.1031919353294551)	(22.0, 0.1562803053106093)	(23.0, 0.23253319173768922)	(24.0, 0.3358900702201739)	(25.0, 0.46683285800062696)	(26.0, 0.6292168930195579)	(27.0, 0.825737079822677)	(28.0, 1.0635855230144327)	(29.0, 1.343923072512738)	(30.0, 1.6671695836162133)	(31.0, 2.0259134440394844)	(32.0, 2.411505551326342)	(33.0, 2.817370671603743)	(34.0, 3.2264301076401942)	(35.0, 3.6126211751645676)	(36.0, 3.95394229026442)	(37.0, 4.245792122102585)	(38.0, 4.486890278627514)	(39.0, 4.655597134512578)	(40.0, 4.747044367604723)	(41.0, 4.769354178621314)	(42.0, 4.725107761298018)	(43.0, 4.635406176575436)	(44.0, 4.513075837217186)	(45.0, 4.3493826700518605)	(46.0, 4.146870381734895)	(47.0, 3.9216121827012826)	(48.0, 3.653614130446667)	(49.0, 3.337255245551517)	(50.0, 2.9997253238326635)	(51.0, 2.6537995457107355)	(52.0, 2.318902466593649)	(53.0, 2.0238483224417054)	(54.0, 1.742393657952427)	(55.0, 1.4526356051913192)	(56.0, 1.1799079329805147)	(57.0, 0.9586479393154147)	(58.0, 0.7895966188153112)	(59.0, 0.6508977541344448)	(60.0, 0.5276718900817162)	(61.0, 0.4054535954410545)	(62.0, 0.29427233026750804)	(63.0, 0.21078860258640442)	(64.0, 0.1546462851355209)	(65.0, 0.11537107117436589)	(66.0, 0.08514648795103805)	(67.0, 0.06062077396950463)	(68.0, 0.04283440396781584)	(69.0, 0.03003923043772643)	(70.0, 0.02088905067572232)	(71.0, 0.015030236558262846)	(72.0, 0.01077003815122634)	(73.0, 0.007494500385002727)	(74.0, 0.0053439915489126326)	(75.0, 0.003994040137375155)	(76.0, 0.0024279132298216472)	(77.0, 0.0011004540664245653)	(78.0, 0.0006618552276868412)	(79.0, 0.00039278129622950987)	(80.0, 0.00023908426727013647)	(81.0, 0.00016577619925699357)	(82.0, 0.00011745951806651303)	(83.0, 8.455419208334094e-05)	(84.0, 5.206538921387989e-05)	(85.0, 2.2908771254107154e-05)	(86.0, 9.99655472906494e-06)	(87.0, 4.58175425082143e-06)	(88.0, 3.332184909688313e-06)	(89.0, 2.0826155685551957e-06)	(90.0, 1.6660924548441566e-06)	(91.0, 2.0826155685551957e-06)	(92.0, 8.330462274220783e-07)	(93.0, 0.0)	(94.0, 4.1652311371103915e-07)	(95.0, 4.1652311371103915e-07)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAAAA-8034_2	(0.0, 0.00015827881551431957)	(1.0, 0.00011620997244340831)	(2.0, 8.122202375076924e-05)	(3.0, 0.00010329775328302962)	(4.0, 0.00012745609880889942)	(5.0, 0.00015702924591815389)	(6.0, 0.00019035110181590535)	(7.0, 0.0002469982568420829)	(8.0, 0.0003294698501890178)	(9.0, 0.0004298519410809942)	(10.0, 0.0005839655246080947)	(11.0, 0.0007884784151805446)	(12.0, 0.0011870911163573967)	(13.0, 0.001898096216575669)	(14.0, 0.003056447232221255)	(15.0, 0.004957459111187977)	(16.0, 0.008098044029551055)	(17.0, 0.01338497299092805)	(18.0, 0.022606796610630774)	(19.0, 0.038401772829363696)	(20.0, 0.06328653481380452)	(21.0, 0.09962026996151399)	(22.0, 0.15216342191068472)	(23.0, 0.2289328126671169)	(24.0, 0.3330040495301731)	(25.0, 0.4650868880304753)	(26.0, 0.6292928286626074)	(27.0, 0.8287662050537209)	(28.0, 1.0703700699491565)	(29.0, 1.3546496522160412)	(30.0, 1.6817648967626841)	(31.0, 2.0452767714600437)	(32.0, 2.435139153278146)	(33.0, 2.845469485081443)	(34.0, 3.257462994017236)	(35.0, 3.644715441472147)	(36.0, 3.987617748296747)	(37.0, 4.277044307730239)	(38.0, 4.511651832456742)	(39.0, 4.676603349614586)	(40.0, 4.759625170107033)	(41.0, 4.766706481008504)	(42.0, 4.711121460139067)	(43.0, 4.614132367223879)	(44.0, 4.480150599460604)	(45.0, 4.30883419130309)	(46.0, 4.110263420683608)	(47.0, 3.880605024604317)	(48.0, 3.6123357610499043)	(49.0, 3.3041248384004533)	(50.0, 2.9721017010032704)	(51.0, 2.635494725804153)	(52.0, 2.3097431782101254)	(53.0, 2.019932167864214)	(54.0, 1.7415513871376287)	(55.0, 1.459496038751919)	(56.0, 1.1909268784944267)	(57.0, 0.9655919932178694)	(58.0, 0.7953902011401356)	(59.0, 0.655840351256346)	(60.0, 0.5320942245784624)	(61.0, 0.40952144375137856)	(62.0, 0.2955652783362544)	(63.0, 0.21193116874168666)	(64.0, 0.15670227520715718)	(65.0, 0.11825760048832515)	(66.0, 0.08826501451795775)	(67.0, 0.06260218719830445)	(68.0, 0.04398151759944219)	(69.0, 0.030686513619438065)	(70.0, 0.021468022185325116)	(71.0, 0.015390115669575245)	(72.0, 0.01105369264768161)	(73.0, 0.007909359020530037)	(74.0, 0.005685125139355126)	(75.0, 0.004228960036623385)	(76.0, 0.00261326654878116)	(77.0, 0.0012858071144544855)	(78.0, 0.0007614044072636214)	(79.0, 0.0004298519410809942)	(80.0, 0.0002557452440152426)	(81.0, 0.00016994146507853258)	(82.0, 0.0001295387148025089)	(83.0, 9.03855341226509e-05)	(84.0, 5.748020142362131e-05)	(85.0, 3.748708788497042e-05)	(86.0, 1.874354394248521e-05)	(87.0, 9.580033570603552e-06)	(88.0, 4.5817551859408294e-06)	(89.0, 1.6660927948875742e-06)	(90.0, 1.2495695961656808e-06)	(91.0, 8.330463974437871e-07)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAABA-8035_1	(0.0, 2.9267176247228034e-05)	(1.0, 3.770963093392842e-05)	(2.0, 4.446359468328874e-05)	(3.0, 5.0091897807755676e-05)	(4.0, 8.836435905413078e-05)	(5.0, 0.00013395361436231292)	(6.0, 0.00017447739685847482)	(7.0, 0.0002515851496636717)	(8.0, 0.0003512061149667364)	(9.0, 0.0004851597293290493)	(10.0, 0.0006680795808742245)	(11.0, 0.0009793247436572455)	(12.0, 0.0014841835339219293)	(13.0, 0.002323926360092395)	(14.0, 0.003698920813399666)	(15.0, 0.005929980171938356)	(16.0, 0.009666047785959505)	(17.0, 0.015666381746953697)	(18.0, 0.02549283617196051)	(19.0, 0.04113163923360432)	(20.0, 0.06516224225382833)	(21.0, 0.10150757251038596)	(22.0, 0.1538170217491816)	(23.0, 0.2312906142574689)	(24.0, 0.3389870688835187)	(25.0, 0.4744107960219424)	(26.0, 0.6446793478039408)	(27.0, 0.8546668347353024)	(28.0, 1.1058444952527626)	(29.0, 1.4143475487535437)	(30.0, 1.7915136490515713)	(31.0, 2.2076822015112176)	(32.0, 2.6311827444511064)	(33.0, 3.0729156125323938)	(34.0, 3.4911936530030907)	(35.0, 3.8455054656339076)	(36.0, 4.156725301052869)	(37.0, 4.427178774111003)	(38.0, 4.65373260845892)	(39.0, 4.83222523676639)	(40.0, 4.923793225958968)	(41.0, 4.903845956855545)	(42.0, 4.8154799093104765)	(43.0, 4.673004481187408)	(44.0, 4.508042293591157)	(45.0, 4.3241189155988895)	(46.0, 4.087340705795065)	(47.0, 3.8179076440933963)	(48.0, 3.50645198277352)	(49.0, 3.159926927515403)	(50.0, 2.82278143941421)	(51.0, 2.4846780141212323)	(52.0, 2.1386448725561937)	(53.0, 1.8148958715518568)	(54.0, 1.5114042591531012)	(55.0, 1.2342818097227857)	(56.0, 0.9993429293800373)	(57.0, 0.8030507924414411)	(58.0, 0.6460329547053751)	(59.0, 0.5212979380306266)	(60.0, 0.4135789701920789)	(61.0, 0.31975965974971476)	(62.0, 0.2431927868747791)	(63.0, 0.18430216279254427)	(64.0, 0.1395464591770957)	(65.0, 0.10585149686184955)	(66.0, 0.08032151388926755)	(67.0, 0.06053971689770363)	(68.0, 0.04347188767275767)	(69.0, 0.030495271988986716)	(70.0, 0.021862017826366893)	(71.0, 0.01590445896911865)	(72.0, 0.011623008782336656)	(73.0, 0.00836816108545743)	(74.0, 0.006255858922844992)	(75.0, 0.004683311029868932)	(76.0, 0.0031574780528259476)	(77.0, 0.0021297499022982862)	(78.0, 0.0015438435470412789)	(79.0, 0.0011459225161414668)	(80.0, 0.0009207903911627897)	(81.0, 0.0006483805199385903)	(82.0, 0.0004187457524603396)	(83.0, 0.0002791638349735597)	(84.0, 0.0001907994759194289)	(85.0, 0.00012269700811337906)	(86.0, 6.191133436913622e-05)	(87.0, 2.9830006559674723e-05)	(88.0, 8.442454686700395e-06)	(89.0, 3.939812187126851e-06)	(90.0, 2.251321249786772e-06)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAABA-8035_2	(0.0, 2.9267176247228034e-05)	(1.0, 2.8141515622334648e-05)	(2.0, 3.4332649059248265e-05)	(3.0, 4.3337934058395356e-05)	(4.0, 5.684586155711599e-05)	(5.0, 8.611303780434401e-05)	(6.0, 0.00013226512342497283)	(7.0, 0.00021331268841729665)	(8.0, 0.00027972666528600635)	(9.0, 0.0003652768727779037)	(10.0, 0.000536940118074145)	(11.0, 0.0008031588558614309)	(12.0, 0.0012658053726926125)	(13.0, 0.0020228121429334144)	(14.0, 0.003248093733129865)	(15.0, 0.00536095872605475)	(16.0, 0.008958007252901565)	(17.0, 0.014873353836716306)	(18.0, 0.02470993920734716)	(19.0, 0.0404877613561653)	(20.0, 0.06553596158129293)	(21.0, 0.10313752909523158)	(22.0, 0.15711689587105657)	(23.0, 0.23697126060099336)	(24.0, 0.3485360479644893)	(25.0, 0.4894732608436408)	(26.0, 0.6660657740162903)	(27.0, 0.8829496207660612)	(28.0, 1.1422517368436895)	(29.0, 1.4599413067042253)	(30.0, 1.8466715825016595)	(31.0, 2.2745982230186295)	(32.0, 2.702562010336221)	(33.0, 3.1426243980501667)	(34.0, 3.56056136335152)	(35.0, 3.9123477563703895)	(36.0, 4.218225769293919)	(37.0, 4.481789073667081)	(38.0, 4.701098156233185)	(39.0, 4.868366822449842)	(40.0, 4.944370302182019)	(41.0, 4.907536435214258)	(42.0, 4.804768685634303)	(43.0, 4.650337616014243)	(44.0, 4.472876655669487)	(45.0, 4.273693259415853)	(46.0, 4.023748760112963)	(47.0, 3.747222347983529)	(48.0, 3.432279952878045)	(49.0, 3.087984268487529)	(50.0, 2.7569511175795074)	(51.0, 2.4252149916112393)	(52.0, 2.0874199973294827)	(53.0, 1.7713828972662902)	(54.0, 1.475690987337421)	(55.0, 1.2074539400497015)	(56.0, 0.9775540794942883)	(57.0, 0.7855006176387282)	(58.0, 0.631473660183004)	(59.0, 0.5091317979967789)	(60.0, 0.4035065589205329)	(61.0, 0.3109930148030451)	(62.0, 0.23607523474357822)	(63.0, 0.17872676571744733)	(64.0, 0.13597924065680858)	(65.0, 0.10341669293020515)	(66.0, 0.07876585090566489)	(67.0, 0.059782710127462835)	(68.0, 0.04336326142245545)	(69.0, 0.030825653382392924)	(70.0, 0.02221603809289586)	(71.0, 0.015944419921302366)	(72.0, 0.011710247480765894)	(73.0, 0.008653516053867905)	(74.0, 0.006484930860010795)	(75.0, 0.0049512182585935574)	(76.0, 0.003541891156227039)	(77.0, 0.0023543191969645164)	(78.0, 0.0016929935798396523)	(79.0, 0.0012871929245655868)	(80.0, 0.0009326098277241702)	(81.0, 0.0006647025989995444)	(82.0, 0.00044857575902001426)	(83.0, 0.00028591779872292)	(84.0, 0.0001902366456069822)	(85.0, 0.00011763153530135883)	(86.0, 6.979095874338993e-05)	(87.0, 3.7146800621481736e-05)	(88.0, 1.4633588123614017e-05)	(89.0, 7.3167940618070085e-06)	(90.0, 3.376981874680158e-06)	(91.0, 2.251321249786772e-06)	(92.0, 1.125660624893386e-06)	(93.0, 5.62830312446693e-07)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAACA-8036_1	(0.0, 0.00011079505410378654)	(1.0, 9.455066647202836e-05)	(2.0, 8.288802919794556e-05)	(3.0, 0.00011454375894188456)	(4.0, 0.00016244387631758175)	(5.0, 0.00023158665444250118)	(6.0, 0.0003007294325674206)	(7.0, 0.0003836174617653662)	(8.0, 0.0005323160870099217)	(9.0, 0.000795558471196362)	(10.0, 0.001152934999095042)	(11.0, 0.0016019465341472292)	(12.0, 0.0024349920537245716)	(13.0, 0.0036795620599731215)	(14.0, 0.0054739421091427164)	(15.0, 0.008338785650969197)	(16.0, 0.012387386876115082)	(17.0, 0.018714784120064786)	(18.0, 0.02945482348121567)	(19.0, 0.04682049038232495)	(20.0, 0.07333674579323154)	(21.0, 0.11141567301587166)	(22.0, 0.16511795243542504)	(23.0, 0.24044692658872577)	(24.0, 0.340693958323624)	(25.0, 0.46621184241766067)	(26.0, 0.621242030133764)	(27.0, 0.810543710525279)	(28.0, 1.0393117554522902)	(29.0, 1.3070834081286724)	(30.0, 1.614720870667188)	(31.0, 1.955995045195198)	(32.0, 2.3233052243920778)	(33.0, 2.7122033617060444)	(34.0, 3.1089633661110225)	(35.0, 3.484364916439557)	(36.0, 3.81638937004094)	(37.0, 4.106806532121513)	(38.0, 4.351121289057636)	(39.0, 4.528589557843555)	(40.0, 4.63696419819021)	(41.0, 4.676665481562226)	(42.0, 4.657058505690694)	(43.0, 4.596548578285155)	(44.0, 4.498439141353492)	(45.0, 4.362691041756285)	(46.0, 4.190246453976179)	(47.0, 3.9845733465111692)	(48.0, 3.7356939166505216)	(49.0, 3.436895483597482)	(50.0, 3.107804183270531)	(51.0, 2.766495020830699)	(52.0, 2.43032366663286)	(53.0, 2.1313019773805735)	(54.0, 1.8460376183613463)	(55.0, 1.552265365450676)	(56.0, 1.2679715044617563)	(57.0, 1.031323681965063)	(58.0, 0.8534622156939037)	(59.0, 0.7073052123295784)	(60.0, 0.5770997810968801)	(61.0, 0.44874829266800104)	(62.0, 0.32854482246610806)	(63.0, 0.23625587457973218)	(64.0, 0.17295732729740762)	(65.0, 0.12943986240020683)	(66.0, 0.09666243686415692)	(67.0, 0.06911820328209188)	(68.0, 0.04848491533044048)	(69.0, 0.03384497336938826)	(70.0, 0.02377261999217862)	(71.0, 0.016896245750827446)	(72.0, 0.012081659170430196)	(73.0, 0.008528720029432831)	(74.0, 0.006056240927327279)	(75.0, 0.004561340742445738)	(76.0, 0.0028106955830539534)	(77.0, 0.0012974683967417106)	(78.0, 0.0007559888090164382)	(79.0, 0.0004427636936553575)	(80.0, 0.00029448159117059054)	(81.0, 0.00019701526538004147)	(82.0, 0.00012578987345617868)	(83.0, 9.413414371223969e-05)	(84.0, 5.9146231889991305e-05)	(85.0, 3.082268422436167e-05)	(86.0, 1.6244387631758176e-05)	(87.0, 9.996546234928107e-06)	(88.0, 6.664364156618739e-06)	(89.0, 4.581750357675383e-06)	(90.0, 1.6660910391546848e-06)	(91.0, 4.165227597886712e-07)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAACA-8036_2	(0.0, 8.913588024782757e-05)	(1.0, 7.372453646666112e-05)	(2.0, 6.12288523197694e-05)	(3.0, 7.580715049114307e-05)	(4.0, 0.00010288113280940846)	(5.0, 0.00014828211854311504)	(6.0, 0.00020326312878943858)	(7.0, 0.0002732389600120322)	(8.0, 0.0004219376013600436)	(9.0, 0.0006497755756383692)	(10.0, 0.0009171832163818518)	(11.0, 0.0012970520144473601)	(12.0, 0.002022218217771976)	(13.0, 0.0031160071034298975)	(14.0, 0.004732115586427893)	(15.0, 0.007359541439714325)	(16.0, 0.011404810920868069)	(17.0, 0.01775511760431844)	(18.0, 0.028427264911373755)	(19.0, 0.046232365252279764)	(20.0, 0.07327385879176322)	(21.0, 0.11173515807309103)	(22.0, 0.16612762159609598)	(23.0, 0.2431318586285113)	(24.0, 0.3463612045028131)	(25.0, 0.47594852999376347)	(26.0, 0.6350294187766223)	(27.0, 0.8287179378499074)	(28.0, 1.063471440257928)	(29.0, 1.3373876663507216)	(30.0, 1.6498818181102142)	(31.0, 1.9970664881983073)	(32.0, 2.3698839716997244)	(33.0, 2.763842070163658)	(34.0, 3.1649810217840053)	(35.0, 3.54092284284495)	(36.0, 3.870865134901553)	(37.0, 4.157577774606374)	(38.0, 4.396380711723596)	(39.0, 4.566597754218165)	(40.0, 4.6627745359599615)	(41.0, 4.685403803427177)	(42.0, 4.650416304338685)	(43.0, 4.578207494359042)	(44.0, 4.467554462533071)	(45.0, 4.318753356575056)	(46.0, 4.138617656527489)	(47.0, 3.9285752025655576)	(48.0, 3.67780973049171)	(49.0, 3.3799167856578602)	(50.0, 3.0566663489847232)	(51.0, 2.7245477252725374)	(52.0, 2.3963798203647935)	(53.0, 2.1006561262988446)	(54.0, 1.8189001079722913)	(55.0, 1.5323453304105261)	(56.0, 1.2530996950290831)	(57.0, 1.0187677136996178)	(58.0, 0.8428022399746741)	(59.0, 0.6981880212514766)	(60.0, 0.5672628245111991)	(61.0, 0.4397243746975341)	(62.0, 0.32136108923012685)	(63.0, 0.2305374585768591)	(64.0, 0.16973929083735256)	(65.0, 0.12800620492356363)	(66.0, 0.09587438618544138)	(67.0, 0.06895951557864641)	(68.0, 0.04884229714776055)	(69.0, 0.034351885288220016)	(70.0, 0.024103758196549224)	(71.0, 0.017146577786364813)	(72.0, 0.012405715221034093)	(73.0, 0.008859440060146226)	(74.0, 0.00636530150442664)	(75.0, 0.004783764414235045)	(76.0, 0.002981053714643467)	(77.0, 0.0014632446136010199)	(78.0, 0.0008717822306481453)	(79.0, 0.0005135726184372496)	(80.0, 0.00031489124050167124)	(81.0, 0.00020326312878943858)	(82.0, 0.00014411689049415112)	(83.0, 0.00010954549768775072)	(84.0, 7.205844524707556e-05)	(85.0, 3.3738347196607627e-05)	(86.0, 1.582786658606284e-05)	(87.0, 8.7469789028242e-06)	(88.0, 5.414796463653077e-06)	(89.0, 4.165228048963905e-06)	(90.0, 2.0826140244819527e-06)	(91.0, 8.330456097927811e-07)	(92.0, 8.330456097927811e-07)	(93.0, 8.330456097927811e-07)	(94.0, 4.1652280489639054e-07)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAADA-8038_1	(0.0, 4.995434131575122e-05)	(1.0, 4.121233158549476e-05)	(2.0, 3.163774949997578e-05)	(3.0, 4.121233158549476e-05)	(4.0, 5.703120633548265e-05)	(5.0, 5.7447492513113904e-05)	(6.0, 6.577321606573911e-05)	(7.0, 9.699467938808363e-05)	(8.0, 0.00013321157684200328)	(9.0, 0.00017442390842749801)	(10.0, 0.00021938281561167413)	(11.0, 0.00031346349175633893)	(12.0, 0.00046582423276938015)	(13.0, 0.0007031073540191985)	(14.0, 0.0011302169722688714)	(15.0, 0.001878283233472246)	(16.0, 0.003135051203741021)	(17.0, 0.0054849866764694844)	(18.0, 0.009792299756420134)	(19.0, 0.01746154000692084)	(20.0, 0.030234032509003167)	(21.0, 0.049905635832968365)	(22.0, 0.07945987301389969)	(23.0, 0.12306293611753077)	(24.0, 0.18478901796433878)	(25.0, 0.2691327604142084)	(26.0, 0.3801258950974984)	(27.0, 0.5197536907953323)	(28.0, 0.6947133595334417)	(29.0, 0.9111064078173682)	(30.0, 1.1697874711697884)	(31.0, 1.4710367101882487)	(32.0, 1.816268249018162)	(33.0, 2.1943905587427213)	(34.0, 2.5957058365678285)	(35.0, 2.9962164332115746)	(36.0, 3.3647778982944763)	(37.0, 3.7032680987638287)	(38.0, 4.009836226273884)	(39.0, 4.261048283027244)	(40.0, 4.44602421348534)	(41.0, 4.566263896746174)	(42.0, 4.631956769579631)	(43.0, 4.654882065667962)	(44.0, 4.633553643357025)	(45.0, 4.571151929043921)	(46.0, 4.4710425964748)	(47.0, 4.337566677910002)	(48.0, 4.149905701606184)	(49.0, 3.8919015195785924)	(50.0, 3.588298182225628)	(51.0, 3.257916820210354)	(52.0, 2.9200668678821984)	(53.0, 2.603178589742487)	(54.0, 2.291368170397522)	(55.0, 1.9646118284170615)	(56.0, 1.633279252485901)	(57.0, 1.3490515389846052)	(58.0, 1.131317216636351)	(59.0, 0.9484060656193067)	(60.0, 0.783909749955959)	(61.0, 0.6174647986951194)	(62.0, 0.45590246801171674)	(63.0, 0.3298576740038133)	(64.0, 0.2442646567348722)	(65.0, 0.18430029799179967)	(66.0, 0.13870697067291354)	(67.0, 0.10011474428942993)	(68.0, 0.07087563574496547)	(69.0, 0.050000549081468296)	(70.0, 0.03514662569122967)	(71.0, 0.025003812973244013)	(72.0, 0.0181987828275058)	(73.0, 0.012926102101628261)	(74.0, 0.009208250249203477)	(75.0, 0.006847075049678968)	(76.0, 0.004207404397319147)	(77.0, 0.0021193129303207457)	(78.0, 0.0012151393525056486)	(79.0, 0.0007334962449862805)	(80.0, 0.00045666593686149244)	(81.0, 0.00029556318611819474)	(82.0, 0.00019856850673011115)	(83.0, 0.00014611644834857233)	(84.0, 9.53295346775586e-05)	(85.0, 5.370091691443256e-05)	(86.0, 2.206316741445679e-05)	(87.0, 1.2488585328937805e-05)	(88.0, 1.0823440618412766e-05)	(89.0, 5.411720309206383e-06)	(90.0, 2.081430888156301e-06)	(91.0, 8.325723552625205e-07)	(92.0, 4.1628617763126023e-07)	(93.0, 4.1628617763126023e-07)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
E250168591_L01_B5GANIdazlRAADA-8038_2	(0.0, 3.496804154123408e-05)	(1.0, 2.45608863206287e-05)	(2.0, 1.581887593532018e-05)	(3.0, 2.4144600111804486e-05)	(4.0, 3.2886610497113e-05)	(5.0, 4.3293765717718385e-05)	(6.0, 5.078691747655426e-05)	(7.0, 6.119407269715964e-05)	(8.0, 7.243380033541345e-05)	(9.0, 9.865983149133902e-05)	(10.0, 0.0001357093040766942)	(11.0, 0.00017026105940910405)	(12.0, 0.0002543508735915955)	(13.0, 0.000415869922615391)	(14.0, 0.0007168448515952986)	(15.0, 0.0013375275889522037)	(16.0, 0.002436939466456956)	(17.0, 0.004566243424592818)	(18.0, 0.008520962408422861)	(19.0, 0.015667347755308165)	(20.0, 0.027680535169557367)	(21.0, 0.046123679365305405)	(22.0, 0.07412975035016331)	(23.0, 0.11651351441539196)	(24.0, 0.17697200938155921)	(25.0, 0.2604186613714173)	(26.0, 0.370337369666616)	(27.0, 0.508131018790893)	(28.0, 0.6820033610615472)	(29.0, 0.8989067924521514)	(30.0, 1.1604644128909118)	(31.0, 1.4641585233868593)	(32.0, 1.8102072579134174)	(33.0, 2.1919221459534084)	(34.0, 2.5990983473837144)	(35.0, 3.0032881115519157)	(36.0, 3.376599429894372)	(37.0, 3.7179441302612166)	(38.0, 4.025798605128153)	(39.0, 4.281850840455213)	(40.0, 4.467549041346146)	(41.0, 4.579923421987198)	(42.0, 4.637258937814766)	(43.0, 4.658839214880214)	(44.0, 4.637741413530794)	(45.0, 4.573171675966278)	(46.0, 4.472278052678389)	(47.0, 4.3385452755211915)	(48.0, 4.146406294407331)	(49.0, 3.879593476868374)	(50.0, 3.5726069587468356)	(51.0, 3.242047817764418)	(52.0, 2.9070710475339574)	(53.0, 2.5985201258396575)	(54.0, 2.2908250885907004)	(55.0, 1.9676113177629857)	(56.0, 1.6371233617222765)	(57.0, 1.3517487584180565)	(58.0, 1.1341484639138804)	(59.0, 0.9519320808735536)	(60.0, 0.7869699286165731)	(61.0, 0.6196582569969885)	(62.0, 0.4584414317607994)	(63.0, 0.33177219899493193)	(64.0, 0.24705087863365408)	(65.0, 0.18799984733952152)	(66.0, 0.14215799373759008)	(67.0, 0.10295507259398726)	(68.0, 0.07345245268840632)	(69.0, 0.05214817337940945)	(70.0, 0.03687671380869311)	(71.0, 0.026451241994899465)	(72.0, 0.019316512661861237)	(73.0, 0.0140571526995761)	(74.0, 0.010082451977722492)	(75.0, 0.0073670170375621374)	(76.0, 0.004711111025263644)	(77.0, 0.0025172827047600294)	(78.0, 0.0014624134515994682)	(79.0, 0.0008571333039690593)	(80.0, 0.0005216066196567417)	(81.0, 0.0003550921361270556)	(82.0, 0.0002426948597445175)	(83.0, 0.00016484933869438925)	(84.0, 0.00010199012116193275)	(85.0, 6.28592175324565e-05)	(86.0, 3.413546912358565e-05)	(87.0, 1.748402077061704e-05)	(88.0, 9.990869011781168e-06)	(89.0, 5.828006923539013e-06)	(90.0, 3.746575879417937e-06)	(91.0, 1.248858626472646e-06)	(92.0, 1.248858626472646e-06)	(93.0, 8.325724176484305e-07)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
