Sample,Method,Total_bases,Mean_depth,Percent_5x,Percent_8x,Percent_10x,Percent_12x,Percent_15x
8036,lowinput,2689890110,13.2943,76.4254,67.7381,60.625,52.6078,39.8086
8036,lowinput_P100,2690048800,13.2867,80.2296,71.2447,62.9218,53.7506,36.5478
8036,normalinput,2689875309,13.3106,76.6899,68.4258,61.4846,53.3896,40.0901
