Sample	Method	Level	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Min_depth	Max_depth
8038	lowinput	Genome-wide	NA	Genome-wide	13.3342	24.6869	1.8514	0	12278
8038	lowinput	Chromosome	1	NC_060173.1	14.83	12.698	0.856233	0	2489
8038	lowinput	Chromosome	2	NC_060174.1	14.8945	13.2256	0.887951	0	3937
8038	lowinput	Chromosome	3	NC_060175.1	15.1946	22.54	1.48342	0	7047
8038	lowinput	Chromosome	4	NC_060176.1	15.0488	16.4076	1.09029	0	2296
8038	lowinput	Chromosome	5	NC_060177.1	14.1325	14.2416	1.00772	0	5004
8038	lowinput	Chromosome	6	NC_060178.1	14.1977	11.1785	0.787341	0	1708
8038	lowinput	Chromosome	7	NC_060179.1	13.9635	28.5888	2.0474	0	7410
8038	lowinput	Chromosome	8	NC_060180.1	14.4274	20.4749	1.41917	0	7726
8038	lowinput	Chromosome	9	NC_060181.1	13.9279	40.8421	2.93238	0	12278
8038	lowinput	Chromosome	10	NC_060182.1	13.6797	20.2967	1.48371	0	7252
8038	lowinput	Chromosome	11	NC_060183.1	14.0623	19.5566	1.39072	0	3889
8038	lowinput	Chromosome	12	NC_060184.1	13.7366	16.1895	1.17857	0	3786
8038	lowinput	Chromosome	13	NC_060185.1	13.1445	10.9717	0.8347	0	1919
8038	lowinput	Chromosome	14	NC_060186.1	13.5851	18.7213	1.37808	0	10163
8038	lowinput	Chromosome	15	NC_060187.1	13.774	16.4316	1.19295	0	2321
8038	lowinput	Chromosome	16	NC_060188.1	14.6224	20.9969	1.43594	0	4259
8038	lowinput	Chromosome	17	NC_060189.1	14.1544	19.9328	1.40824	0	5493
8038	lowinput	Chromosome	18	NC_060190.1	14.933	30.7257	2.05757	0	5542
8038	lowinput	Chromosome	19	NC_060191.1	13.0403	11.2064	0.859367	0	3265
8038	lowinput	Chromosome	20	NC_060192.1	13.0442	9.45058	0.724507	0	1369
8038	lowinput	Chromosome	21	NC_060193.1	13.217	16.2897	1.23248	0	3138
8038	lowinput	Chromosome	22	NC_060194.1	14.0847	22.9596	1.63011	0	7649
8038	lowinput	Chromosome	23	NC_060195.1	13.0793	24.2688	1.85551	0	7737
8038	lowinput	Chromosome	24	NC_060196.1	13.3889	11.55	0.862656	0	1297
8038	lowinput	Chromosome	25	NC_060197.1	13.5897	18.7116	1.3769	0	3169
8038	lowinput	Chromosome	26	NC_060198.1	15.063	29.8166	1.97946	0	5245
8038	lowinput	Chromosome	27	NC_060199.1	16.6529	22.8968	1.37494	0	1050
