Sample	Method	Level	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Min_depth	Max_depth
8035	lowinput	Genome-wide	NA	Genome-wide	7.96056	119.986	15.0725	0	196344
8035	lowinput	Chromosome	1	NC_060173.1	8.34003	91.4955	10.9706	0	73730
8035	lowinput	Chromosome	2	NC_060174.1	8.98882	105.056	11.6874	0	90799
8035	lowinput	Chromosome	3	NC_060175.1	8.55051	75.603	8.84193	0	65388
8035	lowinput	Chromosome	4	NC_060176.1	9.03534	55.4632	6.13847	0	27546
8035	lowinput	Chromosome	5	NC_060177.1	8.57839	105.645	12.3152	0	68252
8035	lowinput	Chromosome	6	NC_060178.1	8.18123	73.1109	8.93642	0	51116
8035	lowinput	Chromosome	7	NC_060179.1	8.12805	201.716	24.8173	0	196344
8035	lowinput	Chromosome	8	NC_060180.1	9.07495	128.952	14.2096	0	138573
8035	lowinput	Chromosome	9	NC_060181.1	7.96475	62.6241	7.86265	0	33103
8035	lowinput	Chromosome	10	NC_060182.1	8.70844	107.524	12.3471	0	62619
8035	lowinput	Chromosome	11	NC_060183.1	8.82656	159.262	18.0435	0	155891
8035	lowinput	Chromosome	12	NC_060184.1	8.37361	100.07	11.9507	0	71018
8035	lowinput	Chromosome	13	NC_060185.1	7.86573	81.6542	10.381	0	53351
8035	lowinput	Chromosome	14	NC_060186.1	8.51138	220.35	25.8888	0	156462
8035	lowinput	Chromosome	15	NC_060187.1	9.33884	89.8426	9.62031	0	76729
8035	lowinput	Chromosome	16	NC_060188.1	9.06361	145.419	16.0443	0	149188
8035	lowinput	Chromosome	17	NC_060189.1	8.89281	56.4342	6.34605	0	17235
8035	lowinput	Chromosome	18	NC_060190.1	8.46174	57.6114	6.80846	0	21354
8035	lowinput	Chromosome	19	NC_060191.1	8.06343	51.911	6.43783	0	31252
8035	lowinput	Chromosome	20	NC_060192.1	8.276	88.4039	10.682	0	29865
8035	lowinput	Chromosome	21	NC_060193.1	9.10577	224.327	24.6357	0	122830
8035	lowinput	Chromosome	22	NC_060194.1	8.70297	116.42	13.377	0	130515
8035	lowinput	Chromosome	23	NC_060195.1	7.91244	150.319	18.9979	0	167745
8035	lowinput	Chromosome	24	NC_060196.1	8.39215	125.21	14.9199	0	107469
8035	lowinput	Chromosome	25	NC_060197.1	8.68386	133.362	15.3574	0	136810
8035	lowinput	Chromosome	26	NC_060198.1	10.2126	91.5828	8.96763	0	53055
8035	lowinput	Chromosome	27	NC_060199.1	8.04597	64.9798	8.07608	0	5944
