Sample	Method	Level	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Min_depth	Max_depth
8034	lowinput_P100	Genome-wide	NA	Genome-wide	10.272	18.2932	1.78089	0	10092
8034	lowinput_P100	Chromosome	1	NC_060173.1	11.2295	9.76469	0.869558	0	2750
8034	lowinput_P100	Chromosome	2	NC_060174.1	11.2181	9.81621	0.875032	0	2882
8034	lowinput_P100	Chromosome	3	NC_060175.1	11.6038	17.5203	1.50988	0	4077
8034	lowinput_P100	Chromosome	4	NC_060176.1	11.435	11.9194	1.04236	0	2439
8034	lowinput_P100	Chromosome	5	NC_060177.1	10.8497	14.7526	1.35972	0	4977
8034	lowinput_P100	Chromosome	6	NC_060178.1	10.7162	8.38266	0.78224	0	1953
8034	lowinput_P100	Chromosome	7	NC_060179.1	10.6891	22.5384	2.10854	0	6607
8034	lowinput_P100	Chromosome	8	NC_060180.1	10.9765	15.1769	1.38267	0	6472
8034	lowinput_P100	Chromosome	9	NC_060181.1	10.5174	22.2694	2.11737	0	9668
8034	lowinput_P100	Chromosome	10	NC_060182.1	10.5265	18.0758	1.71717	0	7870
8034	lowinput_P100	Chromosome	11	NC_060183.1	10.6983	13.9242	1.30154	0	1786
8034	lowinput_P100	Chromosome	12	NC_060184.1	10.6412	14.5359	1.366	0	3429
8034	lowinput_P100	Chromosome	13	NC_060185.1	10.0948	8.71946	0.863755	0	1273
8034	lowinput_P100	Chromosome	14	NC_060186.1	10.4455	14.6425	1.4018	0	8575
8034	lowinput_P100	Chromosome	15	NC_060187.1	10.5929	13.3887	1.26393	0	2948
8034	lowinput_P100	Chromosome	16	NC_060188.1	11.0933	15.6988	1.41515	0	3573
8034	lowinput_P100	Chromosome	17	NC_060189.1	11.0277	26.1492	2.37124	0	5891
8034	lowinput_P100	Chromosome	18	NC_060190.1	11.1464	24.4792	2.19615	0	10092
8034	lowinput_P100	Chromosome	19	NC_060191.1	10.0506	8.475	0.843233	0	1923
8034	lowinput_P100	Chromosome	20	NC_060192.1	10.0047	8.06248	0.805869	0	1849
8034	lowinput_P100	Chromosome	21	NC_060193.1	10.1966	11.2781	1.10606	0	2978
8034	lowinput_P100	Chromosome	22	NC_060194.1	10.6024	14.0736	1.32739	0	2671
8034	lowinput_P100	Chromosome	23	NC_060195.1	10.1869	19.8494	1.94853	0	8725
8034	lowinput_P100	Chromosome	24	NC_060196.1	10.3373	10.555	1.02106	0	1909
8034	lowinput_P100	Chromosome	25	NC_060197.1	10.5507	15.8458	1.50187	0	2998
8034	lowinput_P100	Chromosome	26	NC_060198.1	11.5237	20.8088	1.80573	0	4077
8034	lowinput_P100	Chromosome	27	NC_060199.1	14.2566	17.763	1.24595	0	701
