Sample	Method	Level	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Min_depth	Max_depth
8034	lowinput	Genome-wide	NA	Genome-wide	13.3031	25.1993	1.89424	0	12016
8034	lowinput	Chromosome	1	NC_060173.1	14.5304	12.7913	0.880314	0	4207
8034	lowinput	Chromosome	2	NC_060174.1	14.6214	13.5864	0.929212	0	4276
8034	lowinput	Chromosome	3	NC_060175.1	14.9856	23.7009	1.58157	0	5372
8034	lowinput	Chromosome	4	NC_060176.1	14.8459	16.4445	1.10768	0	2795
8034	lowinput	Chromosome	5	NC_060177.1	13.9808	20.4388	1.46192	0	7015
8034	lowinput	Chromosome	6	NC_060178.1	14.0725	11.3623	0.807409	0	2310
8034	lowinput	Chromosome	7	NC_060179.1	13.9139	30.3855	2.18382	0	8543
8034	lowinput	Chromosome	8	NC_060180.1	14.5676	21.5995	1.48271	0	8373
8034	lowinput	Chromosome	9	NC_060181.1	13.7325	33.7359	2.45665	0	11027
8034	lowinput	Chromosome	10	NC_060182.1	13.802	25.4035	1.84058	0	9223
8034	lowinput	Chromosome	11	NC_060183.1	14.1016	19.0617	1.35174	0	2425
8034	lowinput	Chromosome	12	NC_060184.1	13.7343	15.85	1.15405	0	3816
8034	lowinput	Chromosome	13	NC_060185.1	13.0456	11.6549	0.893398	0	1153
8034	lowinput	Chromosome	14	NC_060186.1	13.5595	20.9227	1.54303	0	12016
8034	lowinput	Chromosome	15	NC_060187.1	13.8207	18.0954	1.30929	0	3613
8034	lowinput	Chromosome	16	NC_060188.1	14.6847	22.3346	1.52094	0	4642
8034	lowinput	Chromosome	17	NC_060189.1	14.5886	35.3898	2.42584	0	7698
8034	lowinput	Chromosome	18	NC_060190.1	14.7551	31.0694	2.10568	0	10340
8034	lowinput	Chromosome	19	NC_060191.1	12.9347	10.8102	0.835752	0	1814
8034	lowinput	Chromosome	20	NC_060192.1	13.1032	10.9968	0.83925	0	2434
8034	lowinput	Chromosome	21	NC_060193.1	13.2468	15.5224	1.17179	0	3809
8034	lowinput	Chromosome	22	NC_060194.1	14.0765	20.6276	1.4654	0	4745
8034	lowinput	Chromosome	23	NC_060195.1	13.161	26.4383	2.00884	0	7135
8034	lowinput	Chromosome	24	NC_060196.1	13.4837	14.357	1.06477	0	2327
8034	lowinput	Chromosome	25	NC_060197.1	13.6127	20.865	1.53276	0	3537
8034	lowinput	Chromosome	26	NC_060198.1	15.2724	30.193	1.97696	0	4783
8034	lowinput	Chromosome	27	NC_060199.1	19.1418	25.8815	1.3521	0	1032
