Sample	Method	Level	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Min_depth	Max_depth
8038	lowinput_P100	Genome-wide	NA	Genome-wide	13.3235	22.9078	1.71936	0	14451
8038	lowinput_P100	Chromosome	1	NC_060173.1	14.8266	12.5163	0.844176	0	2722
8038	lowinput_P100	Chromosome	2	NC_060174.1	14.7867	12.4037	0.838842	0	2945
8038	lowinput_P100	Chromosome	3	NC_060175.1	15.3035	21.0288	1.37411	0	7207
8038	lowinput_P100	Chromosome	4	NC_060176.1	15.0515	15.3326	1.01868	0	3280
8038	lowinput_P100	Chromosome	5	NC_060177.1	14.2054	14.5002	1.02075	0	4750
8038	lowinput_P100	Chromosome	6	NC_060178.1	13.932	10.3486	0.742794	0	1804
8038	lowinput_P100	Chromosome	7	NC_060179.1	13.8382	27.1951	1.96522	0	7432
8038	lowinput_P100	Chromosome	8	NC_060180.1	14.026	17.7894	1.26831	0	7459
8038	lowinput_P100	Chromosome	9	NC_060181.1	13.7732	35.0949	2.54805	0	13403
8038	lowinput_P100	Chromosome	10	NC_060182.1	13.5148	19.0317	1.40821	0	8711
8038	lowinput_P100	Chromosome	11	NC_060183.1	13.8414	18.0532	1.30428	0	3503
8038	lowinput_P100	Chromosome	12	NC_060184.1	13.6571	16.2977	1.19335	0	3595
8038	lowinput_P100	Chromosome	13	NC_060185.1	13.1413	10.2222	0.777869	0	2437
8038	lowinput_P100	Chromosome	14	NC_060186.1	13.5422	17.0956	1.2624	0	9581
8038	lowinput_P100	Chromosome	15	NC_060187.1	13.6825	15.1471	1.10704	0	2543
8038	lowinput_P100	Chromosome	16	NC_060188.1	14.2564	18.5761	1.303	0	3790
8038	lowinput_P100	Chromosome	17	NC_060189.1	13.8866	19.7832	1.42463	0	5641
8038	lowinput_P100	Chromosome	18	NC_060190.1	14.6433	29.7499	2.03163	0	8908
8038	lowinput_P100	Chromosome	19	NC_060191.1	13.1392	10.5132	0.800137	0	4211
8038	lowinput_P100	Chromosome	20	NC_060192.1	12.8633	8.66385	0.673534	0	1040
8038	lowinput_P100	Chromosome	21	NC_060193.1	13.1283	14.2493	1.08539	0	2906
8038	lowinput_P100	Chromosome	22	NC_060194.1	13.6727	18.6552	1.36441	0	3762
8038	lowinput_P100	Chromosome	23	NC_060195.1	13.1264	22.7649	1.73428	0	8832
8038	lowinput_P100	Chromosome	24	NC_060196.1	13.2944	10.6287	0.79949	0	1613
8038	lowinput_P100	Chromosome	25	NC_060197.1	13.6456	18.1548	1.33045	0	2889
8038	lowinput_P100	Chromosome	26	NC_060198.1	14.7568	26.0276	1.76377	0	4279
8038	lowinput_P100	Chromosome	27	NC_060199.1	15.9982	21.2251	1.32672	0	1097
