Sample	Method	Level	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Min_depth	Max_depth
8167	normalinput	Genome-wide	NA	Genome-wide	13.3106	26.2495	1.97207	0	11967
8167	normalinput	Chromosome	1	NC_060173.1	14.4688	11.9194	0.823802	0	3002
8167	normalinput	Chromosome	2	NC_060174.1	14.6088	15.1926	1.03996	0	6539
8167	normalinput	Chromosome	3	NC_060175.1	15.0717	25.8477	1.71498	0	10468
8167	normalinput	Chromosome	4	NC_060176.1	14.9029	16.3314	1.09585	0	3203
8167	normalinput	Chromosome	5	NC_060177.1	13.9576	15.7711	1.12993	0	2486
8167	normalinput	Chromosome	6	NC_060178.1	13.8662	10.7289	0.773743	0	2250
8167	normalinput	Chromosome	7	NC_060179.1	13.7981	30.9172	2.24069	0	7066
8167	normalinput	Chromosome	8	NC_060180.1	14.4171	18.9601	1.31511	0	7261
8167	normalinput	Chromosome	9	NC_060181.1	13.8017	42.2453	3.06086	0	11967
8167	normalinput	Chromosome	10	NC_060182.1	13.7637	22.0798	1.6042	0	8112
8167	normalinput	Chromosome	11	NC_060183.1	14.1097	18.9725	1.34464	0	2294
8167	normalinput	Chromosome	12	NC_060184.1	13.6794	17.3906	1.2713	0	4924
8167	normalinput	Chromosome	13	NC_060185.1	12.9583	11.1867	0.863282	0	1183
8167	normalinput	Chromosome	14	NC_060186.1	13.5098	21.1615	1.56638	0	11146
8167	normalinput	Chromosome	15	NC_060187.1	13.9969	19.5257	1.39501	0	3930
8167	normalinput	Chromosome	16	NC_060188.1	14.6628	22.6636	1.54565	0	5149
8167	normalinput	Chromosome	17	NC_060189.1	14.5799	27.6876	1.89902	0	7754
8167	normalinput	Chromosome	18	NC_060190.1	14.8512	30.2231	2.03507	0	6423
8167	normalinput	Chromosome	19	NC_060191.1	13.1392	11.2314	0.854798	0	2816
8167	normalinput	Chromosome	20	NC_060192.1	13.0521	10.4054	0.797224	0	2168
8167	normalinput	Chromosome	21	NC_060193.1	13.2717	18.2419	1.3745	0	4282
8167	normalinput	Chromosome	22	NC_060194.1	14.1283	25.75	1.82258	0	10591
8167	normalinput	Chromosome	23	NC_060195.1	13.0707	30.5042	2.33378	0	8894
8167	normalinput	Chromosome	24	NC_060196.1	13.5605	12.6066	0.929656	0	1960
8167	normalinput	Chromosome	25	NC_060197.1	13.6837	20.804	1.52035	0	3770
8167	normalinput	Chromosome	26	NC_060198.1	15.5067	32.4631	2.09348	0	5657
8167	normalinput	Chromosome	27	NC_060199.1	14.1825	33.0003	2.32684	0	3284
