Sample	Method	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Q25_depth	Median_depth	Q75_depth	Min_depth	Max_depth
8035	lowinput	1	NC_060173.1	8.340027946586416	3.6999409370980554	0.44363651546424926	6.25689	8.17039	9.93224	0.28586	48.3268
8035	lowinput	2	NC_060174.1	8.988820975005234	4.835526482840202	0.5379489141330225	6.82189	8.65754	10.4796	0.10112	84.1429
8035	lowinput	3	NC_060175.1	8.55051046320676	3.9281649591777725	0.4594070700317656	6.31768	8.36176	10.1418	0	49.4723
8035	lowinput	4	NC_060176.1	9.035340906336954	3.829760776493404	0.4238645576513216	6.95319	9.05187	10.5	0.0368364	36.7662
8035	lowinput	5	NC_060177.1	8.578394727989725	5.7922159395696005	0.675209770969231	5.91075	7.99176	9.94308	0.33106	87.7666
8035	lowinput	6	NC_060178.1	8.181229467964432	4.024379670458098	0.49190402080965	6.18738	8.0875	9.63208	0.03865	61.0652
8035	lowinput	7	NC_060179.1	8.128048544088424	7.037338816291256	0.8658091518670312	5.19384	7.95556	10.0166	0.55399	174.029
8035	lowinput	8	NC_060180.1	9.07495097556833	5.035907997123229	0.5549239891962997	7.01747	8.98327	10.4777	0.58849	103.243
8035	lowinput	9	NC_060181.1	7.964755269578924	6.710463375711104	0.8425197195124702	5.25483	7.72431	9.68964	0.0950533	180.81
8035	lowinput	10	NC_060182.1	8.708442568520546	5.4103825504710095	0.6212801551942904	5.81343	8.39759	10.2859	0.00408	66.3261
8035	lowinput	11	NC_060183.1	8.826556184129485	7.046324671779731	0.7983096153003949	6.27524	8.4987	10.3137	0.73443	170.714
8035	lowinput	12	NC_060184.1	8.3736143495792	4.908053287635974	0.5861331896521625	5.88098	8.05373	9.89002	0.31379	89.2712
8035	lowinput	13	NC_060185.1	7.8657296954934015	4.238392712543937	0.5388429143417279	5.37364	7.65285	9.69318	0.20105	59.4978
8035	lowinput	14	NC_060186.1	8.511385276434758	8.233450040532981	0.9673454758685065	5.29404	7.70883	9.60058	0.487339	165.341
8035	lowinput	15	NC_060187.1	9.338845426567005	4.7226123430809155	0.5056955252354964	6.83924	8.82153	10.6623	0.54208	55.0934
8035	lowinput	16	NC_060188.1	9.063605250144771	6.199978882343958	0.6840521747397291	6.87364	8.74174	10.6287	0.56808	142.928
8035	lowinput	17	NC_060189.1	8.89280517116857	3.522159448972649	0.3960684374815574	6.89755	8.69284	10.4449	1.11698	38.924
8035	lowinput	18	NC_060190.1	8.461737675985447	3.9682215650474366	0.4689605985197717	5.99734	8.44599	10.2694	0.28681	49.2804
8035	lowinput	19	NC_060191.1	8.063432634062456	3.3970718083155935	0.42129350643611774	5.65853	8.14604	10.185	1.03037	31.2853
8035	lowinput	20	NC_060192.1	8.276002456282903	7.017418248600342	0.8479236546471685	6.00669	7.83151	9.62287	1.28022	136.421
8035	lowinput	21	NC_060193.1	9.105764754151295	13.267296310632053	1.45702164165657	5.68647	7.53961	9.75182	1.32357	272.803
8035	lowinput	22	NC_060194.1	8.702973545767973	4.690470269713029	0.5389503076214545	6.25208	8.23837	10.232	0.093068	52.3473
8035	lowinput	23	NC_060195.1	7.912441300280739	5.566415508486329	0.7035016497738603	5.37291	7.21119	9.31811	0.31857	81.6918
8035	lowinput	24	NC_060196.1	8.392146535272255	5.1186999300162945	0.6099392936601333	5.97268	7.81473	9.89329	0.52453	89.3488
8035	lowinput	25	NC_060197.1	8.68385536567331	5.0294677418318665	0.5791745175435569	6.05956	8.30162	10.0537	0.08911	50.7492
8035	lowinput	26	NC_060198.1	10.212594654964601	5.643628148071635	0.5526145253721712	7.39721	8.97053	11.125	2.50755	51.0484
8035	lowinput	27	NC_060199.1	8.045961410866994	4.327385652648535	0.5378332596529614	5.94531	7.51845	9.21559	0.04482	24.2335
