Sample	Method	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Q25_depth	Median_depth	Q75_depth	Min_depth	Max_depth
8038	lowinput_P100	1	NC_060173.1	14.826601791019534	3.0547444797300685	0.20603132955120745	13.8606	14.8938	15.7682	3.63965	56.5611
8038	lowinput_P100	2	NC_060174.1	14.786714300354587	2.5413990308074754	0.17187043579698652	14.1351	14.8526	15.7437	2.70654	42.4705
8038	lowinput_P100	3	NC_060175.1	15.303542701443106	7.363282749422341	0.48114890081810874	13.7772	14.8605	15.8233	0	157.337
8038	lowinput_P100	4	NC_060176.1	15.051504222361398	6.0440936798768465	0.4015607736333347	13.6807	14.798400000000001	15.6851	0	131.684
8038	lowinput_P100	5	NC_060177.1	14.205382938462568	4.353898311630724	0.30649637045982664	12.7749	14.515	15.3553	3.40596	108.212
8038	lowinput_P100	6	NC_060178.1	13.932031579513973	2.532713649493983	0.1817906911163015	13.4228	14.308	14.8288	3.40452	59.3305
8038	lowinput_P100	7	NC_060179.1	13.838184750610116	8.062502033003293	0.5826271420930279	12.4624	13.9263	14.4918	3.96146	222.472
8038	lowinput_P100	8	NC_060180.1	14.025989266156778	5.023029049976413	0.35812297832684425	13.3672	14.1245	14.6047	2.72225	106.476
8038	lowinput_P100	9	NC_060181.1	13.773230772551802	9.53036761877642	0.6919485904330567	12.154	13.7417	14.4371	3.26343	197.012
8038	lowinput_P100	10	NC_060182.1	13.514755432898015	5.134122805681882	0.37989017494051347	12.3469	13.82	14.4527	3.32071	109.238
8038	lowinput_P100	11	NC_060183.1	13.841433717059504	8.160629360675193	0.5895797738508298	12.6159	13.8173	14.4407	3.68103	149.731
8038	lowinput_P100	12	NC_060184.1	13.657075821317683	4.965066227653257	0.363552658901048	12.5548	13.7281	14.4274	3.90883	95.7545
8038	lowinput_P100	13	NC_060185.1	13.141306955975157	2.755867936996821	0.20971033902710634	12.2077	13.6073	14.3724	2.64686	59.6287
8038	lowinput_P100	14	NC_060186.1	13.542174216599404	5.340198559360449	0.39433834434168386	12.219	13.7795	14.4774	4.34489	119.818
8038	lowinput_P100	15	NC_060187.1	13.682534905684797	3.5220917046587634	0.257415144849761	12.6646	13.888	14.5135	3.6937	72.8761
8038	lowinput_P100	16	NC_060188.1	14.25643896087384	7.024936964665181	0.49275537768897315	13.1034	14.0705	14.6248	1.97056	192.274
8038	lowinput_P100	17	NC_060189.1	13.886569918848052	6.40276074062566	0.4610757572275124	12.8142	13.8738	14.4856	4.40379	124.061
8038	lowinput_P100	18	NC_060190.1	14.643335421836188	11.922762136456637	0.8142108196659469	12.892	14.0508	14.5673	3.13601	312.635
8038	lowinput_P100	19	NC_060191.1	13.139228594756686	2.483295353819197	0.1889985653198983	11.9962	13.5514	14.3152	3.04417	33.2836
8038	lowinput_P100	20	NC_060192.1	12.863280361055834	2.0730967676623058	0.16116392626710527	12.1023	13.5017	14.2149	3.96641	18.1734
8038	lowinput_P100	21	NC_060193.1	13.128326561355728	3.8570961129519654	0.2937995253946253	12.0949	13.6686	14.3546	3.7157	69.8414
8038	lowinput_P100	22	NC_060194.1	13.672716132053118	5.936352965242636	0.43417510521746083	12.365	13.7884	14.3687	4.17948	116.557
8038	lowinput_P100	23	NC_060195.1	13.126402209769521	5.171219321199467	0.393955574311955	11.6824	13.414	14.2974	2.8461	119.003
8038	lowinput_P100	24	NC_060196.1	13.294379317945655	3.286860190930852	0.24723682936397226	12.0611	13.5486	14.3139	4.66528	47.1519
8038	lowinput_P100	25	NC_060197.1	13.64557948647139	5.093297036789142	0.3732561920026027	12.3514	13.6278	14.3162	4.01539	66.7684
8038	lowinput_P100	26	NC_060198.1	14.7568475057332	6.730360817123163	0.4560839172803231	13.1925	14.1248	14.7233	5.76147	117.704
8038	lowinput_P100	27	NC_060199.1	15.998230105711366	10.119798122565845	0.6325573551384961	13.2479	13.8489	14.3781	7.4537	69.6853
