Sample,Method,MAPQ,Count,Percent
8034,lowinput_P100,0,64841127,23.318322777582285
8034,lowinput_P100,1,663205,0.238503384706846
8034,lowinput_P100,2,474986,0.17081561310358934
8034,lowinput_P100,3,680292,0.24464825293685918
8034,lowinput_P100,4,546835,0.19665412410366048
8034,lowinput_P100,5,499192,0.17952063331636503
8034,lowinput_P100,6,669751,0.2408574730449783
8034,lowinput_P100,7,759407,0.2730997804149121
8034,lowinput_P100,8,500187,0.17987845762074045
8034,lowinput_P100,9,745367,0.2680506816878457
8034,lowinput_P100,10,616704,0.2217805827191453
8034,lowinput_P100,11,404626,0.14551257988162375
8034,lowinput_P100,12,487678,0.17537994081327077
8034,lowinput_P100,13,631905,0.2272472030717192
8034,lowinput_P100,14,450974,0.1621803596396064
8034,lowinput_P100,15,644607,0.23181512700556522
8034,lowinput_P100,16,504191,0.1813183857762372
8034,lowinput_P100,17,466749,0.16785340325922704
8034,lowinput_P100,18,493159,0.17735103127787558
8034,lowinput_P100,19,620878,0.22328164668543984
8034,lowinput_P100,20,634570,0.228205596811579
8034,lowinput_P100,21,601514,0.21631791821315247
8034,lowinput_P100,22,685532,0.24653267439909762
8034,lowinput_P100,23,531134,0.1910076925428577
8034,lowinput_P100,24,661615,0.2379315850646782
8034,lowinput_P100,25,972350,0.3496788566426696
8034,lowinput_P100,26,399248,0.14357853052591407
8034,lowinput_P100,27,1479208,0.5319563554035996
8034,lowinput_P100,28,316116,0.11368239980095043
8034,lowinput_P100,29,255405,0.09184936327538544
8034,lowinput_P100,30,426512,0.1533832760882175
8034,lowinput_P100,31,416303,0.1497118908386006
8034,lowinput_P100,32,190482,0.06850159713170051
8034,lowinput_P100,33,484533,0.17424892831351121
8034,lowinput_P100,34,264996,0.0952985018716315
8034,lowinput_P100,35,229327,0.08247112989900088
8034,lowinput_P100,36,311537,0.1120356887559905
8034,lowinput_P100,37,418385,0.15046062470966556
8034,lowinput_P100,38,282491,0.10159009604755939
8034,lowinput_P100,39,512607,0.18434496803314543
8034,lowinput_P100,40,5591761,2.010922603074069
8034,lowinput_P100,41,391811,0.140904018614718
8034,lowinput_P100,42,597985,0.21504881070547313
8034,lowinput_P100,43,657463,0.23643843279154575
8034,lowinput_P100,44,486422,0.17492825505819987
8034,lowinput_P100,45,986940,0.3549257476987879
8034,lowinput_P100,46,672576,0.24187340637147137
8034,lowinput_P100,47,1048944,0.37722377600883267
8034,lowinput_P100,48,1151567,0.4141293072529738
8034,lowinput_P100,49,1080452,0.3885547591065827
8034,lowinput_P100,50,2622926,0.9432629863097968
8034,lowinput_P100,51,360926,0.12979708028242112
8034,lowinput_P100,52,528533,0.19007231463765117
8034,lowinput_P100,53,253446,0.09114486296154475
8034,lowinput_P100,54,338349,0.12167788498605504
8034,lowinput_P100,55,582143,0.20935167238394983
8034,lowinput_P100,56,95018,0.03417060276698018
8034,lowinput_P100,57,301667,0.10848621550555275
8034,lowinput_P100,58,117223,0.04215601852442399
8034,lowinput_P100,59,240179,0.08637375236240011
8034,lowinput_P100,60,174187413,62.64169837957987
8035,lowinput_P100,0,75054039,30.724078644496306
8035,lowinput_P100,1,2943630,1.2050026997254426
8035,lowinput_P100,2,2121468,0.8684429318158653
8035,lowinput_P100,3,3043098,1.245720863535531
8035,lowinput_P100,4,2746621,1.124355207727396
8035,lowinput_P100,5,2267823,0.9283547312330193
8035,lowinput_P100,6,3216198,1.316580980915254
8035,lowinput_P100,7,2976668,1.2185271165827003
8035,lowinput_P100,8,1646005,0.6738076690214385
8035,lowinput_P100,9,3082518,1.2618578122767712
8035,lowinput_P100,10,1924654,0.7878752649067212
8035,lowinput_P100,11,1521032,0.6226487929423159
8035,lowinput_P100,12,2112506,0.8647742526017861
8035,lowinput_P100,13,1957720,0.8014111438280266
8035,lowinput_P100,14,1296134,0.5305846757934716
8035,lowinput_P100,15,1976869,0.8092499675582652
8035,lowinput_P100,16,1782879,0.7298383316802035
8035,lowinput_P100,17,1468145,0.6009990007536308
8035,lowinput_P100,18,1912190,0.7827730089678371
8035,lowinput_P100,19,2029115,0.8306373603521473
8035,lowinput_P100,20,1353609,0.5541126090482352
8035,lowinput_P100,21,2085949,0.853902894212108
8035,lowinput_P100,22,1769277,0.7242702247096721
8035,lowinput_P100,23,1324860,0.5423439347874053
8035,lowinput_P100,24,1718890,0.7036438310966616
8035,lowinput_P100,25,1741703,0.7129825477794093
8035,lowinput_P100,26,753184,0.30832297312841894
8035,lowinput_P100,27,2003414,0.8201164136347802
8035,lowinput_P100,28,1076823,0.44080764978154535
8035,lowinput_P100,29,890115,0.36437696927470925
8035,lowinput_P100,30,1226263,0.5019823230410821
8035,lowinput_P100,31,1181131,0.4835071132341401
8035,lowinput_P100,32,531457,0.21755693473296053
8035,lowinput_P100,33,1403970,0.5747283593160586
8035,lowinput_P100,34,810903,0.3319507900841684
8035,lowinput_P100,35,679960,0.2783480382063343
8035,lowinput_P100,36,955486,0.39113720459088414
8035,lowinput_P100,37,984310,0.4029365808089843
8035,lowinput_P100,38,487706,0.19964705029922128
8035,lowinput_P100,39,1291080,0.5285157732328875
8035,lowinput_P100,40,10627474,4.350456701848381
8035,lowinput_P100,41,1063383,0.43530585903871766
8035,lowinput_P100,42,1252146,0.5125777731747584
8035,lowinput_P100,43,1363048,0.557976552710553
8035,lowinput_P100,44,1177187,0.48189259964115555
8035,lowinput_P100,45,1665007,0.6815863169154276
8035,lowinput_P100,46,1939718,0.7940418553643074
8035,lowinput_P100,47,1427782,0.5844760260696459
8035,lowinput_P100,48,1541705,0.631111480444286
8035,lowinput_P100,49,1358059,0.5559342585129363
8035,lowinput_P100,50,860154,0.35211215138439217
8035,lowinput_P100,51,892375,0.3653021215871193
8035,lowinput_P100,52,928535,0.38010455858567954
8035,lowinput_P100,53,603191,0.24692192410394292
8035,lowinput_P100,54,711690,0.2913370129287989
8035,lowinput_P100,55,743910,0.3045265737720957
8035,lowinput_P100,56,712987,0.29186795210985894
8035,lowinput_P100,57,1006205,0.4118995055347442
8035,lowinput_P100,58,991137,0.405731277639437
8035,lowinput_P100,59,941091,0.38524447559214864
8035,lowinput_P100,60,71127914,29.116882351327817
8036,lowinput_P100,0,105926548,29.467777186010586
8036,lowinput_P100,1,962743,0.2678261186363913
8036,lowinput_P100,2,1694616,0.4714263576667156
8036,lowinput_P100,3,1281816,0.35658924976450046
8036,lowinput_P100,4,1413055,0.3930987148904181
8036,lowinput_P100,5,1950990,0.542747212078834
8036,lowinput_P100,6,1536734,0.4275050585634755
8036,lowinput_P100,7,2519076,0.7007834361092066
8036,lowinput_P100,8,2493720,0.6937296335220735
8036,lowinput_P100,9,2008630,0.5587821222035523
8036,lowinput_P100,10,5340576,1.4856984069088675
8036,lowinput_P100,11,359303,0.09995474171654457
8036,lowinput_P100,12,860575,0.239403934430593
8036,lowinput_P100,13,405019,0.11267250631164553
8036,lowinput_P100,14,360079,0.10017061767519798
8036,lowinput_P100,15,826914,0.23003975834266552
8036,lowinput_P100,16,89314,0.02484632135459894
8036,lowinput_P100,17,122991,0.03421494849322031
8036,lowinput_P100,18,187718,0.0522213958846609
8036,lowinput_P100,19,342785,0.09535958825644578
8036,lowinput_P100,20,2049776,0.5702285554442126
8036,lowinput_P100,21,353418,0.09831758963320025
8036,lowinput_P100,22,480411,0.13364585718122837
8036,lowinput_P100,23,1144931,0.3185091201249784
8036,lowinput_P100,24,578959,0.1610609911675353
8036,lowinput_P100,25,1639967,0.45622351583108534
8036,lowinput_P100,26,5519557,1.5354892509239992
8036,lowinput_P100,27,400322,0.11136584474232211
8036,lowinput_P100,28,1029182,0.2863088284520775
8036,lowinput_P100,29,470899,0.13099970754371415
8036,lowinput_P100,30,211102,0.05872660647377282
8036,lowinput_P100,31,1271216,0.3536404286798021
8036,lowinput_P100,32,442890,0.12320786511340132
